,protected,name,verified,location,id,public_metrics,url,profile_image_url,username,description,entities,pinned_tweet_id
4928653853,False,Alex Sandrs,False,,,"{'followers_count': 23, 'following_count': 40, 'tweet_count': 2746, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/872908882095607810/NB3x0yhS_normal.jpg,alexsands2000,,,
1510635338833842181,False,*** Free Dobby ***,False,Irgendwo da oben,,"{'followers_count': 254, 'following_count': 585, 'tweet_count': 1096, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1510637371741683724/4IScSz-S_normal.jpg,DobbyInExile,Hier... der mit der 🍅 und der Hochzeit... 💚,,
1301876776105390081,False,alice ♡ natasha,False,waverider,,"{'followers_count': 572, 'following_count': 1688, 'tweet_count': 3244, 'listed_count': 10}",https://t.co/4f1l9vpio4,https://pbs.twimg.com/profile_images/1450924255902904331/bPuG9DBF_normal.jpg,brittanalance,i miss natasha romanoff,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/4f1l9vpio4', 'expanded_url': 'http://madisonbeer.com', 'display_url': 'madisonbeer.com'}]}}",1499164941374398468
1273964938738819072,False,S🌿,False,"Mumbai, India",,"{'followers_count': 88, 'following_count': 124, 'tweet_count': 1361, 'listed_count': 0}",https://t.co/sO0z78RIaP,https://pbs.twimg.com/profile_images/1273965723648327681/gD-Sddyq_normal.jpg,kitabae_,✨ just here to share my wordle score,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/sO0z78RIaP', 'expanded_url': 'https://www.instagram.com/literarychai_', 'display_url': 'instagram.com/literarychai_'}]}}",1491363493312077829
65422414,False,Ediwardi weh,False,Here and there.,,"{'followers_count': 680, 'following_count': 425, 'tweet_count': 26476, 'listed_count': 9}",,https://pbs.twimg.com/profile_images/997884362153701380/jS-orLeb_normal.jpg,Kuul_Lu,"Short,
Glorified Electrician",,1029735082884575232
2183954858,False,Fezco lite,False,"Blr×Hyd×Goa, Athiest church",,"{'followers_count': 701, 'following_count': 575, 'tweet_count': 27794, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1521085811915051008/x_Y7W3gs_normal.jpg,dt_g07,"(Coke Head since '99)•(any pronouns)        ▪

🥊 | ⚽️ | 🎾 | 🏎  sports fan                   ▪                                

BITS•Phy×Fin(min)•TPWK•Hip-Hop",,1316060190945562625
376124770,False,おむにーと(公式),False,味噌の国,,"{'followers_count': 185, 'following_count': 285, 'tweet_count': 132659, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1482186957115752449/VN77hyvL_normal.jpg,omutan3,ゲーム大好きおじさん,,
1065232192463233025,False,IamRhythm,False,,,"{'followers_count': 0, 'following_count': 74, 'tweet_count': 54, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1257700668359487490/CESEp9e-_normal.jpg,Rhythmittal1653,,,
1460645302734626816,False,CoRa,False,,,"{'followers_count': 25, 'following_count': 89, 'tweet_count': 960, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1482100676855582721/n4VqJKg__normal.jpg,SweetTart_XO,,,
1143625219313037312,False,Sakshi,False,"Nagpur, India",,"{'followers_count': 361, 'following_count': 308, 'tweet_count': 1170, 'listed_count': 0}",https://t.co/7KGPv7hiCX,https://pbs.twimg.com/profile_images/1515979815035146240/hY0fX3pF_normal.jpg,sakshilakhe,i’m here to tweet my feelings or just rant to myself most of the time,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7KGPv7hiCX', 'expanded_url': 'https://instagram.com/sakshilakhe_?igshid=YmMyMTA2M2Y=', 'display_url': 'instagram.com/sakshilakhe_?i…'}]}}",1517360962499608576
855476092236292096,False,Jahnavikr@gmail.com,False,,,"{'followers_count': 70, 'following_count': 376, 'tweet_count': 7487, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1258413279279411200/BLUA28NB_normal.jpg,Jahnavikrgmail2,,,
430300920,False,LoveMeOrHateMe,False,,,"{'followers_count': 399, 'following_count': 115, 'tweet_count': 14807, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1308832107121324032/ytxq6smW_normal.jpg,sweeties157,"29yr old uni graduate, trying to survive in this crazy world. Huge supporter of AFC #COYG","{'description': {'hashtags': [{'start': 84, 'end': 89, 'tag': 'COYG'}]}}",
3595953675,False,Karla,False,"Ore Mountains, Germany",,"{'followers_count': 386, 'following_count': 318, 'tweet_count': 57242, 'listed_count': 11}",,https://pbs.twimg.com/profile_images/1465398274085605382/8IG92eYi_normal.jpg,bluenoteKarla,#147sf /break-off.com /snookerpro.de /cuetracker.net /alanangles19.wordpress.com /wpbsa.com / https://t.co/RYrLmmtw3Z / Psalm 91,"{'description': {'urls': [{'start': 94, 'end': 117, 'url': 'https://t.co/RYrLmmtw3Z', 'expanded_url': 'http://clusterofreds.com', 'display_url': 'clusterofreds.com'}], 'hashtags': [{'start': 0, 'end': 6, 'tag': '147sf'}]}}",1515262799693455366
2376586644,False,Kiran R V Gowda,False,Bengaluru | Tumakuru ,,"{'followers_count': 159, 'following_count': 1184, 'tweet_count': 5586, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1454050104864768005/24TRwSlP_normal.jpg,kiranRVgowda,Engineer|BIT|Equality|Federalism|Linguistic |Free Speech|Language Rights|Language Equality | Linguistic minority Rights|,,1450395989953552385
229409212,False,Noel,False,Leeds,,"{'followers_count': 73, 'following_count': 191, 'tweet_count': 1652, 'listed_count': 3}",,https://pbs.twimg.com/profile_images/723209723521163264/rx6mR8iB_normal.jpg,therealnoz,"work reasonably hard, party nearly as reasonably hard. #Everton #EFC","{'description': {'hashtags': [{'start': 55, 'end': 63, 'tag': 'Everton'}, {'start': 64, 'end': 68, 'tag': 'EFC'}]}}",
1160097392,False,るの人🐣@めーさん,False,福岡,,"{'followers_count': 78, 'following_count': 376, 'tweet_count': 23121, 'listed_count': 3}",https://t.co/uCumBSer3Y,https://pbs.twimg.com/profile_images/1148962576199368704/AzxK6Gle_normal.jpg,megumegu112,"maimai中心に音ゲーかじってます。三代目とジェネが好き。
最近病気が見つかったのでnoteでまとめ書いてます。
手芸アカ→ @luki_handmade","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/uCumBSer3Y', 'expanded_url': 'https://note.com/megumegu112', 'display_url': 'note.com/megumegu112'}]}, 'description': {'mentions': [{'start': 64, 'end': 78, 'username': 'luki_handmade'}]}}",
1463979798,False,Aakriti Anand,False,"Mumbai, India",,"{'followers_count': 1185, 'following_count': 379, 'tweet_count': 4890, 'listed_count': 5}",,https://pbs.twimg.com/profile_images/1487146649906728960/-FeOS3Lc_normal.jpg,itirkaa1105,"She/Her. I love to write, I live to eat, and I can't survive without movies! Writer/Producer, (also a stand-up comic, sometimes)",,
720439009374310400,False,Emma,False,,,"{'followers_count': 39, 'following_count': 28, 'tweet_count': 698, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/739223332160176132/f4OboR-6_normal.jpg,ammeairbrush,,,
737283798279294976,False,Verdeyi,False,,,"{'followers_count': 5747, 'following_count': 6317, 'tweet_count': 81476, 'listed_count': 27}",,https://pbs.twimg.com/profile_images/737298037983326208/sw7Ge9k3_normal.jpg,verdeyi,Me lo contaron y lo olvidé; lo vi y lo entendí; lo hice y lo aprendí. Confucio,,
1286201349877596161,False,fresh strawbs r 👍🍓,False,,,"{'followers_count': 18, 'following_count': 24, 'tweet_count': 287, 'listed_count': 2}",https://t.co/8DNLIWiZZR,https://pbs.twimg.com/profile_images/1374133043980427270/v478c67O_normal.jpg,frestrawberry,my game related acct!!!! HALLEUUUU I stream sometimes so come watch! (freya_razorbutt),"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8DNLIWiZZR', 'expanded_url': 'http://twitch.tv/frestrawberries', 'display_url': 'twitch.tv/frestrawberries'}]}}",
1442460812812054534,False,azucena（あず）,False,主に名古屋,,"{'followers_count': 94, 'following_count': 255, 'tweet_count': 203, 'listed_count': 2}",https://t.co/NYw3Qq9W6A,https://pbs.twimg.com/profile_images/1442467837214220301/nwpnztZ1_normal.jpg,EscaparDeLaVida,謎解き・リアル脱出ゲーム・ボドゲ好き♡SCRAP団員2年目♡ 仲間たちとワイワイやるのが楽しい～＼(^o^)／,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/NYw3Qq9W6A', 'expanded_url': 'https://bodoge.hoobby.net/friends/25271/boardgames', 'display_url': 'bodoge.hoobby.net/friends/25271/…'}]}}",
713553392128229376,False,hash0,False,大阪 大阪市,,"{'followers_count': 32, 'following_count': 108, 'tweet_count': 192, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1477344676789121028/rmKIX806_normal.jpg,Res_hash0,スパイスとワインと。 梅田、淀屋橋、肥後橋、堀江に行くことが多い。 一番よく行くのはカルータラさん。インスタは飯テロ用。https://t.co/VC7cSJ9H5H,"{'description': {'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/VC7cSJ9H5H', 'expanded_url': 'https://instagram.com/hash.zero', 'display_url': 'instagram.com/hash.zero'}]}}",
1085988510899818496,False,brcmstf,False,,,"{'followers_count': 37, 'following_count': 390, 'tweet_count': 1550, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1280483062732730370/pqoZtbqe_normal.jpg,brcmstf1,KARIM burcum,,
257892931,False,🅗🅐🅝🅝🅐🅗 🅑🅔🅐🅝🅔🅨,False,"Hastings, East Sussex, UK",,"{'followers_count': 140, 'following_count': 370, 'tweet_count': 1163, 'listed_count': 6}",,https://pbs.twimg.com/profile_images/1283487667536232451/-SztZxgT_normal.jpg,HannahBeaney,Operations Director at @kingschurch1066 and @hastingscentre #lovemyjob 📋📊🧯♻️🗄🚨,"{'description': {'hashtags': [{'start': 60, 'end': 70, 'tag': 'lovemyjob'}], 'mentions': [{'start': 23, 'end': 39, 'username': 'kingschurch1066'}, {'start': 44, 'end': 59, 'username': 'hastingscentre'}]}}",
1437416346,False,Varun Kumar,False,"Overland Park, KS",,"{'followers_count': 36, 'following_count': 836, 'tweet_count': 888, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1517205739625984000/Sy6pH6zY_normal.jpg,KumarVarun53,,,
1079636532930068480,False,Wander_Lust,False,India,,"{'followers_count': 236, 'following_count': 590, 'tweet_count': 7290, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1394645986073407489/4LgsKzdL_normal.jpg,Lost_in_mist21,What goes around comes around...❤️,,1371552739390496769
64922135,False,.\aron Dibdin,False,Guringai country,,"{'followers_count': 497, 'following_count': 1195, 'tweet_count': 16591, 'listed_count': 4}",,https://pbs.twimg.com/profile_images/1390113866273542149/C8JNAaCm_normal.jpg,aarondibdin,"Football people are free to ignore the politics, politics people are free to ignore the football. Tweets are someone's opinion, they are often my own. He/him.",,
1505840983291748352,False,lilies_75,False,In my mind ,,"{'followers_count': 4, 'following_count': 64, 'tweet_count': 559, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1505844544138481667/7-Yo-cJH_normal.jpg,lilies00000,Tell me if you know,,
1477096030609018892,False,meagan thee pisces,False,she/they,,"{'followers_count': 187, 'following_count': 343, 'tweet_count': 451, 'listed_count': 0}",https://t.co/Sln1GlyuTm,https://pbs.twimg.com/profile_images/1510335573763969030/7UXUIFET_normal.jpg,serotoninphobic,nyu film / ☉♓︎☾♊︎↑♓︎,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Sln1GlyuTm', 'expanded_url': 'http://instagram.com/meagantheepisces', 'display_url': 'instagram.com/meagantheepisc…'}]}}",1477102832927055884
263143271,False,LondonMsFitz,False,London,,"{'followers_count': 509, 'following_count': 2553, 'tweet_count': 4595, 'listed_count': 19}",,https://pbs.twimg.com/profile_images/1276935437358153728/sxuMLDoV_normal.jpg,LondonMzFitz,Now in Lincolnshire from London. Fully vaccinated. Views are my own.,,
65340534,False,PDLC,False,,,"{'followers_count': 79, 'following_count': 233, 'tweet_count': 2660, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1516830612367192067/7d1PCzwH_normal.jpg,phil_in_d_blank,Frustrated Chef | Aspiring Lawyer | Hopeless Romantic | Badminton Enthusiast | Bookworm | CPA,,
1377511361953943553,False,HypocriteSlayer,False,,,"{'followers_count': 8, 'following_count': 293, 'tweet_count': 238, 'listed_count': 0}",,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,BharathKaPutr,Hate Hypocrites and prestitutes,,
2721881216,False,初島🎉㊗️🎉,False,ONE STEP A THOUSAND DOLLARS,,"{'followers_count': 696, 'following_count': 261, 'tweet_count': 70278, 'listed_count': 15}",https://t.co/zQB7Bnktg1,https://pbs.twimg.com/profile_images/1309866474144632835/mKCMsBaW_normal.png,hatsushimaa,ワと将棋とご飯の話が多い成人。なんもかんもわやくそ。将棋垢→@hatsu0w0,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/zQB7Bnktg1', 'expanded_url': 'http://pixiv.me/hatsushima', 'display_url': 'pixiv.me/hatsushima'}]}, 'description': {'mentions': [{'start': 30, 'end': 39, 'username': 'hatsu0w0'}]}}",1462429077307260933
102976498,False,𝕮𝖍𝖆𝖉 𝕮𝖆𝖒𝖆𝖗𝖆,False,IG: cncamara,,"{'followers_count': 179, 'following_count': 436, 'tweet_count': 3073, 'listed_count': 3}",,https://pbs.twimg.com/profile_images/1500168424152252416/z3ClbY2e_normal.jpg,cncamara,born too late to explore the world but born too early to explore the universe,,775640288362508288
204713252,False,apolia ↔₁₂₇ᵗᵉⁿ🌈P.M.NakED,False,,,"{'followers_count': 161, 'following_count': 456, 'tweet_count': 18779, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1422270783016013826/VQKek67O_normal.jpg,twinkle_tennie,"they/them🐋
#BLM
ot22","{'description': {'hashtags': [{'start': 11, 'end': 15, 'tag': 'BLM'}]}}",1415745332512804872
4734428443,False,はしはる🐿️,False,,,"{'followers_count': 60, 'following_count': 97, 'tweet_count': 1026, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1466993527703756804/Thnb7xNr_normal.jpg,hashiharu7,基本はROMです。,,
46936704,False,idlebrain jeevi,False,hyderabad,,"{'followers_count': 254219, 'following_count': 94, 'tweet_count': 59203, 'listed_count': 489}",https://t.co/OnsbDukpVP,https://pbs.twimg.com/profile_images/1402475509477376001/EQR311Pb_normal.jpg,idlebrainjeevi,"founder, editor & reviewer of https://t.co/qMVFo34bft - a telugu film website. truth seeker and a travel addict! insta: https://t.co/wHIJJzywfe","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OnsbDukpVP', 'expanded_url': 'http://www.idlebrain.com', 'display_url': 'idlebrain.com'}]}, 'description': {'urls': [{'start': 30, 'end': 53, 'url': 'https://t.co/qMVFo34bft', 'expanded_url': 'http://idlebrain.com', 'display_url': 'idlebrain.com'}, {'start': 120, 'end': 143, 'url': 'https://t.co/wHIJJzywfe', 'expanded_url': 'https://www.instagram.com/hijeevi/', 'display_url': 'instagram.com/hijeevi/'}]}}",1476253208762716161
141478330,False,Lokesh लोकेश ਲੋਕੇਸ਼ لوکیش,False,presumably somewhere on earth!,,"{'followers_count': 653, 'following_count': 2538, 'tweet_count': 107845, 'listed_count': 16}",http://t.co/gBg1850mPO,https://pbs.twimg.com/profile_images/1416104039515758592/NXoqlvxY_normal.jpg,lokeshgrover,Traveler with no fixed itinerary; forever in search of insanity-kyunki suna hai zehar ka ilaaj hota hai zehar-fasaane ki haqeeqat yehi  http://t.co/Dg4gFulX6J,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/gBg1850mPO', 'expanded_url': 'http://insanelyinsanity.wordpress.com/', 'display_url': 'insanelyinsanity.wordpress.com'}]}, 'description': {'urls': [{'start': 136, 'end': 158, 'url': 'http://t.co/Dg4gFulX6J', 'expanded_url': 'http://facebook.com/lokesh.grover', 'display_url': 'facebook.com/lokesh.grover'}]}}",
38296850,False,Chandresh Narayanan,True,Dubai/Mumbai,,"{'followers_count': 11634, 'following_count': 5552, 'tweet_count': 32651, 'listed_count': 153}",https://t.co/OxfeQEASXk,https://pbs.twimg.com/profile_images/1113056863715618816/-jg93t82_normal.jpg,chand2579,"Ex-cricket writer @timesofindia, @indianexpress, ex-Media Offcr @ICC, WCHeroes/Jayasuriya biography, Cricket Comm, @YouTube: Cricket Chronicles with Chandresh","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OxfeQEASXk', 'expanded_url': 'https://linktr.ee/chand2579', 'display_url': 'linktr.ee/chand2579'}]}, 'description': {'mentions': [{'start': 18, 'end': 31, 'username': 'timesofindia'}, {'start': 33, 'end': 47, 'username': 'indianexpress'}, {'start': 64, 'end': 68, 'username': 'ICC'}, {'start': 115, 'end': 123, 'username': 'YouTube'}]}}",
393327618,False,Haritik Mishra,False,"Bathinda, India",,"{'followers_count': 24, 'following_count': 78, 'tweet_count': 105, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1479058811168038915/cFMQfW73_normal.jpg,_Mizrr,"Music enthusiast, love cricket.",,1517401367249563650
358212360,False,Sanjay Moudgalya,False,"Mysuru / Bengaluru, Bharat",,"{'followers_count': 30, 'following_count': 447, 'tweet_count': 819, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1495660490919673857/Upz4M_Ow_normal.jpg,MoudgalyaSanjay,,,
359778228,False,Très Kewl,False,NZ,,"{'followers_count': 320, 'following_count': 1047, 'tweet_count': 16944, 'listed_count': 3}",,https://pbs.twimg.com/profile_images/578123316013072385/X02IGYKb_normal.jpeg,treskewl1,,,1458302968491429889
1883816503,False,Daracat,False,,,"{'followers_count': 38, 'following_count': 94, 'tweet_count': 545, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1423368480133455873/EXqjtFbw_normal.jpg,DaraPoche,"NOLA,  home sweet home",,
57880790,False,Gill McVey,False,Yorkshire,,"{'followers_count': 731, 'following_count': 1253, 'tweet_count': 2315, 'listed_count': 9}",https://t.co/s2JetJ9HFP,https://pbs.twimg.com/profile_images/1404912210393108485/imrg1RpZ_normal.jpg,gillmcvey,"Actor, Yorkshire tea drinker, 🐶dog lover, 🏖 beach addict #emmerdale @TWT_gmcvey @ashadowofdoubt1 Find me @acactors","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/s2JetJ9HFP', 'expanded_url': 'https://www.spotlight.com/profile/4217-7864-2526', 'display_url': 'spotlight.com/profile/4217-7…'}]}, 'description': {'hashtags': [{'start': 57, 'end': 67, 'tag': 'emmerdale'}], 'mentions': [{'start': 68, 'end': 79, 'username': 'TWT_gmcvey'}, {'start': 80, 'end': 96, 'username': 'ashadowofdoubt1'}, {'start': 105, 'end': 114, 'username': 'acactors'}]}}",1502628468395286529
145479627,False,Coco Nuts,False,"Bangkok, Thailand",,"{'followers_count': 593, 'following_count': 519, 'tweet_count': 35159, 'listed_count': 16}",,https://pbs.twimg.com/profile_images/1480400526743277570/zyIUILoU_normal.jpg,View_BKK,I’ve run out of outrage. Supply chain issues.🌻,,1510994500486762501
721372251522605056,False,Amulya Arora,False,,,"{'followers_count': 109, 'following_count': 700, 'tweet_count': 776, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1378312958695051271/8vXh5FHa_normal.jpg,stealthy_cube,,,1419386239061483527
14888044,False,Dave Sund,False,"Omaha, NE",,"{'followers_count': 3543, 'following_count': 2450, 'tweet_count': 204620, 'listed_count': 78}",https://t.co/ZIfbMqxB24,https://pbs.twimg.com/profile_images/1396864094108622857/7lszjvDI_normal.jpg,davesund,"CM @Cavanaugh4NE, Legislative aide @JohnCavanaughNE, Creighton JD '16, UNO BS '08. Opinions my own. RTs ≠ endorsements. Don't blame me, I voted for Kodos.","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZIfbMqxB24', 'expanded_url': 'https://davesund.com', 'display_url': 'davesund.com'}]}, 'description': {'mentions': [{'start': 3, 'end': 16, 'username': 'Cavanaugh4NE'}, {'start': 35, 'end': 51, 'username': 'JohnCavanaughNE'}]}}",
281357693,False,LatteJunkie,False,"Wellington Region, Aotearoa",,"{'followers_count': 445, 'following_count': 547, 'tweet_count': 38806, 'listed_count': 11}",,https://pbs.twimg.com/profile_images/1518816978391437312/Wtr69DXJ_normal.jpg,LatteJunkieNZ,"A flat white, extra shot; oddly social; writer of feels; hugger; reader of life; happiest near the sea; fat person. 
(she/her) 
(double vaxxed and boosted)",,1520989174681141249
51690767,False,PP,False,"Chennai, India",,"{'followers_count': 761, 'following_count': 2419, 'tweet_count': 39867, 'listed_count': 27}",https://t.co/T2XOwCpkAm,https://pbs.twimg.com/profile_images/1239896916021972993/jr67b2eb_normal.jpg,PrashantSport,"Once an intern at WTA, at RISE Worldwide now. UMASS Amherst Sport Management Graduate, Sports fanatic! Tennis, Football (Arsenal), Cricket & NBA rule my life!","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/T2XOwCpkAm', 'expanded_url': 'http://ibreathesports.wordpress.com/', 'display_url': 'ibreathesports.wordpress.com'}]}}",1414664220981874689
