id,description,url,verified,profile_image_url,location,username,name,protected,public_metrics,pinned_tweet_id,entities
1.487804249715413e+18,Reet 2016,,False,https://pbs.twimg.com/profile_images/1519822176928501761/FzQk1R5m_normal.jpg,India,KourHundal,Maninder kour Hundal,False,"{'followers_count': 231, 'following_count': 383, 'tweet_count': 15928, 'listed_count': 0}",,
187922276.0,"かつて弾実の強欲さんだったり、そそわでなんか書いていたり。妖夢と椛。
サークル『桜スタンプ』として活動中。
最近は刀使ノ巫女にぞっこん。沙耶香ちゃんと薫ちゃん。
pixiv → https://t.co/eHKZzdszB9",https://t.co/2JSkpVQsfC,False,https://pbs.twimg.com/profile_images/1156533218478153728/FWXIXGn9_normal.jpg,楼観剣の,sayanoGreed,鞘の花,False,"{'followers_count': 371, 'following_count': 366, 'tweet_count': 164353, 'listed_count': 27}",1.386231805313839e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2JSkpVQsfC', 'expanded_url': 'https://www.youtube.com/channel/UCpRiW6VCh1ia8Hm6ZublIVQ', 'display_url': 'youtube.com/channel/UCpRiW…'}]}, 'description': {'urls': [{'start': 89, 'end': 112, 'url': 'https://t.co/eHKZzdszB9', 'expanded_url': 'http://pixiv.net/users/1069043', 'display_url': 'pixiv.net/users/1069043'}]}}"
5660302.0,20歳で大学(早稲田)を中退して起業。音楽・映像・Web制作会社、音楽・映像編集スタジオ、ライブハウスなどを30年間経営。2011年6月、アーリーリタイヤして沖縄に移住。趣味はバンド、水泳、旅行、料理。特定の政治団体や宗教には一切入ってません。2019年、パパとじぃじになってのんびり暮らしてます。(子供と孫が同い歳w),,False,https://pbs.twimg.com/profile_images/993722999713947648/2t1qpkyQ_normal.jpg,沖縄県うるま市,KEIBOW_NAHACHOP,KEIBOW_ちゃんぷる音楽隊,False,"{'followers_count': 1198, 'following_count': 812, 'tweet_count': 11579, 'listed_count': 47}",1.1890859084876636e+18,
107153074.0,"Pai de dois. Humanista. Intolerante para com a intolerância. Paixões irracionais, não fanáticas: Benfica e U2. Nos últimos anos percebi-me feminista.",,False,https://pbs.twimg.com/profile_images/1389143707669209089/XLcVDilP_normal.jpg,Lisbon,jcmrmarques,João Carlos Marques,False,"{'followers_count': 365, 'following_count': 723, 'tweet_count': 12656, 'listed_count': 0}",,
108305919.0,八つ墓村らへん出身30代夫だいすきアカウント❖美術工芸古典着物生物園芸ゲーム❖スプラ2（2020.5〜）主にボールド無印でA〜Sいったりきたり。スプラ3までにオールSが目標。,,False,https://pbs.twimg.com/profile_images/875744118332207104/hvRR23qh_normal.jpg,荒川と隅田川の間,techmachmayacom,てくまく🦑,False,"{'followers_count': 788, 'following_count': 1590, 'tweet_count': 124455, 'listed_count': 30}",,
113369568.0,演劇音楽映画美術アニメスポーツ。 旨いもん狂い。映画演劇系HRのお仕事。 某国家資格勉強中。神戸。菅野よう子。ピアノ弾き、劇伴マニア。 マラソン、競技ダンス、水泳、ダイビング、カンゲキ。子育て。,,False,https://pbs.twimg.com/profile_images/689552487/033_normal.jpg,ちよだく、いたばしく。,canaois,sum I can A,False,"{'followers_count': 206, 'following_count': 307, 'tweet_count': 7534, 'listed_count': 6}",,
9.765721600041288e+17,"Insulinです。丁寧なインターネット。ITF.bres18農生→山岳22・育林・のうりんむらご飯
自然再生士補・第四級アマチュア無線技士・学芸員・樹木医補",https://t.co/l2Y8KbtWkM,False,https://pbs.twimg.com/profile_images/1485096216316694528/t_PoZgf__normal.jpg,岐阜,insl6659,ﾄｷﾒｷﾃﾚﾎﾟｰﾃｰｼｮﾝ,False,"{'followers_count': 350, 'following_count': 508, 'tweet_count': 79035, 'listed_count': 0}",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/l2Y8KbtWkM', 'expanded_url': 'https://peing.net/ja/insl6659', 'display_url': 'peing.net/ja/insl6659'}]}}"
9.969238696078787e+17,Melbournite. Triple Vaxxed. Chocolate Connoisseur. Anglophile. Tea drinker. My Patronus is a cat (and he's wily). She/her.,,False,https://pbs.twimg.com/profile_images/996927830532354049/I62_bW3O_normal.jpg,"Melbourne, Victoria",jane_sweetser,Jane Sweetser,False,"{'followers_count': 6, 'following_count': 24, 'tweet_count': 311, 'listed_count': 0}",1.4251929704169185e+18,
24829156.0,"~~ movies, music, books, soccer, traveling, camping, wine, beer ~~ Forza Italia 🇮🇹 ~~ catmom ~~",,False,https://pbs.twimg.com/profile_images/1430249056299794445/XJhrKKsN_normal.jpg,,sabucci_84,Sabrina Bucci,False,"{'followers_count': 165, 'following_count': 111, 'tweet_count': 18863, 'listed_count': 25}",1.4607815991093002e+18,
264491921.0,,,False,https://pbs.twimg.com/profile_images/1288314465281220608/ZZEvDZPf_normal.jpg,"Chandler, AZ ",lamboyazzie,Lambert Yazzie,False,"{'followers_count': 172, 'following_count': 817, 'tweet_count': 4210, 'listed_count': 6}",,
