id,protected,name,description,username,url,verified,profile_image_url,public_metrics,entities,pinned_tweet_id,location
142794839,False,Guy Willows,,Moniker_bereft,,False,https://pbs.twimg.com/profile_images/1352902415197077504/Xl7M3Pfz_normal.jpg,"{'followers_count': 54, 'following_count': 347, 'tweet_count': 789, 'listed_count': 0}",,,
756024458754727936,False,Anxious Giant - UID 131072 on your Linux Box.,Vice-Emperor of Mongo #UnionizeTesla #UnionizeSpaceX #UnionizeDollarGeneral #ComicsGateIsAHateGroup. No lives matter until #BlackLivesMatter. Terminate Hate.,anxiousgiant,,False,https://pbs.twimg.com/profile_images/1519297756254330880/S8L-tgYh_normal.jpg,"{'followers_count': 147, 'following_count': 684, 'tweet_count': 8272, 'listed_count': 5}","{'description': {'hashtags': [{'start': 22, 'end': 36, 'tag': 'UnionizeTesla'}, {'start': 37, 'end': 52, 'tag': 'UnionizeSpaceX'}, {'start': 53, 'end': 75, 'tag': 'UnionizeDollarGeneral'}, {'start': 76, 'end': 99, 'tag': 'ComicsGateIsAHateGroup'}, {'start': 123, 'end': 140, 'tag': 'BlackLivesMatter'}]}}",1.519929217840001e+18,United States
422136736,False,Carlos,"Madrid, España, Europa, Mundo. Biology, Radiation Therapy. Música de Coldplay, Garbage, Vetusta, Missca y más. Series like Black Mirror & More!",gumoka_,,False,https://pbs.twimg.com/profile_images/2631489685/3539d0b9764bffc337bc8133bc66213b_normal.jpeg,"{'followers_count': 71, 'following_count': 238, 'tweet_count': 3456, 'listed_count': 1}",,6.247075612505334e+17,
433587087,False,Señor Nairda,"Conejillo de Indias de Murphy y sus leyes.
90's TV shows made me.📺
Dios Emperador de Dunne.🏜️
No hablo con los muertos por cansinos.👻 Taarsidath-an halsaam.",Nairdadri,,False,https://pbs.twimg.com/profile_images/1315279066732298240/0vGxskZd_normal.jpg,"{'followers_count': 404, 'following_count': 463, 'tweet_count': 57726, 'listed_count': 0}",,1.3552963978772685e+18,Into the Wild Green Yonder 
87462004,False,もち,ゲームマンガアニメとか育児についてつぶやきます。ぃちご🍓、み↑かん↓🍊、ぶどぅ🍇、DODODADADASHI!!!!🥤リングボ！記録垢→@ringkun83,Myyah_6,https://t.co/E4yslJaFkr,False,https://pbs.twimg.com/profile_images/1474421432679809024/oRSIeOKy_normal.png,"{'followers_count': 184, 'following_count': 603, 'tweet_count': 91564, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/E4yslJaFkr', 'expanded_url': 'http://twpf.jp/Myyah_6', 'display_url': 'twpf.jp/Myyah_6'}]}, 'description': {'mentions': [{'start': 68, 'end': 78, 'username': 'ringkun83'}]}}",1.50644765081557e+18,ボッシュ（リミテッドシリーズ）
417756468,False,holistic,,JoelElechosa,,False,https://pbs.twimg.com/profile_images/2936539497/e6fbc4d0d01aeb4ad42f6d6d6f026cc0_normal.jpeg,"{'followers_count': 54, 'following_count': 198, 'tweet_count': 2322, 'listed_count': 0}",,,
262303890,False,Aled Jones,"Director, Global Sustainability Institute (@GSI_ARU) & Professor of Sustainability @AngliaRuskin. aka Dr Apocalypse! Hon. Actuary. Dad. Views own etc.",aledjones_gsi,https://t.co/tg6XqQwH1y,False,https://pbs.twimg.com/profile_images/1395710632519950338/Iiz_8gca_normal.jpg,"{'followers_count': 3049, 'following_count': 1373, 'tweet_count': 19857, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tg6XqQwH1y', 'expanded_url': 'http://www.anglia.ac.uk/gsi', 'display_url': 'anglia.ac.uk/gsi'}]}, 'description': {'mentions': [{'start': 43, 'end': 51, 'username': 'GSI_ARU'}, {'start': 83, 'end': 96, 'username': 'AngliaRuskin'}]}}",,"Cambridge, UK"
1451849376003887104,False,꧁あふぇくしょん꧂,【名詞】愛情、愛着、優しい気持ち、好意,aFFeCTioN_4_aLL,https://t.co/StBAaOgagF,False,https://pbs.twimg.com/profile_images/1478014044284289028/aXN_02Lp_normal.jpg,"{'followers_count': 232, 'following_count': 504, 'tweet_count': 7035, 'listed_count': 1}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/StBAaOgagF', 'expanded_url': 'https://ja.wikipedia.org/wiki/%E6%84%9B', 'display_url': 'ja.wikipedia.org/wiki/%E6%84%9B'}]}}",1.5225313713521623e+18,マック勢とマクド勢の間
565997533,False,Alex Phung,,phung_alex,,False,https://pbs.twimg.com/profile_images/1031351453112094726/zMsnSb4Y_normal.jpg,"{'followers_count': 9, 'following_count': 105, 'tweet_count': 128, 'listed_count': 0}",,,"Edmonton, Alberta"
19492334,False,Michael Shackleton,"Married dad of 2, running 2 jobs in these bad times. I follow Accrington Stanley. Proud ex-British Soldier",MShacks,,False,https://pbs.twimg.com/profile_images/1482685683588386816/RE4GKvMU_normal.jpg,"{'followers_count': 514, 'following_count': 435, 'tweet_count': 11092, 'listed_count': 0}",,,"Oswaldtwistle, England"
