,protected,name,entities,id,description,username,url,verified,profile_image_url,public_metrics,location,pinned_tweet_id
0,False,NY State of Mind,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/cEwWt0SCh5', 'expanded_url': 'http://www.youtube.com/watch?v=vq09JIVLj4o&feature=feedf', 'display_url': 'youtube.com/watch?v=vq09JI…'}]}, 'description': {'hashtags': [{'start': 39, 'end': 48, 'tag': 'NYGiants'}, {'start': 49, 'end': 59, 'tag': 'NYYankees'}]}}",237367891,[Insert Something Cool and Witty Here] #NYGiants #NYYankees,obscurement,https://t.co/cEwWt0SCh5,False,https://pbs.twimg.com/profile_images/378800000131181278/cb4e883b98cce82e3c4ee887788d2385_normal.jpeg,"{'followers_count': 190, 'following_count': 1060, 'tweet_count': 89277, 'listed_count': 8}",,
1,False,Yo antes,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2nap7JI71e', 'expanded_url': 'https://mirenvalero.wordpress.com/', 'display_url': 'mirenvalero.wordpress.com'}]}}",1044602706,La bilbaína más ñoña a esta orilla del Manzanares. Undívaga e hija de Maritxu.,era_otra2,https://t.co/2nap7JI71e,False,https://pbs.twimg.com/profile_images/1288523320674181120/-eH_b__Q_normal.jpg,"{'followers_count': 1242, 'following_count': 699, 'tweet_count': 104044, 'listed_count': 18}",Pisando las nubes,
2,False,Adrian M 🇺🇦,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/EkUo5NUXWK', 'expanded_url': 'http://moneyquestioner.co.uk', 'display_url': 'moneyquestioner.co.uk'}]}, 'description': {'hashtags': [{'start': 39, 'end': 50, 'tag': 'counsellor'}, {'start': 53, 'end': 59, 'tag': 'Money'}, {'start': 78, 'end': 89, 'tag': 'Inequality'}, {'start': 90, 'end': 94, 'tag': 'lvt'}, {'start': 95, 'end': 99, 'tag': 'ubi'}], 'mentions': [{'start': 139, 'end': 154, 'username': 'transparencyTF'}]}}",3092919645,"Former engineer & financial quant. Now #counsellor. 
#Money blogger. Tweeting #Inequality #lvt #ubi.
End debt slavery. Affordable housing.
@transparencyTF",QuestionerMoney,https://t.co/EkUo5NUXWK,False,https://pbs.twimg.com/profile_images/1403616043956854788/3S0WpD9H_normal.jpg,"{'followers_count': 8441, 'following_count': 6833, 'tweet_count': 46860, 'listed_count': 66}","Edinburgh, Scotland",
3,False,GForcePhoenix,,20454205,,GForcePhoenix,,False,https://pbs.twimg.com/profile_images/1187498441091551236/zl59_jtL_normal.jpg,"{'followers_count': 76, 'following_count': 270, 'tweet_count': 8057, 'listed_count': 1}",,1227798730046308352
4,False,Enric Bastardas,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/cJig5u8hCb', 'expanded_url': 'https://youtu.be/QYbP2zl-3eo', 'display_url': 'youtu.be/QYbP2zl-3eo'}]}, 'description': {'hashtags': [{'start': 97, 'end': 101, 'tag': 'PNL'}], 'mentions': [{'start': 103, 'end': 116, 'username': 'aracriatures'}]}}",160600484,"🎗Sóc !eb, Comunicador, Il·lusionador i Provocador. Divulgador, Formador Analògic-Digital, Master #PNL, @aracriatures, séver la olraP. Feliç. TEDx",enricbastardas,https://t.co/cJig5u8hCb,False,https://pbs.twimg.com/profile_images/979650432866902016/Bn6pGDR3_normal.jpg,"{'followers_count': 17148, 'following_count': 16832, 'tweet_count': 22144, 'listed_count': 373}","41.720031,1.818247",1245650971553718274
5,False,あおやま (`⊙◞౪◟⊙) つかさ,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tkwKRXuYSd', 'expanded_url': 'http://amzn.to/oVkkQf', 'display_url': 'amzn.to/oVkkQf'}]}}",5853012,"一応IT系のメガネボルダラーで2児のパパ。
外岩グレードは最高2段。
週末ジムに行くと6時間は粘るおこづかい制クライマー。
あとロッテファン。
月1くらいでZOZOマリン行きたい。
PS4のapex民。飲酒ペックスが得意。ダイヤ床ペロ。",_aoyamasan,https://t.co/tkwKRXuYSd,False,https://pbs.twimg.com/profile_images/706128804503093248/dyFRH-wK_normal.jpg,"{'followers_count': 314, 'following_count': 421, 'tweet_count': 33511, 'listed_count': 17}",東京都練馬区,1512646313900318721
6,False,Javi 🌻🏳️‍🌈,,2276559775,"En ser único, en eso se basa la esencia de cada persona",javi_frl,,False,https://pbs.twimg.com/profile_images/1376799067750215683/PtKvfD2W_normal.jpg,"{'followers_count': 241, 'following_count': 203, 'tweet_count': 13223, 'listed_count': 0}",Andalucía ~ Cantabria ,1076534876449460226
7,False,Belladona82,,2275643105,"Coleccionista (obsesionada más bien) de boligrafos y papelería en general.
Ganas de vivir aventuras y comerme el mundo.",UrrusunoBeatriz,,False,https://pbs.twimg.com/profile_images/1489967312300122117/MSny9Mlg_normal.jpg,"{'followers_count': 158, 'following_count': 241, 'tweet_count': 5112, 'listed_count': 1}",,1329790824285171713
8,False,Bill the Butcher🇪🇸🖤,,301673156,La tolerancia llegará a tal nivel que las personas inteligentes tendrán prohibido pensar para no ofender a los imbéciles. (Dostoiesvki). V.E.R.D.E.,papadeana,,False,https://pbs.twimg.com/profile_images/1070805497064947712/AWYXF0Gi_normal.jpg,"{'followers_count': 3064, 'following_count': 4125, 'tweet_count': 72624, 'listed_count': 35}",Asturias-Tenerife/España,1497842895587586050
9,False,Darian,,1517990179830743040,Man.,Bru8196,,False,https://pbs.twimg.com/profile_images/1520689095852371968/TvoY7avX_normal.jpg,"{'followers_count': 69, 'following_count': 843, 'tweet_count': 465, 'listed_count': 0}",Canada,1518301017212960769
