,entities,verified,description,profile_image_url,public_metrics,url,username,id,name,protected,pinned_tweet_id,location
0,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/X8THWNbHFQ', 'expanded_url': 'https://heartnsoulhere.tumblr.com/', 'display_url': 'heartnsoulhere.tumblr.com'}]}}",False,"23 ♊
dancer//tattoo artist",https://pbs.twimg.com/profile_images/1513617525677953028/IBSfmLpk_normal.jpg,"{'followers_count': 998, 'following_count': 807, 'tweet_count': 192959, 'listed_count': 25}",https://t.co/X8THWNbHFQ,ritaa_pereiraa,1528113415,𝖗𝖎𝖙𝖆 🐍,False,1520859701818408960,"Vale de Cambra, Portugal"
1,,False,,https://pbs.twimg.com/profile_images/378800000570314113/2c30aad663c609b1f9d18667ef373322_normal.jpeg,"{'followers_count': 122, 'following_count': 128, 'tweet_count': 18436, 'listed_count': 0}",,santiasoler,1605249432,Santi Soler S,False,,
2,,False,Face Eater = 面食い。マスクや仮面、特殊メイクなどで顔を隠した女性が好きです。自分の理想を求めているの基本「俺得」です。 活動にご協力いただける女性モデルさんを随時募集中です。DMにてお声掛けくださいませ。,https://pbs.twimg.com/profile_images/1451818698751111170/DAheqfKO_normal.jpg,"{'followers_count': 385, 'following_count': 225, 'tweet_count': 31480, 'listed_count': 0}",,Face_Eater_Ad,3187123364,adon “The Face Eater”,False,1449134647028305922,
3,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QHeI8y7PUe', 'expanded_url': 'https://www.amazon.in/dp/B08MKLSBQF', 'display_url': 'amazon.in/dp/B08MKLSBQF'}]}}",False,Colorful Short Stories for your leisure! See details in my pinned tweet.,https://pbs.twimg.com/profile_images/1497898907304853509/impAeCUY_normal.jpg,"{'followers_count': 21443, 'following_count': 21689, 'tweet_count': 143174, 'listed_count': 87}",https://t.co/QHeI8y7PUe,ColorfulFiction,1044461352,Colorful Stories,False,1446724264632094722,India
4,,False,"King for a day, Fool for a lifetime",https://pbs.twimg.com/profile_images/489305376618455040/ns_UJMV2_normal.jpeg,"{'followers_count': 169, 'following_count': 280, 'tweet_count': 3177, 'listed_count': 0}",,ilinden1903,191412397,Бојан Костов,False,1007004609418792961,"Veles, Macedonia"
5,,False,"football fanatic, basketball aficionado, avid reader, work out because it's a necessity, family and friends and my faith in the Lord is what keeps me going",https://pbs.twimg.com/profile_images/1414720043212894208/F5Uz6Thq_normal.jpg,"{'followers_count': 78, 'following_count': 96, 'tweet_count': 10464, 'listed_count': 0}",,LVDiva1020,76798656,Libradiva,False,,The 702 area 
6,,False,"Wierd, CRAZY, insane, intelligent( I hope) accident prone and often put my foot in my mouth. Hopefully my kindness and sense of humour makes up for it :-)",https://pbs.twimg.com/profile_images/1760554907/me2_normal.jpg,"{'followers_count': 18, 'following_count': 195, 'tweet_count': 99, 'listed_count': 0}",,Chazzta,60613096,Charelle Kruger,False,,Pretoria
7,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/S9nMqnrlcb', 'expanded_url': 'http://www.cricket.geek.nz', 'display_url': 'cricket.geek.nz'}]}}",False,"Close to a jack of all trades

Pastor ⛪ Builder🔨 Teacher 📚 Statistician 📈 Musician 🎶 Cricket writer🏏 Sound technician 🎛

Tweets are my own etc.",https://pbs.twimg.com/profile_images/1425563621069778945/n2yxpqfm_normal.jpg,"{'followers_count': 4085, 'following_count': 2949, 'tweet_count': 55660, 'listed_count': 113}",https://t.co/S9nMqnrlcb,Mykuhl,16751477,Michael Wagener,False,1503916482195234817,"mostly Auckland, New Zealand,"
8,,False,,https://pbs.twimg.com/profile_images/1502059765790396417/Otb3dZMS_normal.jpg,"{'followers_count': 673, 'following_count': 528, 'tweet_count': 6562, 'listed_count': 1}",,snoopsalina,1100831639473700866,Dave grohl,False,1510743073906642946,
9,,False,• Lactose intolerant 🚫🥛• Obedient cat servant 🐈 • Animals 🐄🦒🐘🐅 • Music 🎶 • Winter 🥶 • Purple 💜 • Sagittarius ♐️ • Dot points,https://pbs.twimg.com/profile_images/1408196341893763073/CfBVbDb0_normal.jpg,"{'followers_count': 61, 'following_count': 138, 'tweet_count': 14402, 'listed_count': 0}",,_00_Leesa_00_,789004347787005952,🏡,False,,"Melbourne, Australia 🇦🇺🦘"
10,,False,,https://pbs.twimg.com/profile_images/1405633684607229954/jxG4IOr3_normal.jpg,"{'followers_count': 160, 'following_count': 236, 'tweet_count': 5137, 'listed_count': 0}",,emgirl954,150697000,Em T,False,,"Waterford, MI"
11,,False,金なし適職なしろくでなし,https://pbs.twimg.com/profile_images/1415777332397166593/0tgo9ckw_normal.jpg,"{'followers_count': 212, 'following_count': 301, 'tweet_count': 63336, 'listed_count': 5}",,NirChi42,480266827,morarin,False,668302388797681664,
12,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/n0GFkJHUtA', 'expanded_url': 'http://Google.com/+andybanksx350', 'display_url': 'Google.com/+andybanksx350'}]}, 'description': {'urls': [{'start': 120, 'end': 143, 'url': 'https://t.co/QRODvSX6Sm', 'expanded_url': 'http://flip.it/FK13H', 'display_url': 'flip.it/FK13H'}]}}",False,"big petrol head massive fan of BTCC  and topgear,& i love my jags also range rover. follow me i will follow back.       https://t.co/QRODvSX6Sm",https://pbs.twimg.com/profile_images/1462347970582568962/uV0rpMha_normal.jpg,"{'followers_count': 4466, 'following_count': 4939, 'tweet_count': 20785, 'listed_count': 36}",https://t.co/n0GFkJHUtA,andysb1970,355807244,andy,False,,wolverhampton & where ever
13,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UiNWmqAvjR', 'expanded_url': 'http://www.facebook.com/nathanielwsgoh', 'display_url': 'facebook.com/nathanielwsgoh'}]}}",False,"Desk worker who’s into Fitness, OCR and Running. Welcome to my crazy world.",https://pbs.twimg.com/profile_images/765805443746856965/JnVJMtFh_normal.jpg,"{'followers_count': 264, 'following_count': 565, 'tweet_count': 6155, 'listed_count': 1}",https://t.co/UiNWmqAvjR,NathanielWu,245238148,Nathaniel WS Goh,False,,Singapore
14,,False,中国覇者(大陸とは言ってない)(始皇帝でも毛沢東でもない),https://pbs.twimg.com/profile_images/1245693915707002880/_gm0i02E_normal.jpg,"{'followers_count': 313, 'following_count': 515, 'tweet_count': 29987, 'listed_count': 50}",,Bad_Basho,63639235,いかめしIkameshi乌贼饭이카메시,False,,英賀保ー祝園間のどこか
15,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/l5GpCZaPln', 'expanded_url': 'https://www.instagram.com/platzmania/?hl=en', 'display_url': 'instagram.com/platzmania/?hl…'}]}}",False,📍🇺🇸🗣🇬🇧🇫🇷🇷🇺👂🏻🇩🇪🇭🇺🇮🇹🇧🇷 A hot rich fraud with legs for days. Whatever the opposite of «Blasé» is.,https://pbs.twimg.com/profile_images/91519664/screamingphilly_normal.jpg,"{'followers_count': 2027, 'following_count': 4991, 'tweet_count': 42621, 'listed_count': 26}",https://t.co/l5GpCZaPln,platzmania,15568497,Wet-Bigfoots🎏🐡🐠🐟 Flying-Bigfoot🦜,False,1363993668433154056,Knee-deep in the bouillon
16,,False,cuidem-nos!!,https://pbs.twimg.com/profile_images/1413770785601343496/W-BOrW43_normal.jpg,"{'followers_count': 1549, 'following_count': 956, 'tweet_count': 9683, 'listed_count': 4}",,enriccall,396162207,enric call grau,False,944114842398613504,Andorra
17,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ueRlIrAig7', 'expanded_url': 'https://www.nyanimalrescue.org', 'display_url': 'nyanimalrescue.org'}]}}",False,ιяσηмσυѕє’ѕ єνιℓ мαѕтєя ¢нιєƒ ιη ¢нαяgє |🇩🇴|,https://pbs.twimg.com/profile_images/1519102320369356805/Tx2JAbIn_normal.jpg,"{'followers_count': 372, 'following_count': 175, 'tweet_count': 1469, 'listed_count': 0}",https://t.co/ueRlIrAig7,__R0XY__,1372300433788706818,ꋪꁏꋚꂖ,False,1485907970542436352,Concrete Jungle
18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/HF1rY8hBCW', 'expanded_url': 'https://movieweb.com/author/luke-david/', 'display_url': 'movieweb.com/author/luke-da…'}]}}",False,"· Rap goth / Screenwriter / Horror Nerd
· 2019 The Script Lab Screenplay Contest Semifinalist
· I write stuff",https://pbs.twimg.com/profile_images/1470805663362084866/nTgLXhrI_normal.jpg,"{'followers_count': 1617, 'following_count': 1448, 'tweet_count': 9353, 'listed_count': 9}",https://t.co/HF1rY8hBCW,lukewarmdavid,709349718585806848,Luke David,False,1497615805441544193,"Penang, Malaysia"
19,,False,히비스커스차 안 좋아합니다.,https://pbs.twimg.com/profile_images/1513855609510428682/KuT1a5CY_normal.jpg,"{'followers_count': 193, 'following_count': 173, 'tweet_count': 9763, 'listed_count': 0}",,sena_senahime,1166938740851261440,Hibiscus,False,1484317409268109317,
20,,False,"In 100 yrs my bank account won’t matter, the house I lived in, the car I drove but the world may be different bc I was important in the life of a child.",https://pbs.twimg.com/profile_images/1518882125994409985/TSisXSbr_normal.jpg,"{'followers_count': 50, 'following_count': 155, 'tweet_count': 210, 'listed_count': 0}",,HCastillaByrne,1492329651796127752,Helena Castilla-Byrne,False,,"Queens, NY"
21,,False,ナマケモノ🦥 好きのくまです。エリック・フクサキさん🇵🇪を応援しています！誤植が多いです！ ジョセフミュージカルは日野ジュダさん🍍,https://pbs.twimg.com/profile_images/1496130270432534547/bJ9Cjpq5_normal.jpg,"{'followers_count': 109, 'following_count': 274, 'tweet_count': 3722, 'listed_count': 4}",,RyoukoNgsw,32762779,Ryóko,False,,tokyo japan
22,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/aj5RaNCeco', 'expanded_url': 'https://www.pixiv.net/en/users/28643083', 'display_url': 'pixiv.net/en/users/28643…'}]}}",False,"自称絵師。時々絵を描いたりしてます。絵をうまく描きたい。
日本語勉強中、ENG OK",https://pbs.twimg.com/profile_images/1509905285020020739/KOy7xV9i_normal.jpg,"{'followers_count': 228, 'following_count': 185, 'tweet_count': 2197, 'listed_count': 2}",https://t.co/aj5RaNCeco,mirucchii,932532893582180352,みるっち,False,1413040064175607808,✉ - thecafetelier@gmail.com
23,"{'description': {'hashtags': [{'start': 70, 'end': 83, 'tag': 'LeniKiko2022'}]}}",False,your premium access to my thoughts | GALIT SA MGA MAGNANAKAW AT TRAPO #LeniKiko2022 🎀,https://pbs.twimg.com/profile_images/1521789331928612864/0G9IKbGw_normal.jpg,"{'followers_count': 259, 'following_count': 710, 'tweet_count': 54409, 'listed_count': 13}",,ricolocco,364807505,rico,False,1517709560127303681,"Sydney, New South Wales"
24,,False,,https://pbs.twimg.com/profile_images/1431271983191404544/AsVPLnKV_normal.jpg,"{'followers_count': 52, 'following_count': 237, 'tweet_count': 1436, 'listed_count': 0}",,Rosmary35150519,1431270512735436800,Rosmary Moncada,False,,
25,,False,intern @ fake business inc.,https://pbs.twimg.com/profile_images/1114586536874524672/1MKnX_bO_normal.png,"{'followers_count': 35, 'following_count': 169, 'tweet_count': 1019, 'listed_count': 0}",,sh0rtie111,2729409607,sh0rtie,False,,
26,,False,SPB forever ❤️❤️❤️,https://pbs.twimg.com/profile_images/1409823615126736897/If5m6xGD_normal.jpg,"{'followers_count': 69, 'following_count': 716, 'tweet_count': 467, 'listed_count': 0}",,karthickwizard,508988076,Karthick,False,,"Mannheim, Germany"
