id,description,name,protected,public_metrics,profile_image_url,verified,username,entities,url,location,pinned_tweet_id
1428650878899302400,"🇺🇦Same old Gay, new account starting over Liberal Democrat. Mayo Racist White Brothers & Sisters Beware. #CriticalRaceTheoryIsEssential #InLGBTtheTisNotSilent",Thee Fuzzybeargville who saved Christmas,False,"{'followers_count': 147, 'following_count': 658, 'tweet_count': 2242, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1428651913655029766/pMijVNIq_normal.jpg,False,fuzzybeargville,"{'description': {'hashtags': [{'start': 105, 'end': 135, 'tag': 'CriticalRaceTheoryIsEssential'}, {'start': 136, 'end': 158, 'tag': 'InLGBTtheTisNotSilent'}]}}",,,
106035631,,.,False,"{'followers_count': 175, 'following_count': 468, 'tweet_count': 7534, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1147611588884488192/E8nM3Rm-_normal.jpg,False,benenitus,,,,
2598241484,i study Supply Chain Mgt. 🌒,H? 🦩,False,"{'followers_count': 1411, 'following_count': 307, 'tweet_count': 999, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1522077543708479488/IBjicWW__normal.jpg,False,whateverhash,,,🇵🇰? hell yeah,
1061473850838392832,"FFXIV Addict | JJK | MHA | Ousama Ranking | Square Enix fiend

Yuji/Choso supremacy",Thank you Nomura,False,"{'followers_count': 60, 'following_count': 947, 'tweet_count': 45878, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1513030338431303682/CshZJWw__normal.jpg,False,Runes7th,,,The Seven Seas,
269510512,Yo también chupo la tapa de los yogures.,Anchoa_65🇪🇦🥌🀄🛩️🌘🥑,False,"{'followers_count': 152, 'following_count': 308, 'tweet_count': 17012, 'listed_count': 4}",https://pbs.twimg.com/profile_images/1396577627419418633/Ll828jsP_normal.jpg,False,R_Avila_V,,,Prado de los Waialua,
18625909,,hayuhayu,False,"{'followers_count': 517, 'following_count': 201, 'tweet_count': 12909, 'listed_count': 25}",https://pbs.twimg.com/profile_images/1369713748/2011-05-26_2227_normal.png,False,hayuhayu,,,東京都港区,
852504527576203264,this bitch gonna be unhinged now,lil,False,"{'followers_count': 27, 'following_count': 36, 'tweet_count': 2502, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1493903817406095364/S0yEZl0z_normal.jpg,False,kagechama_,,,ENG｜中文｜ESP,1.5166580057812378e+18
1058302182011867136,"It's just me, Rev.
 Re:Zero and Pandora Hearts are my absolute favorites",Rev👑 📖:Umineko,False,"{'followers_count': 293, 'following_count': 194, 'tweet_count': 5796, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1516885983094059008/k0rjkKCN_normal.jpg,False,RevVollachia,,,Vollachia,1.5182457731247227e+18
43154631,"Middleschool & high school Classics teacher, mother of H&S,godmother to H&J, aunt to D&F. Pronouns she/her Occasional personal rants.",Menai N 🦉🏺 #Talk2MeMH,False,"{'followers_count': 1716, 'following_count': 4992, 'tweet_count': 63606, 'listed_count': 77}",https://pbs.twimg.com/profile_images/1497542994425229312/5M3oildk_normal.jpg,False,MenaiN,,,UK. Pronouns: she/her,4.615528141964165e+17
71531492,"/만화로 배우는 마케팅 원리 1,2/ 출간!!! 3 권도 곧 나옵니다.",조립식,False,"{'followers_count': 3693, 'following_count': 1586, 'tweet_count': 63469, 'listed_count': 100}",https://pbs.twimg.com/profile_images/1228681960/phpiiMOzu_normal,False,zoripseek,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/kBfTknBRfq', 'expanded_url': 'http://zoripseek.com', 'display_url': 'zoripseek.com'}]}}",https://t.co/kBfTknBRfq,,1.4808646404144538e+18
