,name,url,protected,profile_image_url,id,username,public_metrics,description,verified,location,pinned_tweet_id,entities
0,pikalchu,,False,https://pbs.twimg.com/profile_images/1439610311795888133/TkCM1XLI_normal.jpg,57779809,alcohoryic,"{'followers_count': 55, 'following_count': 782, 'tweet_count': 36411, 'listed_count': 3}",職業:社畜カンパニー・ソルジャークラス1st、酒柱,False,ヴァルハラ,,
1,carmela ↯ 120,https://t.co/3ab0bpmGQx,False,https://pbs.twimg.com/profile_images/1509894002144915470/mBVBWbNv_normal.jpg,1067561416075476998,desolatemood,"{'followers_count': 1216, 'following_count': 754, 'tweet_count': 62142, 'listed_count': 52}","author, dreamweaver, visionary",False, she/her | 18 | carrd byf!,1445499642343354378,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/3ab0bpmGQx', 'expanded_url': 'http://carmela.carrd.co', 'display_url': 'carmela.carrd.co'}]}}"
2,がりす,https://t.co/5urSPMGTSC,False,https://pbs.twimg.com/profile_images/1344816444219904000/9iqi0uRd_normal.jpg,136637791,atsugari777,"{'followers_count': 655, 'following_count': 783, 'tweet_count': 334410, 'listed_count': 93}",競馬 スクリーンヒーロー＆産駒応援 予想下手の馬券上手になりたい 声優 アニメ 野球,False,"SUN,TVO,BS",1367371088020213761,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5urSPMGTSC', 'expanded_url': 'http://blog.livedoor.jp/atsugari777/archives/58864252.html', 'display_url': 'blog.livedoor.jp/atsugari777/ar…'}]}}"
3,宮本紅葉@With AMCG,,False,https://pbs.twimg.com/profile_images/1463358010705674242/ochWiC_8_normal.jpg,162735779,TomolilyArcadia,"{'followers_count': 399, 'following_count': 604, 'tweet_count': 260873, 'listed_count': 12}","百合紳士になりたい百合過激派（百合豚）。ああ、今日も空が綺麗だ。

趣味は資格取得。Amazonで買った雨音の音源を聞きながら勉強する変人。CFA Level3 candidate(HP12Cユーザー)／USCPAにわかエンジョイ勢
有益なツイートはありません。",False,Arcadia,1075766649087614976,
4,ksm🦎,,False,https://pbs.twimg.com/profile_images/1520719132747919360/Th5VMGKe_normal.jpg,108280907,babysbreath1309,"{'followers_count': 151, 'following_count': 294, 'tweet_count': 10702, 'listed_count': 0}",アングラ趣味の教科書があったら1ページ目に載ってそうな人,False,deracine,1477149561932349443,
5,Kei-Kei,https://t.co/PQPmWrHMRm,False,https://pbs.twimg.com/profile_images/1411323478905552898/0uo6cvh8_normal.jpg,6529602,Kei_Kei,"{'followers_count': 2088, 'following_count': 531, 'tweet_count': 141625, 'listed_count': 80}",おしゃれなカフェ探して旅してお絵描きしてHoudiniでロボ自動生成したい人生,False,\スズさんの新刊オンリー会場/,1411074121706864642,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PQPmWrHMRm', 'expanded_url': 'http://www.pixiv.net/member.php?id=47333', 'display_url': 'pixiv.net/member.php?id=…'}]}}"
6,ban族,,False,https://pbs.twimg.com/profile_images/1494001159299760129/7sIV2QMC_normal.jpg,2397520382,Be_Crest,"{'followers_count': 218, 'following_count': 427, 'tweet_count': 62995, 'listed_count': 3}",,False,位置情報,,
7,ずんこ,,False,https://pbs.twimg.com/profile_images/570469172/cat5_normal.jpg,96252004,t_ez,"{'followers_count': 59, 'following_count': 174, 'tweet_count': 39375, 'listed_count': 8}",見てるドラマ、アニメの呟き多め。今はHQとFate。HQは箱おし。イチオシは飛雄。FGOやってます。Fateは切嗣＆衛宮家沼。zero言切、SN槍弓 20↑,False,都内,,
8,sky,,False,https://pbs.twimg.com/profile_images/3595461915/2bd8845d6074cf3e1140785bf0d818bd_normal.jpeg,124161854,skyandsleeping,"{'followers_count': 85, 'following_count': 174, 'tweet_count': 5160, 'listed_count': 3}",ただの活字中毒者。小説、ゲーム、音楽、演劇好き。ジャンルは浅く広く雑食で、ホラーはちょい苦手。フォロー、リムはご自由に。,False,東京都,,
9,親知らず抜け(しもこ),,False,https://pbs.twimg.com/profile_images/1486278998921723907/YEuE60U7_normal.jpg,1482022763338829824,pullout_teeth,"{'followers_count': 80, 'following_count': 41, 'tweet_count': 3946, 'listed_count': 1}",20↑ ユナイト たまにスマブラ ゲーム垢だけど日常ツイばっかりです ゲーム全部下手くそです 鈴木けんぞうが怒るからVTuberは推せません,False,ボーマンダはいつ参戦するのですか？,1496693252594204677,
10,Kdot,,False,https://pbs.twimg.com/profile_images/1050198798390067200/7YoYCOGh_normal.jpg,48111967,luvthalyfeulive,"{'followers_count': 709, 'following_count': 321, 'tweet_count': 107125, 'listed_count': 21}",,False,,,
11,lissa 🌱,,False,https://pbs.twimg.com/profile_images/1469139444649414656/C2_vRgGN_normal.jpg,1137891383904223232,bruhlissa_,"{'followers_count': 77, 'following_count': 167, 'tweet_count': 7624, 'listed_count': 1}",i love music and nap and man named own      MILF,False,she/her,1475369861480161283,
12,Dani Hoots🏳️‍🌈🧛‍♀️🦊,https://t.co/X6zs3Hs3SB,False,https://pbs.twimg.com/profile_images/1402028338957352960/o7Re85NK_normal.jpg,2352011468,DaniHootsAuthor,"{'followers_count': 1546, 'following_count': 759, 'tweet_count': 8670, 'listed_count': 29}","Author of YA/SFF/LGBTQA 🧛🏻‍♀️🧝🏼‍♀️👩🏽‍🚀🏳️‍🌈
Lover of 📚🍵🎨🌸🌌
she/her
profile art: https://t.co/rOxeiewsxY",False,,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/X6zs3Hs3SB', 'expanded_url': 'http://www.linktr.ee/danihootsauthor', 'display_url': 'linktr.ee/danihootsauthor'}]}, 'description': {'urls': [{'start': 79, 'end': 102, 'url': 'https://t.co/rOxeiewsxY', 'expanded_url': 'http://grgikau.com', 'display_url': 'grgikau.com'}]}}"
13,ポディ・マハッタヤ,,False,https://pbs.twimg.com/profile_images/1119957710370267136/uBLp6I6R_normal.jpg,123166097,igomare,"{'followers_count': 472, 'following_count': 441, 'tweet_count': 20456, 'listed_count': 27}",夕食はカレーです。,False,スリランカ,,
14,EDIT DOMINGUEZ🌱💙41%,,False,https://pbs.twimg.com/profile_images/1382821052619837446/8iLoElNf_normal.jpg,1961140502,DOMINGUEZEDIT,"{'followers_count': 2735, 'following_count': 3378, 'tweet_count': 88755, 'listed_count': 3}",MADRE ARGENTINA DEMÓCRATA REPUBLICANA,False,,1186684689685405696,
15,よろ。,,False,https://pbs.twimg.com/profile_images/1076802222015504384/PYlep9j0_normal.jpg,212392399,yoro_siku,"{'followers_count': 369, 'following_count': 1215, 'tweet_count': 11243, 'listed_count': 13}",よろしくお願いします。,False,,,
16,Rev. A-J Cottreau,,False,https://pbs.twimg.com/profile_images/532140380821946368/l8gC_fT5_normal.jpeg,1558242103,cottreau_aj,"{'followers_count': 359, 'following_count': 409, 'tweet_count': 3806, 'listed_count': 1}",Grateful 2B 🇨🇦 BTL Chaplain 🙏 PTSD Advocate ❤️ Ally 🏳️‍🌈 Drummerchick 😎 Aquaphile 💦 Cancer Warrior 🥊,False,"Halifax, Nova Scotia",,
17,Kimberly “I want the recipe” Jurgen | she/her,https://t.co/SNT07C92Hx,False,https://pbs.twimg.com/profile_images/1128178735453073408/BB4kZRH1_normal.jpg,77592608,KimberlyJurgen,"{'followers_count': 662, 'following_count': 855, 'tweet_count': 1210, 'listed_count': 19}",Southern Auntie Mame to 3 wee mischief-makers. SAG-AFTRA. Writer. Teacher helping actors achieve their goals while getting mine x3. Booking: NCA 323.467.8954,False,Los Angeles,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/SNT07C92Hx', 'expanded_url': 'https://www.imdb.com/name/nm2296430/', 'display_url': 'imdb.com/name/nm2296430/'}]}}"
18,밤누오,,False,https://pbs.twimg.com/profile_images/1180324229700448256/dN-NUF___normal.jpg,274460564,bam_nuo,"{'followers_count': 198, 'following_count': 134, 'tweet_count': 75288, 'listed_count': 0}",리트윗 많이 합니다//애니메이션 공부 중//포켓몬//롤//동결세계//비버단//전해협//맞팔 하고 싶다는 멘션을 @DrawingNuo,False,@bam_nuo님이 나를 좋아합니다,1065266684603260928,"{'description': {'mentions': [{'start': 62, 'end': 73, 'username': 'DrawingNuo'}]}}"
19,もりソちゃソ,https://t.co/FNBy1naCry,False,https://pbs.twimg.com/profile_images/1194588479184756736/-it9vUje_normal.jpg,2401721082,RinchanDX,"{'followers_count': 318, 'following_count': 557, 'tweet_count': 42400, 'listed_count': 6}","デュエマ(速攻とか)とスマブラDX(下スマゲェジ,slippi RINC#962)と遊戯王(トリックスター)とRTA(ポケモン初代～3世代、コロッケ2，4)が好き(全部にわか) ちなヤク",False,北,1514259501074976781,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/FNBy1naCry', 'expanded_url': 'https://rinchandx.hatenablog.com/', 'display_url': 'rinchandx.hatenablog.com'}]}}"
20,beck,,False,https://pbs.twimg.com/profile_images/1266030196496445440/zt0n5DDU_normal.jpg,724074762,islandbeck,"{'followers_count': 461, 'following_count': 284, 'tweet_count': 4751, 'listed_count': 6}",Fluent in Silence. The world needs more Calvin & Hobbes #LFC #AΦΑ #MASON #JC #YNWA,False,🇯🇲 The Rock 🇯🇲,,"{'description': {'hashtags': [{'start': 56, 'end': 60, 'tag': 'LFC'}, {'start': 61, 'end': 65, 'tag': 'AΦΑ'}, {'start': 66, 'end': 72, 'tag': 'MASON'}, {'start': 73, 'end': 76, 'tag': 'JC'}, {'start': 77, 'end': 82, 'tag': 'YNWA'}]}}"
21,paul.🌷,,False,https://pbs.twimg.com/profile_images/1514273676413210629/FI0z-9hj_normal.jpg,33208569,nethrow,"{'followers_count': 314, 'following_count': 348, 'tweet_count': 20610, 'listed_count': 13}",Kulay Rosas ang Bukas. 🌸💕 #RipCity #TeamLH #OBF,False,Republic of the Philippines,1513934287807995904,"{'description': {'hashtags': [{'start': 26, 'end': 34, 'tag': 'RipCity'}, {'start': 35, 'end': 42, 'tag': 'TeamLH'}, {'start': 43, 'end': 47, 'tag': 'OBF'}]}}"
22,Stevonne,,False,https://pbs.twimg.com/profile_images/1432351281847455746/qRjU7fdd_normal.jpg,1339033225583349761,Stevonne7,"{'followers_count': 48, 'following_count': 197, 'tweet_count': 2058, 'listed_count': 0}",Summa virtute et humanitate,False,,,
