id,location,protected,verified,description,name,profile_image_url,url,entities,public_metrics,username,pinned_tweet_id
53624242,"Musashino-shi, Tokyo",False,False,#tokyo #singapore #sunset #beach #Okinawa - I love making music - follow my artist profile at https://t.co/bmFWJat3lk,Paul,https://pbs.twimg.com/profile_images/1509874020367597569/v5WD2kMt_normal.jpg,https://t.co/QY564OjWd8,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QY564OjWd8', 'expanded_url': 'https://solitarypassenger.com', 'display_url': 'solitarypassenger.com'}]}, 'description': {'urls': [{'start': 94, 'end': 117, 'url': 'https://t.co/bmFWJat3lk', 'expanded_url': 'https://twitter.com/solitarypassngr', 'display_url': 'twitter.com/solitarypassngr'}], 'hashtags': [{'start': 0, 'end': 6, 'tag': 'tokyo'}, {'start': 7, 'end': 17, 'tag': 'singapore'}, {'start': 18, 'end': 25, 'tag': 'sunset'}, {'start': 26, 'end': 32, 'tag': 'beach'}, {'start': 33, 'end': 41, 'tag': 'Okinawa'}]}}","{'followers_count': 107, 'following_count': 280, 'tweet_count': 1483, 'listed_count': 4}",jpfinca,
724241054657073152,s/h 🇬🇭,False,False,all notifs muted.,a⁷,https://pbs.twimg.com/profile_images/1519862962940436482/s_TN_G4D_normal.jpg,,,"{'followers_count': 8, 'following_count': 331, 'tweet_count': 12540, 'listed_count': 0}",suga_interlude,1.511415727617712e+18
35186151,,False,False,"Ohne Präjudiz für die Sach- und Rechtslage.🦊💚🦅✨🌿
Ravenclaw × Loki's army × your local witch × bookworm × Shingeki no Kyojin addict × skjaldmær",😈🖤AKUMA NO KO🖤😈,https://pbs.twimg.com/profile_images/1520760364115320833/siZIB2OJ_normal.jpg,https://t.co/19Ew9kgg2W,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/19Ew9kgg2W', 'expanded_url': 'https://www.instagram.com/skjaldmaer.x/', 'display_url': 'instagram.com/skjaldmaer.x/'}]}}","{'followers_count': 160, 'following_count': 505, 'tweet_count': 10487, 'listed_count': 3}",xenomorphsmum,1.0848184761145508e+18
1487915793895542784,,False,False,"#ERENJAEGER : “If you win, you live. If you lose, you die. If you don’t fight, you can’t win!” … ∥ 18 ∥ ... ∥ He/Him ∥ 10/23/21 💙 ∥ @QuarantinabIe 🦋 ∥",uɐʎᴚ .°• 🌊,https://pbs.twimg.com/profile_images/1487919886819074048/HJy_fqQo_normal.jpg,,"{'description': {'hashtags': [{'start': 0, 'end': 11, 'tag': 'ERENJAEGER'}], 'mentions': [{'start': 132, 'end': 146, 'username': 'QuarantinabIe'}]}}","{'followers_count': 2, 'following_count': 49, 'tweet_count': 151, 'listed_count': 0}",FootOfTheTable,
908499263411359744,belle eve ꩜ she/her ꩜ 22,False,False,"📺 cw: riverdale, icarly, dynasty, kinnporsche",crush movie lockdown,https://pbs.twimg.com/profile_images/1520533421205901313/u2sUjqj4_normal.jpg,https://t.co/2uCOuhhxHR,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2uCOuhhxHR', 'expanded_url': 'http://lovelightwings.carrd.co', 'display_url': 'lovelightwings.carrd.co'}]}}","{'followers_count': 481, 'following_count': 401, 'tweet_count': 29304, 'listed_count': 33}",lovelightwings,1.4483198472392294e+18
809569239375806464,In the garden  Az,False,False,"Father to children, ravers, kitties, and plants. Your #1 fan

NAU alum",Brady1210,https://pbs.twimg.com/profile_images/1341770761556520961/lR5W7QHO_normal.jpg,,,"{'followers_count': 1410, 'following_count': 1696, 'tweet_count': 13181, 'listed_count': 1}",1210Brady,
15978511,tokyo,False,False,translator。よく人に道を聞かれるタイプ。肩甲骨はがし実践中。目指すは秘密結社ネコの人間会員。楽俊命、祝『あなたが好きなキャラクター投票』1位。隠れ村上主義者,yumi mori,https://pbs.twimg.com/profile_images/1286293657/icon3936270537120127329bakeneko_normal.png,,,"{'followers_count': 220, 'following_count': 744, 'tweet_count': 5215, 'listed_count': 11}",mimimaru,
75937227,"Florida, USA",False,False,"PUERTO RICAN - TELECOM ENGINEER
STAR WARS FAN - TECH FAN - COMMON SENCE FAN.  BELIEVE IN SIENCE.",Josue D. Quinones,https://pbs.twimg.com/profile_images/1308094039338745857/q_cfy2wm_normal.jpg,https://t.co/Xd36lm9LXW,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Xd36lm9LXW', 'expanded_url': 'http://www.facebook.com/josue.quinones', 'display_url': 'facebook.com/josue.quinones'}]}}","{'followers_count': 19, 'following_count': 497, 'tweet_count': 1583, 'listed_count': 0}",JosueDaniel,
136217288,Summoner'sRift/TeamfightTactics,False,False,ハオ海賊団/チームクワガノン/ダヌア推してます,🐸げんきのかけら🐸,https://pbs.twimg.com/profile_images/792152979591704576/mt3QUJqw_normal.jpg,,,"{'followers_count': 388, 'following_count': 530, 'tweet_count': 84456, 'listed_count': 32}",mono_gokurin,
2731998918,布団の上,False,False,凛として時雨 amazarashi 悠木碧さんVtuber好き。エリー・コニファーさん レヴィちゃん いちごちゃん みこのおすしちゃん 小鳥遊ややちゃんを応援しております。,梅蜥蜴🔲🌲🍓⛩🍣⭐️,https://pbs.twimg.com/profile_images/1271078688927494160/kBPEx5Rm_normal.jpg,,,"{'followers_count': 144, 'following_count': 1134, 'tweet_count': 24209, 'listed_count': 0}",eumecese_jack,
