,id,profile_image_url,entities,url,public_metrics,username,protected,name,description,pinned_tweet_id,location,verified
0,93239076,https://pbs.twimg.com/profile_images/1498960365241376776/LFO52Lnx_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ugHlEfeSWC', 'expanded_url': 'https://tamakki.github.io/website/horo_index.html', 'display_url': 'tamakki.github.io/website/horo_i…'}]}, 'description': {'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/JG3aR9YvtQ', 'expanded_url': 'https://marshmallow-qa.com/tamakkey?utm_med', 'display_url': 'marshmallow-qa.com/tamakkey?utm_m…'}], 'mentions': [{'start': 75, 'end': 91, 'username': 'horo_forecaster'}]}}",https://t.co/ugHlEfeSWC,"{'followers_count': 485, 'following_count': 435, 'tweet_count': 113160, 'listed_count': 46}",tamakkey,False,たまっきー,趣味は手芸、ギター、料理、お菓子作り、着物、ダイビング、カメラ(デジタルもフィルムも)。 下らない妄想話とか好きです。成人済み。天体予報のbot作った@horo_forecaster たまスコープへのご意見はマシュマロでも募集します。https://t.co/JG3aR9YvtQ,1362053519436517377,127.0.0.1,False
1,1282985596802088962,https://pbs.twimg.com/profile_images/1515943529893494784/dXsWlt7I_normal.jpg,"{'description': {'mentions': [{'start': 14, 'end': 29, 'username': 'mechanicaisGOD'}, {'start': 34, 'end': 49, 'username': 'technomaticked'}]}}",,"{'followers_count': 128, 'following_count': 146, 'tweet_count': 4231, 'listed_count': 0}",uts40054722,False,ガクチカ真っシロモ,"富山中部→東大理系
楽器垢 @mechanicaisGOD 文具垢 @technomaticked",1446478501658251265,,False
2,26417779,https://pbs.twimg.com/profile_images/1040771137/27422_1330991970_2369_n_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/sSdPJMxUX5', 'expanded_url': 'http://www.facebook.com/elissacpa', 'display_url': 'facebook.com/elissacpa'}]}}",https://t.co/sSdPJMxUX5,"{'followers_count': 145, 'following_count': 287, 'tweet_count': 7308, 'listed_count': 3}",ElissaCPA,False,Elissa D 🇺🇦🇺🇦🇺🇦,Married to the most amazing man on the planet. Mommy of two terrific kiddos! Lover of UCF Knights. 🖤💛🖤💛🖤💛,,"Denton, TX",False
3,108572098,https://pbs.twimg.com/profile_images/736048569321291778/HHMvyK7c_normal.jpg,"{'description': {'urls': [{'start': 50, 'end': 73, 'url': 'https://t.co/mMxT34ncMa', 'expanded_url': 'http://oremori.sakura.ne.jp', 'display_url': 'oremori.sakura.ne.jp'}, {'start': 103, 'end': 126, 'url': 'https://t.co/hxdauyKulN', 'expanded_url': 'http://spiralstar.jp', 'display_url': 'spiralstar.jp'}]}}",,"{'followers_count': 1055, 'following_count': 1453, 'tweet_count': 21564, 'listed_count': 12}",shkshkshkshk,False,しゃーく,"ドラムたたきます。
音楽とゲームと千葉ロッテ。
ロッテが負けたら1km走る。
オレモリカエルでドラムhttps://t.co/mMxT34ncMa    
ムームーケンでドラム
spiralstarでドラムhttps://t.co/hxdauyKulN
エンパナディージャスでゲーム音楽のベースを弾いています。",1421423512565084166,川崎市,False
4,2802632911,https://pbs.twimg.com/profile_images/1426202103932932100/i67xY9h1_normal.jpg,,,"{'followers_count': 130, 'following_count': 383, 'tweet_count': 9176, 'listed_count': 1}",Pips_Filipa,False,πpa,"🌟Pipinha Pop Star
|| Treat people with kindness ||
niceberg || you're no different || Alt er Love || 21",1284234902741889025,"she, her",False
5,1456531916,https://pbs.twimg.com/profile_images/1465210062238994432/4Ftx6MqO_normal.jpg,,,"{'followers_count': 13, 'following_count': 277, 'tweet_count': 1106, 'listed_count': 0}",loq1971,False,loq abdul karim,Can we turn back the clock to 2018/2019?😬,,subang jaya,False
6,1189520489120763904,https://pbs.twimg.com/profile_images/1512821972966813705/PJjZtiLd_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1TGOONMpxk', 'expanded_url': 'http://bebzzkate.carrd.co', 'display_url': 'bebzzkate.carrd.co'}]}}",https://t.co/1TGOONMpxk,"{'followers_count': 348, 'following_count': 490, 'tweet_count': 19513, 'listed_count': 20}",bebzzkate,False,kate loves yz,mw braindeadkeith ^_^,1512445337297997825,she her,False
7,1472804716132192260,https://pbs.twimg.com/profile_images/1472806494672359426/jOzMT9dQ_normal.jpg,,,"{'followers_count': 3, 'following_count': 37, 'tweet_count': 471, 'listed_count': 0}",nranrzl_,False,ain.,21 ✨,,,False
8,27811471,https://pbs.twimg.com/profile_images/1368749128965095424/vaGtQLEd_normal.jpg,,,"{'followers_count': 1708, 'following_count': 376, 'tweet_count': 19779, 'listed_count': 16}",tialinc,False,Tia,“What we know matters…                      but who we are matters more.” 💜🇺🇦,,"Oklahoma City, OK",False
9,265356628,https://pbs.twimg.com/profile_images/419806476794732544/0X6-IUV5_normal.png,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/6IbAAf8711', 'expanded_url': 'http://twpf.jp/Ant_Hly', 'display_url': 'twpf.jp/Ant_Hly'}]}}",https://t.co/6IbAAf8711,"{'followers_count': 392, 'following_count': 335, 'tweet_count': 158601, 'listed_count': 12}",Ant_Hly,False,🍺ヾ(＠⌒ー⌒＠)ノ🍣,あにた。おさけがのめるおとな,1344668735374843911,日本酒の海に溺れて死んだ,False
