,verified,description,protected,url,public_metrics,entities,location,profile_image_url,pinned_tweet_id,name,id,username
0,False,💐🪐🦔 || digital artist ||╰(*´︶`*)╯♡ || comms open!!,False,https://t.co/m4zqSLSns7,"{'followers_count': 201, 'following_count': 257, 'tweet_count': 991, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/m4zqSLSns7', 'expanded_url': 'http://em-bread.carrd.co', 'display_url': 'em-bread.carrd.co'}]}}",18 | ace | she/her,https://pbs.twimg.com/profile_images/1512158559433277452/CeEkQSuJ_normal.jpg,1488325828945461248,✌︎ em || jean simp || comms open (dm),1417667042417659908,em_bread
1,False,"Love rock and hard rock music, play acoustic guitar. Also do Kickboxing and table tennis. Living with my lovery cats!",False,,"{'followers_count': 117, 'following_count': 353, 'tweet_count': 12481, 'listed_count': 4}",,Funabashi,https://pbs.twimg.com/profile_images/3150019682/baadf59afe9ea9bfc05e342d3a85ff3a_normal.jpeg,,keichan_k,279591386,kei_sorinome
2,False,"Mommy-Author 🖊️ I write FANTASY 💫
#Dyslexia Interventionist &  bottled water connoisseur
⚕️WLS
💜 LA Lakers
♥️ Houston Texans PSL Owner since '01",False,https://t.co/hWF16OJEcJ,"{'followers_count': 568, 'following_count': 608, 'tweet_count': 13482, 'listed_count': 6}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hWF16OJEcJ', 'expanded_url': 'https://www.trishaclerkwrites.com/', 'display_url': 'trishaclerkwrites.com'}]}, 'description': {'hashtags': [{'start': 34, 'end': 43, 'tag': 'Dyslexia'}]}}","Atascocita, TX",https://pbs.twimg.com/profile_images/1489613994730168328/TSIBREMh_normal.jpg,1261466761666404352,Trisha Clerk 📚,22299983,TClerk
3,False,"Former Irish PDF helicopter pilot. You never really retire from the military, but they tend to pay less attention to you afterwards.",False,,"{'followers_count': 289, 'following_count': 272, 'tweet_count': 4134, 'listed_count': 2}",,Ireland,https://pbs.twimg.com/profile_images/1232770736890273792/Eu9ffqs5_normal.jpg,,LEEROY JENKINS! 🇺🇦 🇵🇸,2762942630,LeeRoyIreland
4,False,BLM. Stop AAPI Hate. She/Her. Actor. Marketer. Salsera. Cosplayer. ATLien. GA Bulldog. Fueled by plants. Buckeye by birth. Yorkie/Cat lady. Opinions are my own.,False,,"{'followers_count': 901, 'following_count': 1769, 'tweet_count': 11441, 'listed_count': 38}",,Planet Earth...for now,https://pbs.twimg.com/profile_images/1498909694265602048/k9r0A6yx_normal.jpg,,Maya,76570567,whyamaya
5,False,2017、2018年向けLゼミB先生の受講生でした。2019年弁理士試験最終合格。実務修習修了。１級知財管理技能士(特許専門業務)。博士(理学)。,False,,"{'followers_count': 270, 'following_count': 68, 'tweet_count': 1974, 'listed_count': 0}",,日本,https://pbs.twimg.com/profile_images/1244754904696016896/dDPdIugO_normal.jpg,,phxri,3116530694,phxri1
6,False,❦ ᴛxᴛ ꜱᴏᴏʙɪɴ ᴛᴀᴇʜʏᴜɴ ↝ ʟᴏvᴇʀ  ｜RPS｜兔左鼠右｜隨心翻譯 偶爾暴言⚡️,False,https://t.co/DuV09YPKVn,"{'followers_count': 138, 'following_count': 234, 'tweet_count': 2363, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DuV09YPKVn', 'expanded_url': 'https://lit.link/isoobu00', 'display_url': 'lit.link/isoobu00'}]}}",🐰+🐿=💖→,https://pbs.twimg.com/profile_images/1521884371782754309/YJnFtTcW_normal.jpg,1513907207523373056,辣炒年糕ᙏ̤̫,1307202580729065472,isoobu00
7,False,the problem,False,,"{'followers_count': 105, 'following_count': 109, 'tweet_count': 2323, 'listed_count': 0}",,she/her | 21,https://pbs.twimg.com/profile_images/1520143622829928449/9P9xkGJ4_normal.jpg,,sal,1334208959285141504,yigetnosleep
8,False,"muitos achismos sobre flamengo, luverdense, cuiabayern, nfl, calor, transporte público e jovem advocacia. não levem esse site a sério demais.",False,https://t.co/xg8g4mOWgu,"{'followers_count': 312, 'following_count': 442, 'tweet_count': 88372, 'listed_count': 2}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/xg8g4mOWgu', 'expanded_url': 'https://www.last.fm/user/vhtsoares', 'display_url': 'last.fm/user/vhtsoares'}]}}","cuyabá–mt, brasil",https://pbs.twimg.com/profile_images/1495590090344652801/Udv2lkVQ_normal.jpg,,Vito,84309504,vhtsoares
9,False,"#Noelle: Whenever you need me, I'll be there.",False,,"{'followers_count': 241, 'following_count': 574, 'tweet_count': 8574, 'listed_count': 2}","{'description': {'hashtags': [{'start': 0, 'end': 7, 'tag': 'Noelle'}]}}",he/neos (-o) ✰ ar50,https://pbs.twimg.com/profile_images/1519040473649795072/QqIT69Sg_normal.jpg,1410310217452171272,fran 🏳️‍⚧️,1245513185295241223,sh9ichi_
