id,protected,verified,description,name,profile_image_url,url,public_metrics,username,location,entities,pinned_tweet_id
810367146.0,False,False,,Kevin Fathman,https://pbs.twimg.com/profile_images/1471933137030717443/q058zAhB_normal.jpg,,"{'followers_count': 27, 'following_count': 514, 'tweet_count': 315, 'listed_count': 0}",TheFiery1,,,
57153653.0,False,False,CO native in OK. Sports lover. Chocolate addict. Wanderlust. Never leave home without high heels. Recommended by 4 out of 5 people who recommend things.,Lisa Huerta,https://pbs.twimg.com/profile_images/1018663815989334016/LbPcva7R_normal.jpg,,"{'followers_count': 110, 'following_count': 750, 'tweet_count': 845, 'listed_count': 4}",lisamhuerta,"Tulsa, OK",,
80743819.0,False,False,データ分析、マーケティング、、PR(Public Relations)、アニメ、漫画、DTM、株売買、本(歴史、SF、STEM、軍事、ノンフィクション)、旅行、ゲーム(#シャニマス 、#FGO 、ヘブバン、モンスターファーム2)、お笑い、ラジオ(爆笑問題、ハライチ、アルピー),isatsuki,https://pbs.twimg.com/profile_images/439798824375037952/9GLmKqBH_normal.jpeg,,"{'followers_count': 498, 'following_count': 375, 'tweet_count': 62422, 'listed_count': 15}",nasikustaka,,"{'description': {'hashtags': [{'start': 84, 'end': 90, 'tag': 'シャニマス'}, {'start': 92, 'end': 96, 'tag': 'FGO'}]}}",1.5080746660484588e+18
9.797344688386171e+17,False,False,ドレスコーズとTHE YELLOW MONKEYは宗教 7ORDERは人生、関ジャニ∞、宝塚、バンド,👼,https://pbs.twimg.com/profile_images/1508149592864718850/Gp8Togqx_normal.jpg,,"{'followers_count': 120, 'following_count': 236, 'tweet_count': 29592, 'listed_count': 2}",_c_s_f_,あらみゅ、くらよこ、ふまけん,,1.4540271720546386e+18
7.202228569702605e+17,False,False,Hirate Yurina / kt wiz / San Diego Padres,Dead Pigeon Society,https://pbs.twimg.com/profile_images/1497437767038431233/OK678bYy_normal.jpg,,"{'followers_count': 86, 'following_count': 194, 'tweet_count': 7970, 'listed_count': 2}",su_pigeon,,,1.504385352689021e+18
27863893.0,False,False,The world can be a better place. There is no time in the past worth going back to.,Greg Yochim,https://pbs.twimg.com/profile_images/1405679930000633868/-UdwTeNu_normal.jpg,,"{'followers_count': 123, 'following_count': 323, 'tweet_count': 2265, 'listed_count': 0}",bugeyedoyle,,,
94502107.0,False,False,「鏡音新曲ランキング」を２～４号に1回の割合で製作してます。,ウェル(wealthriver),https://pbs.twimg.com/profile_images/558592729/img.php_normal.jpeg,https://t.co/OaaoMaRT9P,"{'followers_count': 510, 'following_count': 187, 'tweet_count': 83238, 'listed_count': 39}",wealthriver,RANクラスタで鏡音クラスタでやや生主クラスタ,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OaaoMaRT9P', 'expanded_url': 'http://www.nicovideo.jp/mylist/10748012', 'display_url': 'nicovideo.jp/mylist/10748012'}]}}",1.478002568291025e+18
9.260943896167506e+17,False,False,eterna malvadeza,disPUTAda,https://pbs.twimg.com/profile_images/1515137092212473856/qpdE1O6S_normal.jpg,https://t.co/yjt5Vxkq7E,"{'followers_count': 860, 'following_count': 769, 'tweet_count': 16259, 'listed_count': 0}",wipmah,♡,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/yjt5Vxkq7E', 'expanded_url': 'https://instagram.com/wipmah?igshid=ny5ars4a48v2', 'display_url': 'instagram.com/wipmah?igshid=…'}]}}",
2383637653.0,False,False,アイコンと界隈は無関係だしドット絵は5000年くらい打ってない,ヾ(･ω･`;)ﾉ,https://pbs.twimg.com/profile_images/1345025318231281664/1TyeXmgf_normal.png,https://t.co/CR7rdt3n4W,"{'followers_count': 476, 'following_count': 568, 'tweet_count': 128499, 'listed_count': 9}",xecual,テイワット大陸,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CR7rdt3n4W', 'expanded_url': 'https://caffeine.page', 'display_url': 'caffeine.page'}]}}",1.2648058399294013e+18
1.0846364924403958e+18,False,False,"🇹🇭 #DJ #EDMProducer #Illustrator #Musician #Photographer 
#櫻坂46 (#欅坂46) / #日向坂46 / #乃木坂46 / #青春高校3年C組",Orion オリオン ʕ•ᴥ•ʔ ❤️,https://pbs.twimg.com/profile_images/1506459277896339456/brxEYgQ4_normal.jpg,https://t.co/eo58TEjNv8,"{'followers_count': 260, 'following_count': 952, 'tweet_count': 29185, 'listed_count': 1}",OrionShelton,Thailand,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eo58TEjNv8', 'expanded_url': 'https://orionshelton.tumblr.com/', 'display_url': 'orionshelton.tumblr.com'}]}, 'description': {'hashtags': [{'start': 3, 'end': 6, 'tag': 'DJ'}, {'start': 7, 'end': 19, 'tag': 'EDMProducer'}, {'start': 20, 'end': 32, 'tag': 'Illustrator'}, {'start': 33, 'end': 42, 'tag': 'Musician'}, {'start': 43, 'end': 56, 'tag': 'Photographer'}, {'start': 58, 'end': 63, 'tag': '櫻坂46'}, {'start': 65, 'end': 70, 'tag': '欅坂46'}, {'start': 74, 'end': 80, 'tag': '日向坂46'}, {'start': 83, 'end': 89, 'tag': '乃木坂46'}, {'start': 92, 'end': 101, 'tag': '青春高校3年C組'}]}}",1.1775150191535268e+18
