id,protected,name,description,username,url,verified,profile_image_url,public_metrics,entities,pinned_tweet_id,location
1492115532593905664,False,織子,,okko_nurse,,False,https://pbs.twimg.com/profile_images/1492354086083399680/pj02mxRp_normal.jpg,"{'followers_count': 30, 'following_count': 18, 'tweet_count': 91, 'listed_count': 0}",,,
1443697260190072832,False,Alan Worksync,Alan's amazing work-only twitter account. Only following work-related content.,alansync,,False,https://pbs.twimg.com/profile_images/1498710886021681156/aS18N6on_normal.jpg,"{'followers_count': 2, 'following_count': 116, 'tweet_count': 66, 'listed_count': 0}",,,
44766330,False,Sher,Trying to find the meaning of life in a concrete jungle. Don’t DM me.,SherandtheCity,https://t.co/AvdlzkN4ff,False,https://pbs.twimg.com/profile_images/1361464541259960326/Qyd_-p0R_normal.jpg,"{'followers_count': 545, 'following_count': 594, 'tweet_count': 20399, 'listed_count': 37}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/AvdlzkN4ff', 'expanded_url': 'http://pinterest.com/sherandthecity', 'display_url': 'pinterest.com/sherandthecity'}]}}",1.1161974576947364e+18,"Toronto, Canada  "
1099307899925475328,False,Karen Hutchinson,"Irish Citizen from North of Ireland, Ireland x Love my family, Love Celtic FC, Equality for All !! #FreePalestine #JusticeForNoahDonohoe",KarenHutch72,,False,https://pbs.twimg.com/profile_images/1513148458319892486/IDofBDhB_normal.jpg,"{'followers_count': 92, 'following_count': 363, 'tweet_count': 1719, 'listed_count': 1}","{'description': {'hashtags': [{'start': 99, 'end': 113, 'tag': 'FreePalestine'}, {'start': 114, 'end': 136, 'tag': 'JusticeForNoahDonohoe'}]}}",,Ireland
1366209324134006784,False,ariv,,ariev1015,,False,https://pbs.twimg.com/profile_images/1366209462290161664/nUejx9k8_normal.jpg,"{'followers_count': 4, 'following_count': 122, 'tweet_count': 328, 'listed_count': 0}",,1.5042310756018504e+18,
311414198,False,Rosemary Lucas,"European & #CitizenOfTheWorld. Serious, trivial, radical, obscure sense of humour, lover of choral music, opera, food, wine and dogs.",LucasRosemary,,False,https://pbs.twimg.com/profile_images/1344978984950497282/Xs8wyvc4_normal.jpg,"{'followers_count': 1339, 'following_count': 1560, 'tweet_count': 48160, 'listed_count': 15}","{'description': {'hashtags': [{'start': 11, 'end': 29, 'tag': 'CitizenOfTheWorld'}]}}",1.1704424707962225e+18,Altrincham
1024005984832970752,False,Chop Chop Rupert,Bravos 2021 WS Champs | Auburn Bball SEC Champs! WDE🦚 | Da Bulls | Cowboy UP | IFB (Unfollow if you Unfollow)| NO DMs,ChopChopRupert,,False,https://pbs.twimg.com/profile_images/1506008813807317001/BA_JWpLu_normal.jpg,"{'followers_count': 11339, 'following_count': 11613, 'tweet_count': 5694, 'listed_count': 4}",,1.521503981268349e+18,
1023024632746663936,False,pao,she/her | filóloga clásica y escritora | 💍 my wife @crossing_kirby 🏳️‍🌈,itsjustpaoo,https://t.co/iS5pLGnoJm,False,https://pbs.twimg.com/profile_images/1495837309006237702/cb8WHiu0_normal.jpg,"{'followers_count': 444, 'following_count': 372, 'tweet_count': 60342, 'listed_count': 3}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/iS5pLGnoJm', 'expanded_url': 'http://www.tiktok.com/@pauxpao_', 'display_url': 'tiktok.com/@pauxpao_'}]}, 'description': {'mentions': [{'start': 51, 'end': 66, 'username': 'crossing_kirby'}]}}",1.4005456789427732e+18,"Sabadell, España"
22798241,False,Spooky Sarah Says ➡️ @PanicFilmFest #PanicFest2022,She/Her. Geek. Foodie. Found Footage and Food Horror Junkie. Half of @GeeksWhoEat. Co-Host @FinalGirlsFeast. Creator #100HorrorMoviesIn92Days Challenge.,SpookySarahSays,https://t.co/E62uJ01tCc,False,https://pbs.twimg.com/profile_images/1267908325510836224/UiUuV88W_normal.jpg,"{'followers_count': 6795, 'following_count': 3525, 'tweet_count': 57433, 'listed_count': 242}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/E62uJ01tCc', 'expanded_url': 'https://linktr.ee/spookysarahsays', 'display_url': 'linktr.ee/spookysarahsays'}]}, 'description': {'hashtags': [{'start': 117, 'end': 141, 'tag': '100HorrorMoviesIn92Days'}], 'mentions': [{'start': 69, 'end': 81, 'username': 'GeeksWhoEat'}, {'start': 91, 'end': 107, 'username': 'FinalGirlsFeast'}]}}",1.5193510632995922e+18,"Glendale, Arizona"
427837975,False,carl the hedgehog,"top 3% of juice wrld listeners (Wrapped, 2021) top 5% of most loyal customers for los comales (Eats, 2021) (He/Him/His)",cantuitt,,False,https://pbs.twimg.com/profile_images/1476394556295950336/9dz7dOH8_normal.jpg,"{'followers_count': 180, 'following_count': 452, 'tweet_count': 2562, 'listed_count': 0}",,,
14339798,False,Ivan A. Sanchez V.,"Ingeniero en Sistemas/Gestion Ambiental..UTPL-IEEE-UCSG-UNIMELB-UPSE...Twittero, Couchsurfer, Viajero pero sobre todo Geek",1vand1ng0,https://t.co/LnjyGq6GFC,False,https://pbs.twimg.com/profile_images/493699701158318082/VfkVpR_5_normal.jpeg,"{'followers_count': 1281, 'following_count': 4535, 'tweet_count': 21886, 'listed_count': 69}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/LnjyGq6GFC', 'expanded_url': 'http://isanchez.strikingly.com/', 'display_url': 'isanchez.strikingly.com'}]}}",,"Guayaquil, Ecuador"
2693204286,False,つじもり,ミュート推奨￤i @gomasiwosanさん h @unitoonさん,tujimori9696,https://t.co/UChynaFXNR,False,https://pbs.twimg.com/profile_images/1511254078281904130/ORQr-U_d_normal.jpg,"{'followers_count': 785, 'following_count': 2283, 'tweet_count': 150229, 'listed_count': 9}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UChynaFXNR', 'expanded_url': 'https://youtube.com/channel/UCo8ecGMNv3jUSYbTUeBqmRw', 'display_url': 'youtube.com/channel/UCo8ec…'}]}, 'description': {'mentions': [{'start': 9, 'end': 21, 'username': 'gomasiwosan'}, {'start': 26, 'end': 34, 'username': 'unitoon'}]}}",1.5174922303403786e+18, #エストちゃんをすこれ
961577153090465792,False,Amy,“ Be the change you want to see in the world”.,Amy11074,,False,https://pbs.twimg.com/profile_images/1507503849031888903/yK9qrljQ_normal.jpg,"{'followers_count': 114, 'following_count': 263, 'tweet_count': 5996, 'listed_count': 0}",,,"Washington, USA"
