id,verified,description,protected,url,public_metrics,profile_image_url,name,username,pinned_tweet_id,entities,location
43518418.0,False,時を超えてTwitterを再開。中3、小6の母。,False,,"{'followers_count': 6, 'following_count': 28, 'tweet_count': 49, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1478728892395696129/bro8RQqf_normal.jpg,Kyoko,kyoko819,,,
1.42772367988301e+18,False,,False,,"{'followers_count': 76, 'following_count': 98, 'tweet_count': 976, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1518628722303062016/MIw1XbtC_normal.jpg,valu,bbyynose,1.5024883511269335e+18,,
1.4747709018248315e+18,False,CHUNITHM 16.7 くらい / Arcaea 12.7 くらい / カンスト騎士くん / いま : vs 14全鳥,False,,"{'followers_count': 80, 'following_count': 109, 'tweet_count': 1392, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1514919681635008519/GBUWOic4_normal.jpg,nasubi @154/185,nasubi24_otoge,1.4754121121893007e+18,,
2275408650.0,False,"i draw vtubers and vtuber accessories | 🔞☄️ | ❌ requests/commissions/依頼 | 🆗 repost/pfp, non-commercial and with credit",False,https://t.co/8HINVVqATZ,"{'followers_count': 8496, 'following_count': 1418, 'tweet_count': 279118, 'listed_count': 129}",https://pbs.twimg.com/profile_images/1510697204834439175/kyDXB8k3_normal.jpg,solo cup pixy ☄️,maullarmaullar,1.505922176771248e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8HINVVqATZ', 'expanded_url': 'http://pixiv.me/maullarmaullar', 'display_url': 'pixiv.me/maullarmaullar'}]}}",○ EN / △ JP
1046265067.0,False,,False,,"{'followers_count': 30, 'following_count': 250, 'tweet_count': 489, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1474120271619518472/_5po-Pih_normal.jpg,Alonso,kenmakisan,1.5217014773868995e+18,,
1151210053.0,False,"A las buenas , bueno , a las malas , malo.",False,,"{'followers_count': 102, 'following_count': 49, 'tweet_count': 6742, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1330174927245291526/EPekCSdp_normal.jpg,PocheteX,Pocholetedlck,,,
59461865.0,False,不定期なひとりごと。,False,,"{'followers_count': 95, 'following_count': 204, 'tweet_count': 3198, 'listed_count': 6}",https://pbs.twimg.com/profile_images/1149371283/panda2_normal.JPG,Yuko,yukonnw,,,
1.3028197526126305e+18,False,i had you big time,False,https://t.co/hbntxpSj23,"{'followers_count': 1000, 'following_count': 866, 'tweet_count': 15036, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1507423721367158790/_csYaDwr_normal.jpg,Redhead enjoyer,scullesbian,1.4968205373388636e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hbntxpSj23', 'expanded_url': 'http://laici.carrd.co', 'display_url': 'laici.carrd.co'}]}}",any prns ✡︎ 17     ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀
2279027593.0,False,おねがいモンスターRTAで世界1位とりました。,False,,"{'followers_count': 33, 'following_count': 63, 'tweet_count': 1365, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1392451866399629313/GV8gyvCy_normal.jpg,キラキラさん,kirakir_san,,,
2665363495.0,False,映画 / ゲーム / 読書 / DJ / アシッドテクノ / MASCHINE / SP-404SX / DDJ-RB / ルービックキューブ / 音楽の動画をYouTubeに上げてます。よかったら見てください / アイコンとヘッダーは うにやまうにおさん (@uniyamaunio1002 ) に描いて頂きました,False,https://t.co/aUzDPnLqfN,"{'followers_count': 234, 'following_count': 794, 'tweet_count': 8627, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1140118729994301440/oFROZgai_normal.jpg,しぃ,see1649,8.546787423245844e+17,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/aUzDPnLqfN', 'expanded_url': 'https://www.youtube.com/channel/UC4aO2aK7IM3FhxC1GsLk-QQ', 'display_url': 'youtube.com/channel/UC4aO2…'}]}, 'description': {'mentions': [{'start': 130, 'end': 146, 'username': 'uniyamaunio1002'}]}}",
