,location,verified,description,username,url,protected,name,id,public_metrics,profile_image_url,pinned_tweet_id,entities
858735640120139776,To Kyo to,False,身に覚えのない善行が功を奏するのを待つ日々,KitokitoWorld,https://t.co/1X2e9iibsJ,False,𝘬𝘪𝘵𝘰𝘬𝘪𝘵𝘰\( ･ω･)/,,"{'followers_count': 1594, 'following_count': 560, 'tweet_count': 31209, 'listed_count': 38}",https://pbs.twimg.com/profile_images/1306682888147013632/pCA4jKib_normal.jpg,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1X2e9iibsJ', 'expanded_url': 'https://www.amazon.jp/hz/wishlist/ls/1D74AXMCL1FQX?ref_=wl_share', 'display_url': 'amazon.jp/hz/wishlist/ls…'}]}}"
982432333,アイアイエー島,False,イカやってるマスター兼騎空士,pad_kumi,,False,kumi,,"{'followers_count': 1310, 'following_count': 270, 'tweet_count': 180874, 'listed_count': 18}",https://pbs.twimg.com/profile_images/1238894453659557889/wSyjFN6w_normal.jpg,1141305863652573185,
2741240850,트와일라잇,False,"사퍼팡인/
알티중독자/
약간 연뮤덕/
본건적지만 언급은 많음/
인장제공 : 끼뮬끼뮬(❤❤❤)",__lez_,,False,레쯔🥑,,"{'followers_count': 27, 'following_count': 150, 'tweet_count': 26912, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1354088691950616577/k2JGPFqM_normal.jpg,1503643954042277889,
1390080439751266309,,False,"Estudio Derecho. 
La vida iba en serio.
🏆 x9.",AlexVI_____,,False,AlexVI✨,,"{'followers_count': 37, 'following_count': 329, 'tweet_count': 2440, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1469685130033872903/OZh_R_Fe_normal.jpg,1439645787135385601,
156147679,Los Angeles,False,"Vice President, Marketing at @byQuartzNetwork. Working towards being a better marketer and a better leader every day. I also post Wordle stats.",reganwynne,,False,Regan Wynne,,"{'followers_count': 2160, 'following_count': 665, 'tweet_count': 5357, 'listed_count': 184}",https://pbs.twimg.com/profile_images/1301555632147853312/AfnLzobk_normal.jpg,1466416153593479172,"{'description': {'mentions': [{'start': 29, 'end': 45, 'username': 'byQuartzNetwork'}]}}"
1331945849690214401,,False,Complete twit! Should have been here years ago!,WillieR29954482,,False,Willie Ross,,"{'followers_count': 3, 'following_count': 22, 'tweet_count': 128, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1331950756937818114/Z3Rr_Wue_normal.jpg,,
554272497,11,False,👧「結婚式は月でハネムーンがいいなぁ」👨「月でハネムーンしようや〜」👧「アハハ〜😂」〜10年後〜👨‍🚀「本当にする？」,ausnoshizuku,,False,👨‍🚀まげお👨‍🚀,,"{'followers_count': 529, 'following_count': 599, 'tweet_count': 107638, 'listed_count': 30}",https://pbs.twimg.com/profile_images/1423264276085579782/YV3VLaqS_normal.png,1501579861798047744,
108507385,石川生まれ富山暮らし,False,週休4日のインドア生活者。猫飼い。日常＆普通のオタ話・THEALFEE・FSSツイ多し。歌マクロス＆シンフォギアXDやってます。,OkraNao,,False,おーくら,,"{'followers_count': 104, 'following_count': 138, 'tweet_count': 44840, 'listed_count': 15}",https://pbs.twimg.com/profile_images/1502508916479262726/6dBiFMUy_normal.jpg,,
24500146,"Madison, WI",False,Creator of Bug Martini. Player of tabletop rpgs. Maker of references from geeky movies from the 80s.,BugMartini,https://t.co/2Vs3ZPTwdi,False,Adam Huber,,"{'followers_count': 3660, 'following_count': 45, 'tweet_count': 19493, 'listed_count': 232}",https://pbs.twimg.com/profile_images/2424161034/bmau9eotsaevn8y43aex_normal.png,1365166537309622277,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2Vs3ZPTwdi', 'expanded_url': 'https://linktr.ee/Bugmartini', 'display_url': 'linktr.ee/Bugmartini'}]}}"
1335612128452108288,Twilight Town,False,"She/Her/Nobody 💛🖤💛
Not a human, INFP-T disaster blob.
My account is *mostly* SFW.
(white, aroace, chronic illness gang)
PFP @tobyjamessharp",JaxiHeart,,False,Jaxi 💛,,"{'followers_count': 87, 'following_count': 1077, 'tweet_count': 6003, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1520118499393290242/cyuWCBbJ_normal.jpg,1520258726795661312,"{'description': {'mentions': [{'start': 124, 'end': 139, 'username': 'tobyjamessharp'}]}}"
816901611725275137,,False,この下にあるURLはポケカ公式のものなので間違って踏まないよう気をつけてください。,yatagarasu86,https://t.co/NOymR2oKs8,False,やたがらすねこ,,"{'followers_count': 101, 'following_count': 102, 'tweet_count': 4231, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1414795561706823694/Ao9L8hmc_normal.jpg,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/NOymR2oKs8', 'expanded_url': 'https://www.pokemon-card.com/', 'display_url': 'pokemon-card.com'}]}}"
25895179,,False,"West Coast Sales Director-Argon 18, retired DS, former bike racer. CrossFit obsessed. Born & raised in Baltimore, living in NorCal.",muddles2001,,False,Lisa Hunt,,"{'followers_count': 877, 'following_count': 1512, 'tweet_count': 14838, 'listed_count': 30}",https://pbs.twimg.com/profile_images/944872801/Boots_and_Muddy_normal.jpg,,
101702268,"Chesterfield, England",False,Retired HR Specialist,SPH210956,,False,Stephen Hardman 💙,,"{'followers_count': 256, 'following_count': 389, 'tweet_count': 1028, 'listed_count': 5}",https://pbs.twimg.com/profile_images/1255424532120248320/C4ei5GP8_normal.jpg,,
504089157,,False,she/her Modifies every recipe. Puns and podcasts are the middlest form of comedy. First game was Frogger--that X made me cry. In love with DnD.,ktpuns,,False,Katie,,"{'followers_count': 48, 'following_count': 140, 'tweet_count': 1688, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1511158730569789441/ZDLHT4xa_normal.jpg,,
27122356,,False,Tech Support - vegetarian & huge Collective Soul fan ; ♎,odajoe,,False,Lily,,"{'followers_count': 2240, 'following_count': 1145, 'tweet_count': 51353, 'listed_count': 63}",https://pbs.twimg.com/profile_images/574768959272038400/0ACkDlTU_normal.jpeg,1495438406687477761,
17964610,four one three,False,"(taylor's version). mostly void, partially stars. librarian. ynwa. hell could not afford to keep me in the damnation to which i am accustomed.",ihadtimetokill,,False,s t e p h a n i e,,"{'followers_count': 213, 'following_count': 133, 'tweet_count': 26521, 'listed_count': 22}",https://pbs.twimg.com/profile_images/1213536522978365440/8prNzSkh_normal.jpg,,
28352568,"Chicago, IL",False,"Diversity, inclusion, and equity advocate with a focus on small business development",JPPrieto85,,False,JuanPablo Prieto,,"{'followers_count': 112, 'following_count': 773, 'tweet_count': 581, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1294040411854512129/XnrMVOj-_normal.jpg,,
1386648556421910532,koi,False,Vine a comerme el coco loco no a comerme el mundo,robnxxt,https://t.co/gdVT1HSrb2,False,ro 🜲,,"{'followers_count': 105, 'following_count': 152, 'tweet_count': 2574, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1498035800663068674/q6Fa_cEV_normal.jpg,1446503225557929992,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gdVT1HSrb2', 'expanded_url': 'http://www.tuenti.com', 'display_url': 'tuenti.com'}]}}"
42818181,Viva Las Vegas,False,🎀💜🏰🌮🍚☁️🧘🏻‍♀️🫖🍥🦊👩🏻‍💻🖤💛❤️,jenee_beee,,False,Jen Barron,,"{'followers_count': 225, 'following_count': 701, 'tweet_count': 2182, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1511853794857955330/nIt9ey6B_normal.jpg,,
149698058,,False,,702brad,,False,Brad,,"{'followers_count': 15, 'following_count': 362, 'tweet_count': 282, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1462159469568159746/AS4LDbBK_normal.jpg,,
1090778072100462593,"New Jersey, USA",False,"film student, jack of all trades, master of none.",JustinWachtel2,,False,Justin Wachtel✡️🇵🇸,,"{'followers_count': 126, 'following_count': 1728, 'tweet_count': 5300, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1210713791723212800/oOnsCIuq_normal.jpg,,
353411141,,False,,Scoot1010,,False,Bryce Cilvick,,"{'followers_count': 50, 'following_count': 511, 'tweet_count': 1384, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1455552160528228357/CO7xmgye_normal.jpg,,
