id,public_metrics,url,profile_image_url,protected,entities,verified,name,pinned_tweet_id,username,description,location
290397156.0,"{'followers_count': 963, 'following_count': 824, 'tweet_count': 1269236, 'listed_count': 25}",,https://pbs.twimg.com/profile_images/1515575453716647939/IuT9kSLu_normal.jpg,False,"{'description': {'mentions': [{'start': 37, 'end': 44, 'username': '111fin'}]}}",False,へのへの,1.212382316980396e+18,henomohejiheno,"色々RTするひと
へっぽこゲーマー
アイコン描いてくれた神:Nihuさん(@111fin)",
161896539.0,"{'followers_count': 343, 'following_count': 411, 'tweet_count': 14335, 'listed_count': 10}",https://t.co/duUgFn2g1e,https://pbs.twimg.com/profile_images/1414041332067176448/8PIX18q4_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/duUgFn2g1e', 'expanded_url': 'https://apeuta.wordpress.com', 'display_url': 'apeuta.wordpress.com'}]}}",False,Andra P Utama,1.2217491831214817e+18,apeuta,"Act smart in English, sambat lan misuh ing Javanese.",Indonesia
6913272.0,"{'followers_count': 557, 'following_count': 790, 'tweet_count': 4563, 'listed_count': 21}",https://t.co/7t97bFFiY8,https://pbs.twimg.com/profile_images/1273013210405208064/oCSeIF9X_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7t97bFFiY8', 'expanded_url': 'http://violentskies.tumblr.com', 'display_url': 'violentskies.tumblr.com'}]}}",False,J.,1.5179929980254536e+18,Dreide,"Lasciate ogni speranza, voi ch'entrate",This space of time
219544116.0,"{'followers_count': 582, 'following_count': 508, 'tweet_count': 24307, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1245526257338437632/fnFY7RbZ_normal.jpg,False,,False,deu,,charmychachacha,ペンシルパズル早解き／WPF Puzzle Grand Prix 2014 優勝，2017 準優勝／世界パズル・ナンプレ選手権最高 3 位／パズル同人誌「トケタ？」／九州の真ん中らへん出身／競プロ（AtCoder(max黄2384)，こどふぉ(max薄橙2297)，ID: zundamochi_1117）／OMC橙,もふとん
1391915282.0,"{'followers_count': 161, 'following_count': 155, 'tweet_count': 76070, 'listed_count': 31}",https://t.co/3NQ86fmKaP,https://pbs.twimg.com/profile_images/1516751507747917825/GpDfWSmQ_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/3NQ86fmKaP', 'expanded_url': 'https://profcard.info/u/XLN8GyTLUzaj8o5CHBEmSGJb5SJ2', 'display_url': 'profcard.info/u/XLN8GyTLUzaj…'}]}}",False,⚡雷霧♈🥞,,nodatesh,名前の読み:らいむ■卓修羅ゆえ日程未来■成人済み。未成年F× ■ボイセメイン■傀逅大好き芸人。同居人、EUREKA、10万年後、NOBODY*2、Repli;C∀永続不定■好物:ショタ、BL、近親、グロゴアホラー、男性向けR18,蒼輔の隣
1.189244715876733e+18,"{'followers_count': 303, 'following_count': 854, 'tweet_count': 17485, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1478833540385157121/7Tt_s4jv_normal.jpg,False,"{'description': {'mentions': [{'start': 5, 'end': 12, 'username': 'sosage'}]}}",False,sosage 🔻🍂,,sosage_7,Ig • @sosage 👍,Lyon
378887475.0,"{'followers_count': 178, 'following_count': 579, 'tweet_count': 14625, 'listed_count': 13}",,https://pbs.twimg.com/profile_images/684582084028030985/cv6bTp7b_normal.jpg,False,"{'description': {'hashtags': [{'start': 50, 'end': 58, 'tag': 'bitcoin'}, {'start': 59, 'end': 68, 'tag': 'Ethereum'}, {'start': 69, 'end': 78, 'tag': 'polkadot'}, {'start': 79, 'end': 83, 'tag': 'ada'}, {'start': 84, 'end': 89, 'tag': 'link'}, {'start': 90, 'end': 96, 'tag': 'matic'}, {'start': 97, 'end': 101, 'tag': 'enj'}, {'start': 102, 'end': 107, 'tag': 'mana'}, {'start': 108, 'end': 113, 'tag': 'ankr'}, {'start': 114, 'end': 119, 'tag': 'gala'}, {'start': 120, 'end': 125, 'tag': 'sens'}, {'start': 126, 'end': 131, 'tag': 'coin'}, {'start': 132, 'end': 137, 'tag': 'aapl'}, {'start': 138, 'end': 143, 'tag': 'hcmc'}]}}",False,Mike,1.357966690735313e+18,U_neek81,"how do I expect third parties to know the half 

 #bitcoin #Ethereum #polkadot #ada #link #matic #enj #mana #ankr #gala #sens #coin #aapl #hcmc  🚀🚀💰💰",New york
255581122.0,"{'followers_count': 228, 'following_count': 513, 'tweet_count': 1193, 'listed_count': 3}",,https://pbs.twimg.com/profile_images/1506072630465544199/oGHjgViQ_normal.jpg,False,"{'description': {'mentions': [{'start': 14, 'end': 19, 'username': 'WNYT'}]}}",False,Isabel Lim,,ilim27,News Producer @WNYT Extraordinarily Ordinary. Ordinarily extraordinary,New York
487481338.0,"{'followers_count': 130, 'following_count': 89, 'tweet_count': 5818, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/544651987845779456/puPrkxt-_normal.jpeg,False,,False,Cordobita,,iicordobita,"El verdadero hombre inteligente, es el que aparenta ser un pelotudo delante de un pelotudo que aparenta ser inteligente",
45284903.0,"{'followers_count': 1184, 'following_count': 996, 'tweet_count': 163806, 'listed_count': 29}",,https://pbs.twimg.com/profile_images/252896464/az56_normal.jpg,False,,False,piroko,1.4594577770305004e+18,piroko42,野球好き。ロッテ。鹿に似ている,埼玉
