,description,url,verified,profile_image_url,location,id,pinned_tweet_id,username,entities,name,protected,public_metrics
0,"Enjoys F# & functional-first programming. Expert tea drinker.
Author of https://t.co/9PL7zMpVTx",https://t.co/eDqsEQTKYT,False,https://pbs.twimg.com/profile_images/1220106448610394112/JE19xlFl_normal.jpg,Little England,41316529,1489192277125828609,ijrussell,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eDqsEQTKYT', 'expanded_url': 'https://trustbit.tech/blog', 'display_url': 'trustbit.tech/blog'}]}, 'description': {'urls': [{'start': 72, 'end': 95, 'url': 'https://t.co/9PL7zMpVTx', 'expanded_url': 'http://leanpub.com/essential-fsharp', 'display_url': 'leanpub.com/essential-fsha…'}]}}",Ian Russell 💙,False,"{'followers_count': 2107, 'following_count': 1044, 'tweet_count': 24802, 'listed_count': 94}"
1,Türkiye Monopoly Milli Takım Kaptanı,,False,https://pbs.twimg.com/profile_images/1305858142228619266/AoWXJ43Y_normal.jpg,,52711287,,senoldemir,,Senol Demir,False,"{'followers_count': 1062, 'following_count': 578, 'tweet_count': 6020, 'listed_count': 4}"
2,"Mom, wife, Autism advocate for my son. Pfizer jab x 2, Moderna boosted, mask wearing blue girl in a red state. BSU alum.",,False,https://pbs.twimg.com/profile_images/462620499327991810/wSKZdX9E_normal.jpeg,"Boise, Idaho",58895208,,KarenRushWilson,,Karen R-W 💉💉💉😷 Wear a mask!,False,"{'followers_count': 2462, 'following_count': 3359, 'tweet_count': 30210, 'listed_count': 78}"
3,🔬 | N | 🥑 | O | ⛩ | E | 📷 | L | 🍡,,False,https://pbs.twimg.com/profile_images/1506000479918211080/Z6_kuk5-_normal.jpg,"Santiago de Compostela, España",959709077491388416,,_reticulocyte,,Noel:,False,"{'followers_count': 6, 'following_count': 26, 'tweet_count': 970, 'listed_count': 0}"
4,,,False,https://pbs.twimg.com/profile_images/1417265322160164869/YAicECun_normal.jpg,Melide ,79742721,,xurxootero,,Xurxo Otero,False,"{'followers_count': 167, 'following_count': 227, 'tweet_count': 1684, 'listed_count': 1}"
5,"Software developer, amateur guitar player. I work on macOS: AppleScript, Automator and Terminal.",,False,https://pbs.twimg.com/profile_images/694732090/image_normal.jpg,Silicon Valley,14506330,1126635482098462720,ChrisPage,,Chris Page,False,"{'followers_count': 416, 'following_count': 463, 'tweet_count': 3716, 'listed_count': 14}"
6,"No matter where you go, there you are.",,False,https://pbs.twimg.com/profile_images/1499226839159480326/-1QOzgDW_normal.jpg,somewhere in California,1931854772,,corinnestark752,,Corinne Stark,False,"{'followers_count': 615, 'following_count': 637, 'tweet_count': 87201, 'listed_count': 38}"
7,Content Data Analyst at Softonic. Numbers and Content are one to get the best ROI,http://t.co/8Zh8uqbcDz,False,https://pbs.twimg.com/profile_images/675380753/prueba_normal.jpg,Barcelona,111314981,,jesusbosque,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/8Zh8uqbcDz', 'expanded_url': 'http://www.softonic.com', 'display_url': 'softonic.com'}]}}",Jesús Bosque,False,"{'followers_count': 384, 'following_count': 1655, 'tweet_count': 9033, 'listed_count': 22}"
8,Author of Weaponized (Mulholland Books). Narrative worker @NeoText_Books. Husband to @AlyMennuti. Father of 2 highly eccentric kiddos. Repped by: @simontrewin,,False,https://pbs.twimg.com/profile_images/1286105618982502401/vAyjBC5O_normal.jpg,nick.mennuti@gmail.com,1356303252,,NMennuti,"{'description': {'mentions': [{'start': 58, 'end': 72, 'username': 'NeoText_Books'}, {'start': 85, 'end': 96, 'username': 'AlyMennuti'}, {'start': 146, 'end': 158, 'username': 'simontrewin'}]}}",Nicholas D. Mennuti,False,"{'followers_count': 1278, 'following_count': 1268, 'tweet_count': 8219, 'listed_count': 56}"
9,"Not that other guy. iOS and Mac developer since 1984. I ❤️ music, theater, cats, and life in San Francisco. he/him",,False,https://pbs.twimg.com/profile_images/1373057999573381122/c6pI9AXm_normal.jpg,"Cole Valley, San Francisco",987142585494851584,,carlandcole,,Mike Cohen 🇺🇸🇺🇦,False,"{'followers_count': 990, 'following_count': 1106, 'tweet_count': 29830, 'listed_count': 12}"
10,Rafael Silva • Ronen Rubinstein • Omar Ayuso Tarlos & Omander დ,https://twitter.com/niallofficial/status/543924097319989248,False,https://pbs.twimg.com/profile_images/1519298966692798468/Zsnns7Sl_normal.jpg,she/her 27 | T • L • D • W ღ,207509315,1505256693063733254,strand_reyes,"{'url': {'urls': [{'start': 0, 'end': 59, 'url': 'https://twitter.com/niallofficial/status/543924097319989248'}]}}",camille 𝄢 d-16,False,"{'followers_count': 5854, 'following_count': 2578, 'tweet_count': 161637, 'listed_count': 38}"
11,Valencià vivint a Barcelona. Piule molt sobre llengua i política i m’apassionen els (video)jocs i el bon cine.,,False,https://pbs.twimg.com/profile_images/1515309631672922124/OrOqpcg0_normal.jpg,Barcelona / Dénia,108922985,,enricuxo,,Enric,False,"{'followers_count': 2734, 'following_count': 1101, 'tweet_count': 16558, 'listed_count': 21}"
12,Politólogo especializado en análisis y comunicación política en la @unicomplutense Doctor en història a la @UIBuniversitat. Defensor de les nostres illes.,,False,https://pbs.twimg.com/profile_images/1431170824862638082/_6dEwrAH_normal.jpg,Illes Balears,387203440,1324781680280915971,MiguelCarranz10,"{'description': {'mentions': [{'start': 67, 'end': 82, 'username': 'unicomplutense'}, {'start': 107, 'end': 122, 'username': 'UIBuniversitat'}]}}",Miguel Carranza Guasch 🎗🔻,False,"{'followers_count': 479, 'following_count': 996, 'tweet_count': 3561, 'listed_count': 2}"
13,"The Accidental Granda.
Cliftonville, Bees, Quo. Take my hand, together we can rock and roll.",,False,https://pbs.twimg.com/profile_images/1263452173100351489/9sWaLBRA_normal.jpg,Belfast,3077622010,,SirFestusBurke,,Fin M,False,"{'followers_count': 83, 'following_count': 215, 'tweet_count': 5841, 'listed_count': 0}"
14,"Writer, reader, all around weirdo. He/him.",https://t.co/QXe0WT3CaS,False,https://pbs.twimg.com/profile_images/1481188290380324866/oSZ6H4wN_normal.jpg,Kansas City,16622956,768851486671372288,evanwaters,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QXe0WT3CaS', 'expanded_url': 'http://evanwaters.blogspot.com', 'display_url': 'evanwaters.blogspot.com'}]}}",Evan Waters,False,"{'followers_count': 367, 'following_count': 610, 'tweet_count': 49939, 'listed_count': 19}"
15,"Soc una noia normal, amb problemes normals... encara que hauriem de definir el concepte de 'normal' no creieu? 🤔😂",,False,https://pbs.twimg.com/profile_images/1501482231491137540/iep07E3H_normal.jpg,,1501481564479401984,,lauraapinyol,,Laura ❤️,False,"{'followers_count': 11, 'following_count': 31, 'tweet_count': 254, 'listed_count': 0}"
16,A Northern soul.,,False,https://pbs.twimg.com/profile_images/1424683123216953345/fhryGBl-_normal.jpg,DURHAM,86922655,,dowsfield,,PAULINE TIFFIN,False,"{'followers_count': 66, 'following_count': 182, 'tweet_count': 1998, 'listed_count': 1}"
