id,location,profile_image_url,description,name,public_metrics,url,pinned_tweet_id,protected,verified,username,entities
281681464,MIchigan,https://pbs.twimg.com/profile_images/1448486189032525826/1Qk0e21t_normal.jpg,"He/Him, Bi, I like Nintendo, Toku, DC TV. Switch: SW-4872-5355-0316, NNID: KariyuHeroken PSN: KariyuHeroken",Jeff Moses,"{'followers_count': 442, 'following_count': 700, 'tweet_count': 53313, 'listed_count': 24}",,1.2701323540451533e+18,False,False,KariyuHeroken,
732903948,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"Investments, education",Jason Ghor,"{'followers_count': 3, 'following_count': 38, 'tweet_count': 136, 'listed_count': 0}",,,False,False,JasonGhor,
30971225,In the groove I carved out,https://pbs.twimg.com/profile_images/1320849848753623042/6Rcivn_l_normal.jpg,"Sister, mother, friend. Most important a child of God!",Felicia Billingsley,"{'followers_count': 29, 'following_count': 196, 'tweet_count': 668, 'listed_count': 0}",,,False,False,msitt,
1309523455964971008,日本,https://pbs.twimg.com/profile_images/1480142083151527940/ZogDfE9d_normal.jpg,ち い か わ 占 い 🥇×5 🥈×8🥉×8,🐟 しゃけ 🐟,"{'followers_count': 90, 'following_count': 84, 'tweet_count': 9355, 'listed_count': 6}",,1.4841312283539907e+18,False,False,0KuRiMoNoSunday,
2409763922,"JACKSON,TN",https://pbs.twimg.com/profile_images/1068687186126606336/EJC59OCc_normal.jpg,"A NFL FAN, A WWE FAN & Comic Book FAN",nick kemp,"{'followers_count': 3768, 'following_count': 468, 'tweet_count': 884525, 'listed_count': 35}",,,False,False,nickkemp12,
285750318,born to TVM raised by chennai,https://pbs.twimg.com/profile_images/1315154376659398656/1Ki0nUl__normal.jpg,"AS far as i could remember i always wanted to become a film maker
be frank and open to all around u ... the way i am.",SiRaK,"{'followers_count': 10, 'following_count': 260, 'tweet_count': 405, 'listed_count': 0}",,1.3882028363248722e+18,False,False,Siva117,
282418323,cincinnati,https://pbs.twimg.com/profile_images/1266369830795407366/6jzi89Mc_normal.jpg,bat flip enthusiast.,BigDay,"{'followers_count': 34, 'following_count': 55, 'tweet_count': 5169, 'listed_count': 0}",,,False,False,rsmith0906,
2425599146,東京上空・月の島,https://pbs.twimg.com/profile_images/1474061183812784130/WgFAs8z-_normal.jpg,PHのフェリス(d20066)の背後垢です。KBでもフェリス(e02395)第六でもフェリス（f02380）チェンパラもフェリス(g01342)//イラスト無断転載駄目絶対。//まだ臨床はついてない心理士//呟きはゲームの内容を中心に日常と猫と空リプ//アイコンはエルカ先輩に描いていただいたもの,リグフェリス,"{'followers_count': 305, 'following_count': 596, 'tweet_count': 86894, 'listed_count': 7}",,1.0750884554644152e+18,False,False,feris0712,
839150788337250304,🇻🇳HCM←⛰米沢←🗼練馬,https://pbs.twimg.com/profile_images/1247893172946001922/Uz0g4VS4_normal.jpg,"🇻🇳HCM日系IT / やりたいこと → 個人開発 , Vlog  /  ReactJS , NodeJS , Python , Sudachi  / 🇯🇵🇻🇳国際恋愛 / 2年かけて夢を叶えたので、さて、これからなにしようかなという感じ / 修行中",mota,"{'followers_count': 1845, 'following_count': 1700, 'tweet_count': 14836, 'listed_count': 25}",https://t.co/SFPVDqL589,,False,False,2timesbottle,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/SFPVDqL589', 'expanded_url': 'https://www.youtube.com/channel/UCzMupaTFy_MLnmMshI_8LPw', 'display_url': 'youtube.com/channel/UCzMup…'}]}}"
107476396,"Lima, Perú",https://pbs.twimg.com/profile_images/1425233379390377988/hvSxLXVR_normal.jpg,One tweet wonder,caimán baby,"{'followers_count': 212, 'following_count': 436, 'tweet_count': 7470, 'listed_count': 0}",,,False,False,caimanbaby,
46524590,Dominican Republic,https://pbs.twimg.com/profile_images/1079474253433659393/8dxevhQA_normal.jpg,"Nunca he sido más feliz que diciendo lo que siento, y quiero decir lo que siento a través del cine.",Violeta Lockhart,"{'followers_count': 2865, 'following_count': 2038, 'tweet_count': 36572, 'listed_count': 37}",https://t.co/15He6e7DxR,1.222740546436903e+18,False,False,VioletaLockhart,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/15He6e7DxR', 'expanded_url': 'http://www.minervasfilmrd.com', 'display_url': 'minervasfilmrd.com'}]}}"
19760317,IG @missnuma,https://pbs.twimg.com/profile_images/1506447196014592002/beizp68t_normal.jpg,"filmmaker, actress, producer —directed The Perfect Find for @netflix & starring in thriller #fuzzyheadmovie  COMING SOON! —watch my 1st film JEZEBEL on @netflix",numa perrier,"{'followers_count': 22757, 'following_count': 1506, 'tweet_count': 30373, 'listed_count': 254}",https://t.co/pdcZ7P7FhK,1.5077899458422743e+18,False,True,missnuma,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/pdcZ7P7FhK', 'expanded_url': 'http://www.houseofnuma.com', 'display_url': 'houseofnuma.com'}]}, 'description': {'hashtags': [{'start': 92, 'end': 107, 'tag': 'fuzzyheadmovie'}], 'mentions': [{'start': 60, 'end': 68, 'username': 'netflix'}, {'start': 152, 'end': 160, 'username': 'netflix'}]}}"
763771643449774080,"Georgia, USA",https://pbs.twimg.com/profile_images/1349428883892953094/PtGas6Lu_normal.jpg,(He/Him) I zoom in on toes #BlackLivesMatter,Vaxxed and boosted,"{'followers_count': 507, 'following_count': 768, 'tweet_count': 8275, 'listed_count': 1}",,1.2425815936314696e+18,False,False,indivizibleman,"{'description': {'hashtags': [{'start': 27, 'end': 44, 'tag': 'BlackLivesMatter'}]}}"
1370074350741782528,,https://pbs.twimg.com/profile_images/1514738090111389701/OHizKsqP_normal.jpg,✨18 y/o 🌏Germany 🪐 #justiceforjohnnydepp ❤️ Ever Since New York🗽 BTS Army💜,Anna,"{'followers_count': 7, 'following_count': 59, 'tweet_count': 1095, 'listed_count': 0}",,1.4277359604570317e+18,False,False,annazmlr,"{'description': {'hashtags': [{'start': 19, 'end': 40, 'tag': 'justiceforjohnnydepp'}]}}"
729595225,,https://pbs.twimg.com/profile_images/1512653279020388356/GJibo0Cm_normal.jpg,25. odu alumna. grad student. virgo. she/her. aggressively minding my business.,brown skin babe,"{'followers_count': 2049, 'following_count': 530, 'tweet_count': 69220, 'listed_count': 7}",,1.4875891527575388e+18,False,False,l00GRAND,
74567786,General Pico,https://pbs.twimg.com/profile_images/1483607989043056645/-bVpkedK_normal.jpg,La pizza fría es un excelente desayuno.,Negro,"{'followers_count': 554, 'following_count': 325, 'tweet_count': 10301, 'listed_count': 8}",https://t.co/jXaEcqFQDt,1.4270839021794796e+18,False,False,neeeeeeeegro,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jXaEcqFQDt', 'expanded_url': 'https://youtube.com/channel/UCSkPqXM-WUiC15KKiUaIzRQ', 'display_url': 'youtube.com/channel/UCSkPq…'}]}}"
