id,pinned_tweet_id,protected,url,name,description,public_metrics,username,profile_image_url,verified,entities,location
1.2741684762701169e+18,1.4707735114512097e+18,False,,らぁらﾁｬﾝ❔,こうみえて看護師やってます。🫁とコロナ病棟❸🩻推し毒に沼ってはや5ヶ月,"{'followers_count': 166, 'following_count': 260, 'tweet_count': 6463, 'listed_count': 0}",ra_rZOC,https://pbs.twimg.com/profile_images/1514277071513845761/bSz28kf1_normal.jpg,False,,
1.2073157978797343e+18,1.3822148709014036e+18,False,,DavidPM,"Primate subecerros, generalmente en bicicleta.","{'followers_count': 94, 'following_count': 534, 'tweet_count': 1818, 'listed_count': 1}",D_bicicleta,https://pbs.twimg.com/profile_images/1460866592196206592/l7XSoC7A_normal.jpg,False,,
238196208.0,,False,https://t.co/2UV1psjR2Y,Robert Gonyo,"Theatre/voiceover/tourguide. Tweets about theatre, politics, pinball, beer, and rock & roll.","{'followers_count': 564, 'following_count': 1524, 'tweet_count': 10405, 'listed_count': 25}",robertgonyo,https://pbs.twimg.com/profile_images/1215558847/rakg_astor_paper_sm_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2UV1psjR2Y', 'expanded_url': 'http://www.robertgonyo.com', 'display_url': 'robertgonyo.com'}]}}","Queens, NY"
2268982832.0,1.4855490317910958e+18,False,,bisexual chanyeol,#CHANYEOL: 너 챈열의 성정체성 짓밟다 마구 짓밟은 악마...,"{'followers_count': 277, 'following_count': 555, 'tweet_count': 72199, 'listed_count': 12}",BigBFMaru,https://pbs.twimg.com/profile_images/1522961005168394240/Rzodo5TC_normal.jpg,False,"{'description': {'hashtags': [{'start': 0, 'end': 9, 'tag': 'CHANYEOL'}]}}",she/her | fan account
535801118.0,,False,,Barb Sivret,"just living my best life,being the best grandma to a beautiful little girl.wife mother all around best person to my husband.","{'followers_count': 35, 'following_count': 586, 'tweet_count': 672, 'listed_count': 0}",Barb_RS1,https://pbs.twimg.com/profile_images/1512088757469470725/oRo87xcs_normal.jpg,False,,"Papineau-Cameron, Ontario"
9.5488094664525e+17,,False,https://t.co/NdVf8jHzOF,dre,"if life gives you lemons, squeeze them on other's eyes || 20","{'followers_count': 24, 'following_count': 114, 'tweet_count': 17272, 'listed_count': 0}",rawmannn,https://pbs.twimg.com/profile_images/1522873511722684421/mImNq-8O_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/NdVf8jHzOF', 'expanded_url': 'https://youtu.be/ml3__ZSJAeU', 'display_url': 'youtu.be/ml3__ZSJAeU'}]}}",benny's adventure team
514633508.0,1.5154970040376648e+18,False,https://t.co/OaafasK5AD,Madame Twiggy: 𝓗𝓸𝓾𝓼𝓮 𝓞𝓯 𝓘𝓵𝓵 𝓡𝓮𝓹𝓾𝓽𝓮,#barkini™️wearing #SmoothCollie. 🥁er #BovverBand #pigposse #ruffriderz #theaviators Major/Medic in #ZSHQ #grayfacemafia #MountaineeringBears +1 dog #hedgewatch,"{'followers_count': 3468, 'following_count': 1866, 'tweet_count': 28802, 'listed_count': 12}",CollieTwiggy,https://pbs.twimg.com/profile_images/1521631864728932352/bhCToaN__normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OaafasK5AD', 'expanded_url': 'https://www.youtube.com/channel/UC5Q1mLKfRctLcKFNnTEaFSQ', 'display_url': 'youtube.com/channel/UC5Q1m…'}]}, 'description': {'hashtags': [{'start': 0, 'end': 8, 'tag': 'barkini'}, {'start': 18, 'end': 31, 'tag': 'SmoothCollie'}, {'start': 37, 'end': 48, 'tag': 'BovverBand'}, {'start': 49, 'end': 58, 'tag': 'pigposse'}, {'start': 59, 'end': 70, 'tag': 'ruffriderz'}, {'start': 71, 'end': 83, 'tag': 'theaviators'}, {'start': 99, 'end': 104, 'tag': 'ZSHQ'}, {'start': 105, 'end': 119, 'tag': 'grayfacemafia'}, {'start': 120, 'end': 140, 'tag': 'MountaineeringBears'}, {'start': 148, 'end': 159, 'tag': 'hedgewatch'}]}}",THE Valley: Furr sure. Gag me
394366413.0,1.3696888310713795e+18,False,https://t.co/BweRqbFj1X,Megan Jae Riggs,photojournalist. dogmom & mama. ecofeminist Ⓥ♀ @meganjaepearl on @instagram 🌻 she/they,"{'followers_count': 268, 'following_count': 1009, 'tweet_count': 6766, 'listed_count': 12}",MeganJaePearl,https://pbs.twimg.com/profile_images/378800000768940172/b837cfbac18757a5a1c0cc8465a6efe8_normal.jpeg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BweRqbFj1X', 'expanded_url': 'http://www.meganjaepearl.com', 'display_url': 'meganjaepearl.com'}]}, 'description': {'mentions': [{'start': 47, 'end': 61, 'username': 'meganjaepearl'}, {'start': 65, 'end': 75, 'username': 'instagram'}]}}","Jackson, WY"
7.989336765664788e+17,1.4099166022760653e+18,False,,Sr. Sherry 🚀✊,Recuerda quién eres.,"{'followers_count': 36, 'following_count': 304, 'tweet_count': 5507, 'listed_count': 0}",SenorSherry,https://pbs.twimg.com/profile_images/798936166263377921/_GcXRKFs_normal.jpg,False,,"Jerez de la Frontera, España"
279824790.0,1.3575848306328453e+18,False,https://t.co/ZndjeuoNGx,YerOlDad,"Avid wrestling fan, writer and uncle. #ReckingCrewForever https://t.co/ZndjeuoNGx","{'followers_count': 310, 'following_count': 435, 'tweet_count': 30274, 'listed_count': 8}",YerOlDad,https://pbs.twimg.com/profile_images/1518669346645712896/4mAI1eMX_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZndjeuoNGx', 'expanded_url': 'https://www.twitch.tv/YerOlDad', 'display_url': 'twitch.tv/YerOlDad'}]}, 'description': {'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/ZndjeuoNGx', 'expanded_url': 'https://www.twitch.tv/YerOlDad', 'display_url': 'twitch.tv/YerOlDad'}], 'hashtags': [{'start': 38, 'end': 57, 'tag': 'ReckingCrewForever'}]}}",Idaho Green
1.3339934126981898e+18,,False,,Onus Probandi,Person | Parent | Lawyer | Mediator | Arbitrator | Accomplice | Law Nerd |  History Nerd | Traveller | Kickboxer |  Horse Trader | Gen X | Amateur Photographer,"{'followers_count': 51, 'following_count': 107, 'tweet_count': 1767, 'listed_count': 0}",probandi_onus,https://pbs.twimg.com/profile_images/1336903003421466624/b76LZCVn_normal.jpg,False,,Canada
