,description,id,url,name,profile_image_url,public_metrics,location,verified,username,protected,entities,pinned_tweet_id
14,🎬,1481815742,https://t.co/2QIXZEPF38,Efepefer🇮🇨🇮🇹🇳🇱,https://pbs.twimg.com/profile_images/1482141641779654657/xbK79oAe_normal.jpg,"{'followers_count': 45, 'following_count': 983, 'tweet_count': 6400, 'listed_count': 0}",En Francia seguro que no,False,Fran_pg_,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2QIXZEPF38', 'expanded_url': 'https://open.spotify.com/user/spotify/playlist/37i9dQZF1EptA3va6dIP2Q?si=5FTNebgnSzuBbOr0rx1VdQ', 'display_url': 'open.spotify.com/user/spotify/p…'}]}}",1271153404786675715
15,Empezando de cero.,1359240494031785991,,ulpianez,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"{'followers_count': 2, 'following_count': 47, 'tweet_count': 20, 'listed_count': 0}",,False,ulpianez,False,,
16,günün sonunda ne olursa olsun biz mutsuz ve yalnızız,269388920,,Mesut,https://pbs.twimg.com/profile_images/1459863972740481027/w3dsxZbV_normal.jpg,"{'followers_count': 400, 'following_count': 445, 'tweet_count': 16548, 'listed_count': 1}","İstanbul, Türkiye",False,mesutkmlclb,False,,1445031326705389577
17,,25374356,,ACHG,https://pbs.twimg.com/profile_images/1085591032157347840/S0AZJIZt_normal.jpg,"{'followers_count': 25, 'following_count': 215, 'tweet_count': 980, 'listed_count': 0}",Madrid. España,False,niovesdo,False,,
18,She/her. Blogger + freelance content writer. Massive Swiftie. Blog enquiries: info@theenglisheverygirl.com. Freelance enquiries: https://t.co/2kFC6gV0Vs,81662013,https://t.co/jWx3gV8bc0,Sian 🧣,https://pbs.twimg.com/profile_images/743150035857252352/nr3SiLoW_normal.jpg,"{'followers_count': 3526, 'following_count': 1959, 'tweet_count': 69935, 'listed_count': 80}","Hull, England",False,sianreed93,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jWx3gV8bc0', 'expanded_url': 'http://www.theenglisheverygirl.com', 'display_url': 'theenglisheverygirl.com'}]}, 'description': {'urls': [{'start': 129, 'end': 152, 'url': 'https://t.co/2kFC6gV0Vs', 'expanded_url': 'http://contentbysian.com', 'display_url': 'contentbysian.com'}]}}",1483768333501878273
19,"流離のツイッター。DM,無断フォローなんでもOK❗️",1128198283753447425,https://t.co/rPwmENDxol,中川 正,https://pbs.twimg.com/profile_images/1467856681115975682/TkdB4EoY_normal.jpg,"{'followers_count': 111, 'following_count': 280, 'tweet_count': 4433, 'listed_count': 0}",広島 広島市 安佐南区,False,mhqH4dlHMjNgdws,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/rPwmENDxol', 'expanded_url': 'http://www.urban.ne.jp/home/tad8/', 'display_url': 'urban.ne.jp/home/tad8/'}]}}",1372092676791693313
20,"30.
I don't know what to say here. I RT cute pictures and porn mostly

Will block bots and report minors.
Avatar by @vappytail",754422182,,Linky Glace 🔞,https://pbs.twimg.com/profile_images/1177990862627692544/S7K_E1ka_normal.jpg,"{'followers_count': 51, 'following_count': 320, 'tweet_count': 10459, 'listed_count': 0}","Santa Clarita, CA",False,LinkyGlace,False,"{'description': {'mentions': [{'start': 116, 'end': 126, 'username': 'vappytail'}]}}",1499753034582089730
21,,1372559717009125380,,Katherine Jackson,https://pbs.twimg.com/profile_images/1451335004315918339/amBLZ1aF_normal.jpg,"{'followers_count': 10, 'following_count': 127, 'tweet_count': 141, 'listed_count': 0}","Pittsburgh, PA",False,kthrnjcksn23,False,,
22,,2857135450,https://t.co/bRBsMpkGT6,SombraSST♥️💙💚,https://pbs.twimg.com/profile_images/1373428216573140993/IKh8o6zT_normal.jpg,"{'followers_count': 395, 'following_count': 431, 'tweet_count': 27696, 'listed_count': 2}","Tenerife, Islas Canarias",False,SombraSST,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/bRBsMpkGT6', 'expanded_url': 'https://www.fanfiction.net/u/4460756/', 'display_url': 'fanfiction.net/u/4460756/'}]}}",1460335131902844930
23,"Author, 'George Clooney: Anatomy of an Actor', and the forthcoming “When It Was Cool”. For hire. https://t.co/gkhHXCa33a",15812066,https://t.co/vNceH5bXVH,Jeremy Smith,https://pbs.twimg.com/profile_images/1488944171654123521/r7huVW0M_normal.jpg,"{'followers_count': 9768, 'following_count': 1163, 'tweet_count': 81967, 'listed_count': 293}","Salt Lake City, UT",False,mrbeaks,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/vNceH5bXVH', 'expanded_url': 'https://www.patreon.com/mrbeaks', 'display_url': 'patreon.com/mrbeaks'}]}, 'description': {'urls': [{'start': 97, 'end': 120, 'url': 'https://t.co/gkhHXCa33a', 'expanded_url': 'http://letterboxd.com/mrbeaks/', 'display_url': 'letterboxd.com/mrbeaks/'}]}}",1519468721835675648
24,"Proud Northeast Ohioan for most of my life, now living in Santa Fe, NM. #JustaKidfromCLE #LandofEnchantment",406484638,,KathleenFromCLE,https://pbs.twimg.com/profile_images/1464736449849225218/NsmciSi6_normal.jpg,"{'followers_count': 1193, 'following_count': 2531, 'tweet_count': 16816, 'listed_count': 34}","Santa Fe, NM",False,KathleenFromCLE,False,"{'description': {'hashtags': [{'start': 72, 'end': 88, 'tag': 'JustaKidfromCLE'}, {'start': 89, 'end': 107, 'tag': 'LandofEnchantment'}]}}",
25,Followed by Kevin Corke and I'm still giddy about it😀,1240746011598954504,,Independent Eve 🇺🇸🌷🌳☀️🐚🍹,https://pbs.twimg.com/profile_images/1506493445946417154/KA87PDcI_normal.jpg,"{'followers_count': 771, 'following_count': 771, 'tweet_count': 88897, 'listed_count': 2}",,False,bohun63,False,,
26,prone to fits of apathy,74660275,,minion girl,https://pbs.twimg.com/profile_images/727249203051679744/icFZMl42_normal.jpg,"{'followers_count': 30, 'following_count': 536, 'tweet_count': 1882, 'listed_count': 4}",,False,lostminion10,False,,
27,Sobrevivo a base de kleenex y psicólogos. Comento lo que me entretiene. Mi corazón es azulgrana. II.X.MMXVI. Cousiña♡,3227236655,https://t.co/L2NwmMt6Md,Cúlia 🍻🏳️‍🌈🎗,https://pbs.twimg.com/profile_images/881225945624887296/Zf5k0mmb_normal.jpg,"{'followers_count': 1217, 'following_count': 224, 'tweet_count': 75028, 'listed_count': 13}","Miranda de Ebro, España",False,CuliaMaslany,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/L2NwmMt6Md', 'expanded_url': 'https://m.ask.fm/JuliaTeixido', 'display_url': 'm.ask.fm/JuliaTeixido'}]}}",686997122353356800
28,La oscuridad calentita y acogedora  ||  El abrazo será mutuo o no será.,596504525,,Deshonra sobre tu vaca,https://pbs.twimg.com/profile_images/1359442449333161984/jswRQJTD_normal.jpg,"{'followers_count': 480, 'following_count': 320, 'tweet_count': 43529, 'listed_count': 6}","Barakaldo, España",False,_Lauriruli,False,,1517942760250171392
29,Demand your best always!,793711189964517376,,Michael J Chase,https://pbs.twimg.com/profile_images/793721063729401856/sgTsPRva_normal.jpg,"{'followers_count': 101, 'following_count': 1022, 'tweet_count': 6262, 'listed_count': 0}","Oconomowoc, WI",False,MichaelChase77,False,,
30,"Deputy Club Football Secretary;
Ground Safety Officer;
Bamber Bridge FC ⚫⚪⚫⚪
Nottingham Forest 🔴⚪⚪🔴",15134361,,Paul from Chorley,https://pbs.twimg.com/profile_images/1520452787183702017/Yf8byfzg_normal.jpg,"{'followers_count': 931, 'following_count': 1472, 'tweet_count': 11356, 'listed_count': 8}",Lancashire 🌹,False,metz1969,False,,
31,"Allegedly-retired Em. Prof. Microbiology. Still does science things. Tweets personal, often odd. RT not always endorsement. #Tyke #iPhobe #Rejoiner #FBPE",36909762,,"Nigel (pro-vax, pro-mask, pro-EU) Brown 🇪🇺🌏🔬",https://pbs.twimg.com/profile_images/1496979483378827266/f0i0WTcF_normal.jpg,"{'followers_count': 2119, 'following_count': 661, 'tweet_count': 23890, 'listed_count': 64}",Plague Island,False,nl_brown,False,"{'description': {'hashtags': [{'start': 124, 'end': 129, 'tag': 'Tyke'}, {'start': 130, 'end': 137, 'tag': 'iPhobe'}, {'start': 138, 'end': 147, 'tag': 'Rejoiner'}, {'start': 148, 'end': 153, 'tag': 'FBPE'}]}}",
32,🏳️‍🌈 how can i make this about Michael Holden,1221232201766928384,https://t.co/8LTjo7iajf,rhianna 🍂,https://pbs.twimg.com/profile_images/1520522530817290242/4Ve6NWrv_normal.jpg,"{'followers_count': 179, 'following_count': 835, 'tweet_count': 20471, 'listed_count': 5}","she they
twenty",False,MELL0RHI,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8LTjo7iajf', 'expanded_url': 'https://ranboofication.carrd.co/', 'display_url': 'ranboofication.carrd.co'}]}}",1508522056668827661
33,¿?,386164901,,S1V7N,https://pbs.twimg.com/profile_images/1507747569383976963/fevDVrlX_normal.jpg,"{'followers_count': 645, 'following_count': 69, 'tweet_count': 101695, 'listed_count': 0}",Música,False,blakheart17,False,,1471928714703388673
34,"Kansas City Chiefs, huge wrestling nerd, gaming geek, movie wiz, sports enthusiast, music lover and all around nice guy until you piss me off",149394571,https://t.co/NoXcTDASRE,Matthew Laverty,https://pbs.twimg.com/profile_images/1353418747495796739/rH65A97K_normal.jpg,"{'followers_count': 114, 'following_count': 279, 'tweet_count': 5632, 'listed_count': 3}","Hershey, PA",False,KingMatt2006,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/NoXcTDASRE', 'expanded_url': 'http://Instagram.com/kingmattwwesc', 'display_url': 'Instagram.com/kingmattwwesc'}]}}",
35,"Physician-scientist @unige_en @Hopitaux_unige. PI, @LabNeuron. Bridging the gap between neurons and neurology. Unique cornflake.",565848656,https://t.co/v0NqiPDzI7,Pierre Mégevand,https://pbs.twimg.com/profile_images/1405032750407733250/-DYKgh4Z_normal.jpg,"{'followers_count': 1273, 'following_count': 996, 'tweet_count': 14508, 'listed_count': 108}","Geneva, Switzerland",False,pierre_vanmedge,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/v0NqiPDzI7', 'expanded_url': 'http://scholar.google.com/citations?user=4xvGuWMAAAAJ', 'display_url': 'scholar.google.com/citations?user…'}]}, 'description': {'mentions': [{'start': 20, 'end': 29, 'username': 'unige_en'}, {'start': 30, 'end': 45, 'username': 'Hopitaux_unige'}, {'start': 51, 'end': 61, 'username': 'LabNeuron'}]}}",457548387903344640
36,,27329128,,Claire Brown,https://pbs.twimg.com/profile_images/2931165503/bfc4e4ea0a9b686c7c5d846caf6cb60d_normal.jpeg,"{'followers_count': 146, 'following_count': 459, 'tweet_count': 1718, 'listed_count': 1}",Glasgow,False,clarabrown,False,,
37,eee,410025329,https://t.co/KrPdzwlafM,Víctor,https://pbs.twimg.com/profile_images/1514257741954654211/au7e6BUJ_normal.jpg,"{'followers_count': 342, 'following_count': 398, 'tweet_count': 56226, 'listed_count': 7}",A Corunha,False,Trunhaco,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/KrPdzwlafM', 'expanded_url': 'https://www.instagram.com/viliasecas', 'display_url': 'instagram.com/viliasecas'}]}}",1477917508741079042
38,"i saw the crescent; you saw the whole of the moon. opinions mine, and do not represent my employers, past or present. totally a Rando Santiago. He/him.

#MaskUp",41813951,,newyorkjuan 😷,https://pbs.twimg.com/profile_images/947639379857756160/DBhut9PH_normal.jpg,"{'followers_count': 143, 'following_count': 596, 'tweet_count': 26401, 'listed_count': 6}",Anarchist Jurisdiction,False,newyorkjuan,False,"{'description': {'hashtags': [{'start': 153, 'end': 160, 'tag': 'MaskUp'}]}}",1497741083001905153
39,#ManCity  Dammit I'm mad is a Palindrome. Straight outta the 254 . To buy me a coffee send honorariums to send BTC  ₿ 1EHmvk6f97UmNeYUX7qJRpYRMVRZYKZAgS,64675838,https://t.co/ZCrgEr9R0l,Mr X,https://pbs.twimg.com/profile_images/1253403370167164928/II5J20Fe_normal.jpg,"{'followers_count': 1977, 'following_count': 4130, 'tweet_count': 170321, 'listed_count': 74}",Terra Firma,False,RingoNbi,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZCrgEr9R0l', 'expanded_url': 'https://terrafirmamusings.wordpress.com', 'display_url': 'terrafirmamusings.wordpress.com'}]}, 'description': {'hashtags': [{'start': 0, 'end': 8, 'tag': 'ManCity'}]}}",1521574350046089216
40,"Humana de Tesa y Pepa 🐶🐶♥️.
#Rezadores @enTmanos.
@SubTutelaDei y @CepedayAhumada fan club president. Amorchita de @PalabraSuave.Teóloga.
Mi Dios no duerme!",1151521743401566208,https://t.co/OLNayTknV3,Princesa Tesa ن🔻 🇪🇸,https://pbs.twimg.com/profile_images/1479359802304249856/YnXutO8g_normal.jpg,"{'followers_count': 2805, 'following_count': 577, 'tweet_count': 39545, 'listed_count': 8}",,False,princesatesa1,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OLNayTknV3', 'expanded_url': 'https://instagram.com/hacemosturosario', 'display_url': 'instagram.com/hacemosturosar…'}]}, 'description': {'hashtags': [{'start': 28, 'end': 38, 'tag': 'Rezadores'}], 'mentions': [{'start': 39, 'end': 48, 'username': 'enTmanos'}, {'start': 50, 'end': 63, 'username': 'SubTutelaDei'}, {'start': 66, 'end': 81, 'username': 'CepedayAhumada'}, {'start': 115, 'end': 128, 'username': 'PalabraSuave'}]}}",1303019092299968514
41,"""I've sworn an oath of solitude until the pestilence is purged from these lands!""  Block the bots, defeatists and naysayers. #TeamPatriot",112666986,,California Girl (fully vaccinated),https://pbs.twimg.com/profile_images/1191825536521297927/tBtJxyfa_normal.jpg,"{'followers_count': 474, 'following_count': 2407, 'tweet_count': 22557, 'listed_count': 15}","California, USA",False,farwestErica,False,"{'description': {'hashtags': [{'start': 125, 'end': 137, 'tag': 'TeamPatriot'}]}}",
42,"Mad cat lady, at home on Twitter.",1251453253721751553,,Vieanne Lyle,https://pbs.twimg.com/profile_images/1252224696487157767/IiXq4i8N_normal.jpg,"{'followers_count': 2824, 'following_count': 1194, 'tweet_count': 75701, 'listed_count': 9}",,False,LyleVieanne,False,,
43,@dressrsa @disruptharmony @tweaking294042 @kujikawarises @yunarukami @kohakuoukawa @magatsuinaba @bIeakhome @g2ntoki,1369359006213443589,https://t.co/ACGmygwfVM,🍮,https://pbs.twimg.com/profile_images/1522198000646311938/svDDdsPX_normal.jpg,"{'followers_count': 261, 'following_count': 242, 'tweet_count': 26332, 'listed_count': 0}",19 🧃none/they,False,honoeIi,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ACGmygwfVM', 'expanded_url': 'https://honoka.crd.co', 'display_url': 'honoka.crd.co'}]}, 'description': {'mentions': [{'start': 0, 'end': 9, 'username': 'dressrsa'}, {'start': 10, 'end': 25, 'username': 'disruptharmony'}, {'start': 26, 'end': 41, 'username': 'tweaking294042'}, {'start': 42, 'end': 56, 'username': 'kujikawarises'}, {'start': 57, 'end': 68, 'username': 'yunarukami'}, {'start': 69, 'end': 82, 'username': 'kohakuoukawa'}, {'start': 83, 'end': 96, 'username': 'magatsuinaba'}, {'start': 97, 'end': 107, 'username': 'bIeakhome'}, {'start': 108, 'end': 116, 'username': 'g2ntoki'}]}}",1465211185217769473
44,Haciendo la mierda desde el 96. Enamorada del mar y los atardeceres. Adicta a lo que inspira. Opositando en mis ratos libres. Graduada en Derecho+RRLL+RRHH,626471828,https://t.co/2XUjm5ywe0,Anux,https://pbs.twimg.com/profile_images/1514947400879816707/91f6Hdjj_normal.jpg,"{'followers_count': 441, 'following_count': 596, 'tweet_count': 43968, 'listed_count': 2}",Sevilla,False,anaaperez10,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2XUjm5ywe0', 'expanded_url': 'https://youtu.be/7RPhEcZEfI4', 'display_url': 'youtu.be/7RPhEcZEfI4'}]}}",1498431120421134345
45,"Gardener, BBQ, Gamer, DIYer, #AVGEEK, Banker and lovin life - in no particular order! Follow me on Insta too: grillinwithmatt",40370725,,Matt,https://pbs.twimg.com/profile_images/1507629116832378880/usuiZ8tX_normal.jpg,"{'followers_count': 300, 'following_count': 400, 'tweet_count': 22105, 'listed_count': 11}",Wellington,False,mattrondavis,False,"{'description': {'hashtags': [{'start': 29, 'end': 36, 'tag': 'AVGEEK'}]}}",
46,"passionate about sport .....Ireland, Munster, Limerick (now Treaty Utd) and Manchester United !",27115799,,Tara Spain,https://pbs.twimg.com/profile_images/548248831687921664/CXRbGpo0_normal.jpeg,"{'followers_count': 451, 'following_count': 1779, 'tweet_count': 8898, 'listed_count': 8}","Galway, Ireland",False,TAZ1818,False,,
47,,367221438,,Jose Ignacio Perez,https://pbs.twimg.com/profile_images/1385693178108563466/UdEGbEv7_normal.jpg,"{'followers_count': 106, 'following_count': 242, 'tweet_count': 9088, 'listed_count': 5}",Burgos (España),False,jipvelez,False,,
48,"ヘッダーは@kurosan7750さんの絵を使っています！特定のゲームにのめり込んでは燃え尽きる性質があります。仕事でメンタルがやられてるから楽しく生きたい。
【最近】CoC・Among us・FEH(ルフレs親子推し) ・オクトラ大陸の覇者 etc.",572552583,,ゆうなぎ,https://pbs.twimg.com/profile_images/1481635962459652098/S0D-FV_w_normal.jpg,"{'followers_count': 283, 'following_count': 361, 'tweet_count': 45781, 'listed_count': 10}",(:3[＿＿],False,sigilyph7112,False,"{'description': {'mentions': [{'start': 5, 'end': 17, 'username': 'kurosan7750'}]}}",1035494809824256000
49,21 / 3rd year psych student 🧠,1059176914231926791,https://t.co/M2n2td4Ggw,savannah 🧚🏼‍♂️,https://pbs.twimg.com/profile_images/1478405731800043526/QXkkcOhQ_normal.jpg,"{'followers_count': 114, 'following_count': 401, 'tweet_count': 15367, 'listed_count': 0}",she/her,False,savannahxcash,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/M2n2td4Ggw', 'expanded_url': 'https://www.paypal.me/savannahcashx', 'display_url': 'paypal.me/savannahcashx'}]}}",1513828039582527490
50,aggressively introverted.,99054259,,Leo N,https://pbs.twimg.com/profile_images/1430355767157211137/IesBXTAo_normal.jpg,"{'followers_count': 23, 'following_count': 358, 'tweet_count': 1418, 'listed_count': 0}",Brazil,False,yaminagai,False,,
51,,30792530,,maureen trainor,https://pbs.twimg.com/profile_images/953065076801658880/uBhm0RsK_normal.jpg,"{'followers_count': 349, 'following_count': 720, 'tweet_count': 2057, 'listed_count': 3}",,False,m_o_e,False,,
52,the guy you know the frustration you don't. 😝,2955589699,,🌞I V∀ɹ🌞,https://pbs.twimg.com/profile_images/1376561721268002817/A5s8votE_normal.jpg,"{'followers_count': 264, 'following_count': 542, 'tweet_count': 25414, 'listed_count': 0}",Lonavala/Mumbai,False,LaplaceTF,False,,1310142975284932609
53,"stonks 🏴‍☠️, shitcoins 💙, jpegs 👩‍🚀",1133785739169165312,,💦🏴‍☠️💙📈,https://pbs.twimg.com/profile_images/1520227997843963907/43bzIUAt_normal.jpg,"{'followers_count': 360, 'following_count': 741, 'tweet_count': 4568, 'listed_count': 9}",gmerica,False,0xMoist,False,,1519325166630752257
54,"Gigs, bikes, gigs, filums. Irish Northerner (Derry/Wirral) decamped to N10, 🚴‍♂️ Forever European, also, Omnia Feminae Aequissimae (thanks Lady Hale).",19507014,,Jo Shepherd 🇪🇺🕷,https://pbs.twimg.com/profile_images/1181257402408210432/Zl9wKTAn_normal.jpg,"{'followers_count': 422, 'following_count': 219, 'tweet_count': 21417, 'listed_count': 11}","Muswell Hill, North London",False,JoShepherd,False,,
55,my actual surname,3342549473,,Martyn Dick,https://pbs.twimg.com/profile_images/1511671913713651721/t1nYbSbz_normal.jpg,"{'followers_count': 124, 'following_count': 760, 'tweet_count': 4995, 'listed_count': 0}","Scotland, United Kingdom",False,martyn_dick,False,,
56,"“It’s good to be black on the moon” 
Namaste",73778561,,Lady Danbury,https://pbs.twimg.com/profile_images/1485083077126856705/xfOvJ7Lx_normal.jpg,"{'followers_count': 504, 'following_count': 717, 'tweet_count': 99442, 'listed_count': 23}",Ridin’ through Texas ,False,TheTimeless1,False,,807448556110049280
57,"Algo fácil, buscar la belleza.",1192627843232124929,,@arteXXI,https://pbs.twimg.com/profile_images/1192633254974758919/xrYBRyDO_normal.jpg,"{'followers_count': 0, 'following_count': 32, 'tweet_count': 194, 'listed_count': 0}",,False,arteXXI1,False,,
58,Do something better today than you did yesterday.,213444019,,Steve Bottchen,https://pbs.twimg.com/profile_images/1314319295682314241/jmOhuHrt_normal.jpg,"{'followers_count': 121, 'following_count': 468, 'tweet_count': 6067, 'listed_count': 3}","Pelham, Al",False,PoppaBottch,False,,
59,"Hershey Bears STH, Tampa Bay Lightning fan that lives in PA, mom of adults so now I finally have time to nap, mom of the prettiest black Lab and cutest boxer",36356331,,MuffinGrumpypants,https://pbs.twimg.com/profile_images/1305879875832737793/LHEWEwlT_normal.jpg,"{'followers_count': 315, 'following_count': 576, 'tweet_count': 17367, 'listed_count': 2}","Middletown, PA",False,Muffin_Raindrop,False,,
60,"IL, WI, CO, MN. Teetotaler (7.5.2018), traveler, reader, writer, Gen X, T2D, INFJ. Cubs, Avs. Catless cat lady.",1168548144164065280,,rachresilience,https://pbs.twimg.com/profile_images/1284555789164843008/fujBhr2Z_normal.jpg,"{'followers_count': 99, 'following_count': 203, 'tweet_count': 4931, 'listed_count': 0}",Saint Paul,False,rachresilience,False,,1174850816714432512
