id,public_metrics,url,profile_image_url,protected,verified,name,pinned_tweet_id,username,description,location,entities
23519926,"{'followers_count': 2154, 'following_count': 2200, 'tweet_count': 136241, 'listed_count': 50}",,https://pbs.twimg.com/profile_images/1509295691755102209/6LYMSLag_normal.jpg,False,False,ruth allum,1.16972816799044e+18,mgtruth,"Allum (nee Colville) I'm a 64yr old wife to Paul, and mother of 2 adult children. I play golf. Poorly, but sure, it gets me out of the house. Love walking.",belfast,
7199552,"{'followers_count': 264, 'following_count': 488, 'tweet_count': 11059, 'listed_count': 26}",https://t.co/BFrCjFaJOG,https://pbs.twimg.com/profile_images/1356973825968267267/SbhvsQhc_normal.jpg,False,False,The Original JZ,1.457686415114969e+18,jszehr,"Author. Husband. Dad. Podcaster. Pop Culture and Pro Wrestling Enthusiast, Graphic Design and Movie Nerd. He/Him/His.",Western NY,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BFrCjFaJOG', 'expanded_url': 'https://zehr.substack.com/', 'display_url': 'zehr.substack.com'}]}}"
1137951595851857920,"{'followers_count': 2145, 'following_count': 1075, 'tweet_count': 39200, 'listed_count': 79}",,https://pbs.twimg.com/profile_images/1521420642549211137/lKgWLz0N_normal.jpg,False,False,matt,1.3101727722875576e+18,emotionaIpilot,—there was a wonderful structure to the city and it put my cares to rest,he/him 18,
2315304253,"{'followers_count': 8, 'following_count': 182, 'tweet_count': 92, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1288950070541520898/QIY-kzzT_normal.jpg,False,False,trishf,,Flaverin,,,
27790923,"{'followers_count': 1476, 'following_count': 1876, 'tweet_count': 8862, 'listed_count': 29}",,https://pbs.twimg.com/profile_images/1391994507508420611/rhvhaKpC_normal.jpg,False,True,Mark Kearney,1.4976145183979807e+18,mnkearney,Formerly @abcnews and @bgoaddy.,"Melbourne, Victoria","{'description': {'mentions': [{'start': 9, 'end': 17, 'username': 'abcnews'}, {'start': 22, 'end': 30, 'username': 'bgoaddy'}]}}"
796115867130101760,"{'followers_count': 655, 'following_count': 743, 'tweet_count': 44120, 'listed_count': 10}",https://t.co/TRh4UVan7k,https://pbs.twimg.com/profile_images/1116428897690836992/i2zFHNmD_normal.png,False,False,OldTurk🗽 #FreeJulian,1.4936613575935672e+18,_oldturk,#SryKim #TYTlive  #JustUs #MniWiconi #WaterIsLife #NoDAPL #StandingRock #DumpTrump  @JusticeDems @WolfPAChq @IndivisibleTeam @TYTArmy3,Northeast United States,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/TRh4UVan7k', 'expanded_url': 'http://mastodon.social/@OldTurk', 'display_url': 'mastodon.social/@OldTurk'}]}, 'description': {'hashtags': [{'start': 0, 'end': 7, 'tag': 'SryKim'}, {'start': 8, 'end': 16, 'tag': 'TYTlive'}, {'start': 18, 'end': 25, 'tag': 'JustUs'}, {'start': 26, 'end': 36, 'tag': 'MniWiconi'}, {'start': 37, 'end': 49, 'tag': 'WaterIsLife'}, {'start': 50, 'end': 57, 'tag': 'NoDAPL'}, {'start': 58, 'end': 71, 'tag': 'StandingRock'}, {'start': 72, 'end': 82, 'tag': 'DumpTrump'}], 'mentions': [{'start': 84, 'end': 96, 'username': 'JusticeDems'}, {'start': 97, 'end': 107, 'username': 'WolfPAChq'}, {'start': 108, 'end': 124, 'username': 'IndivisibleTeam'}, {'start': 125, 'end': 134, 'username': 'TYTArmy3'}]}}"
15482138,"{'followers_count': 3823, 'following_count': 4999, 'tweet_count': 101713, 'listed_count': 279}",https://t.co/OfRCJhU8Rk,https://pbs.twimg.com/profile_images/1675384105/ALN_Center_Photo_normal.jpg,False,False,Anita Nelam Adams,1.4616585035301356e+18,AnitaNelam,Chief Strategy Officer for Innovative Global Supply and mother of five. Setting up a new effort to #RethinkItAll @GoRethink. Please join me.,South Carolina,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OfRCJhU8Rk', 'expanded_url': 'http://about.me/AnitaNelam', 'display_url': 'about.me/AnitaNelam'}]}, 'description': {'hashtags': [{'start': 99, 'end': 112, 'tag': 'RethinkItAll'}], 'mentions': [{'start': 113, 'end': 123, 'username': 'GoRethink'}]}}"
165995266,"{'followers_count': 1282, 'following_count': 1509, 'tweet_count': 54738, 'listed_count': 13}",,https://pbs.twimg.com/profile_images/1287244477799657472/WFej3lJj_normal.jpg,False,False,Get the Hegel outta here,,tradrmum,Adorno et al (1950) were wrong,,
174269375,"{'followers_count': 21, 'following_count': 27, 'tweet_count': 1101, 'listed_count': 3}",https://t.co/fCrtJBI15e,https://pbs.twimg.com/profile_images/1645187408/kuromi_normal.jpg,False,False,Jenny,,aglet2,"Interests include crocheting, knitting, listening to music, TV, Taiwanese dramas and reading.",Planet Earth,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fCrtJBI15e', 'expanded_url': 'http://www.hellohappybunny.wordpress.com', 'display_url': 'hellohappybunny.wordpress.com'}]}}"
2762969865,"{'followers_count': 1251, 'following_count': 1662, 'tweet_count': 4523, 'listed_count': 16}",https://t.co/nVCHnKmpsD,https://pbs.twimg.com/profile_images/1083129581492686848/1-JMcOeJ_normal.jpg,False,False,Cast Iron,1.4204529119649874e+18,cast_ironacts,from @my_grayne & @infiniteupstart 🎭 makers of @ironcladcreate I @NotCompanion I @onewomanalien & @cit_pod I Current SHOW: The Bureau of Noticings,Brighton & Reading ,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nVCHnKmpsD', 'expanded_url': 'http://www.castironbrighton.com', 'display_url': 'castironbrighton.com'}]}, 'description': {'mentions': [{'start': 5, 'end': 15, 'username': 'my_grayne'}, {'start': 18, 'end': 34, 'username': 'infiniteupstart'}, {'start': 47, 'end': 62, 'username': 'ironcladcreate'}, {'start': 65, 'end': 78, 'username': 'NotCompanion'}, {'start': 81, 'end': 95, 'username': 'onewomanalien'}, {'start': 98, 'end': 106, 'username': 'cit_pod'}]}}"
