id,verified,description,protected,url,public_metrics,location,profile_image_url,pinned_tweet_id,name,username,entities
888956650903621632,False,(he/they) mixed MENA/model/illustrator/joke teller/professionally transgender,False,,"{'followers_count': 2174, 'following_count': 618, 'tweet_count': 31424, 'listed_count': 6}","Los Angeles, CA",https://pbs.twimg.com/profile_images/1497387263541477381/r6ixI17m_normal.jpg,1.3791420871451812e+18,skylar,transmisc,
762167369867243520,False,,False,,"{'followers_count': 17, 'following_count': 199, 'tweet_count': 227, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/955802644072734720/i67pPIJZ_normal.jpg,,まるこ,shi3br,
2856889542,False,CS：ドラクエ/シレン/ロックマン/マリカ　モバイル：ウマ娘/プリコネR　その他：音声作品/耳かきボイス　東方作品済：紅/妖/永/風/神/地/緋/星/紺,False,https://t.co/Qt5EHzCuCv,"{'followers_count': 603, 'following_count': 495, 'tweet_count': 71174, 'listed_count': 19}",ムー大陸,https://pbs.twimg.com/profile_images/828593465508311040/LjjzTGTs_normal.jpg,1.0415976510267638e+18,ムー,mu_mu_islands,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Qt5EHzCuCv', 'expanded_url': 'https://www.youtube.com/channel/UCCdZ2-I9cWg3mPlOQ0HgEiQ', 'display_url': 'youtube.com/channel/UCCdZ2…'}]}}"
1332699463010426880,False,,False,,"{'followers_count': 4, 'following_count': 25, 'tweet_count': 97, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1521053598263787522/EGnGBNxs_normal.jpg,,CводникСахар,PimpSugar4,
1668224576,False,"Children's author, story time enthusiast, wife, mom, grandma, follower of Christ.",False,https://t.co/hnZqtZv2ii,"{'followers_count': 2630, 'following_count': 1972, 'tweet_count': 14172, 'listed_count': 88}","Nebraska, USA",https://pbs.twimg.com/profile_images/1324799245900222470/3r5pRr38_normal.jpg,1.3679231175747953e+18,Rebecca J. Gomez,GomezWrites,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hnZqtZv2ii', 'expanded_url': 'http://rebeccajgomez.com', 'display_url': 'rebeccajgomez.com'}]}}"
104609779,False,2021年からも生きていけそうです！押忍！,False,,"{'followers_count': 54, 'following_count': 104, 'tweet_count': 16922, 'listed_count': 2}",本州,https://pbs.twimg.com/profile_images/818121599354171392/omgWqndg_normal.jpg,,みそみん,sirimiso555,
145241833,False,鍵盤弾きとしてはほぼ活動休止中、G十の手習いで始めたチェロで無謀にもアマオケに入団して活動中。人生は野菜スープか、はたまたコーンフレークか？ 世界一好きなミュージシャンは小5から今でもPaul Mccartney。どんなに近代にハマっても神様はBeethoven。好きなトムはヒドルストンとハーディ。,False,,"{'followers_count': 255, 'following_count': 460, 'tweet_count': 26075, 'listed_count': 15}",千葉県の端の方,https://pbs.twimg.com/profile_images/1358937370762964992/tnYATK1S_normal.jpg,,らび,RABBITran306,
41524741,False,"""UNLESS someone like you cares a whole awful lot, nothing is going to get better. It's not.”
The Lorax, Dr. Seuss",False,,"{'followers_count': 42, 'following_count': 130, 'tweet_count': 706, 'listed_count': 0}","San Diego, CA",https://pbs.twimg.com/profile_images/834840590839795712/-Vl82_wV_normal.jpg,,Al Martinez,MidknightAl,
516550904,False,"生きてるオタクの雑多なアカウント｜近況：サイト定期更新
一次創作→@r2ply",False,https://t.co/5r6dLfyQTc,"{'followers_count': 12, 'following_count': 18, 'tweet_count': 2771, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1270713869229371394/1VhDEtgJ_normal.jpg,,七八,replica_plus7,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5r6dLfyQTc', 'expanded_url': 'https://7.overplus.biz/', 'display_url': '7.overplus.biz'}]}, 'description': {'mentions': [{'start': 33, 'end': 39, 'username': 'r2ply'}]}}"
1394042717219475456,False,"Pianista y dibujante 🎹✏️
Suelo comentar concursos de TV.
Eurofan y fiel seguidor d OT, LaVoz, Pasapalabra, ElCazador y TCMS.
Aquí se stannea a Belén Aguilera ✨",False,,"{'followers_count': 510, 'following_count': 706, 'tweet_count': 14207, 'listed_count': 0}",en las nubes,https://pbs.twimg.com/profile_images/1514940716052537345/BDhT35bv_normal.jpg,1.5132594027483873e+18,Daniel 🇮🇹🇸🇪🇨🇿 (Stream Superpop),Dani_fc6,
781055148,False,Ex Royal Navy ⚓️,False,,"{'followers_count': 216, 'following_count': 385, 'tweet_count': 3156, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1463806647202103296/aEsCag-P_normal.jpg,1.511065500163453e+18,Matthew Clement,matthew_clems,
374915178,False,"おにぎりはツナマヨが好き

好き🎮👉Dbd/KH/Splatoon",False,,"{'followers_count': 513, 'following_count': 545, 'tweet_count': 68697, 'listed_count': 29}",,https://pbs.twimg.com/profile_images/1429461154170957825/J2Su26Jk_normal.png,1.2456723904339763e+18,まぃまぃ🐌,maimai_ph,
106492661,False,,False,,"{'followers_count': 41, 'following_count': 85, 'tweet_count': 602, 'listed_count': 3}",TOKYO,https://pbs.twimg.com/profile_images/1362369180/167578_198337750181820_100000167891844_910971_7977700_n_normal.jpg,,Michi Muramoto,MichiTOKYO,
