id,name,protected,url,verified,public_metrics,description,profile_image_url,pinned_tweet_id,username,entities,location
550167723,Little Shiny Button,False,,False,"{'followers_count': 574, 'following_count': 803, 'tweet_count': 38232, 'listed_count': 24}",,https://pbs.twimg.com/profile_images/1073317947110764545/-t6Qo3zd_normal.jpg,1.4885641549234668e+18,iamashinybutton,,
254540877,ゅゎぃゅさん,False,https://t.co/cMD8nEhfal,False,"{'followers_count': 145, 'following_count': 234, 'tweet_count': 10455, 'listed_count': 0}",現在更新中です…。,https://pbs.twimg.com/profile_images/1377650440511234049/T5lc-SS5_normal.png,,yuwaiyu,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/cMD8nEhfal', 'expanded_url': 'http://yuwaiyu0120.tumblr.com/', 'display_url': 'yuwaiyu0120.tumblr.com'}]}}",
1482800749180596224,Joséphine Abi-Zeid,False,,False,"{'followers_count': 1, 'following_count': 11, 'tweet_count': 46, 'listed_count': 0}",,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,jrabizeid,,
212714794,Anna / 🙃,False,,False,"{'followers_count': 116, 'following_count': 193, 'tweet_count': 7897, 'listed_count': 1}",I enjoy long walks along a subterranean cave system ~~ she/her,https://pbs.twimg.com/profile_images/850519510767484930/eKbsVx_Y_normal.jpg,1.1016166323491308e+18,annaintheclouds,,prob lying on the floor
1109571259472318464,EpicPlatypus,False,https://t.co/nNpwGxVrDU,False,"{'followers_count': 124, 'following_count': 591, 'tweet_count': 2850, 'listed_count': 3}","I love you 💜💜💜  EP//EPMajestic//EpicPlatypus twitch affiliate, emote artist, friend to all, she/her check out my art: https://t.co/pPky3rPcdb",https://pbs.twimg.com/profile_images/1366521236172328960/FvK9sXo7_normal.jpg,1.3506863210108846e+18,EPMajestic,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nNpwGxVrDU', 'expanded_url': 'http://twitch.tv/epicplatypus', 'display_url': 'twitch.tv/epicplatypus'}]}, 'description': {'urls': [{'start': 118, 'end': 141, 'url': 'https://t.co/pPky3rPcdb', 'expanded_url': 'http://behance.net/epicplatypus', 'display_url': 'behance.net/epicplatypus'}]}}",Canada
100911274,Ravin Mehra,False,,False,"{'followers_count': 80, 'following_count': 560, 'tweet_count': 2856, 'listed_count': 0}","The predictably unpredictable young old fellow. Self contradicting, self conflicting, but  Genuine Indian CA. Enjoys wit and humour and deep philosophy.",https://pbs.twimg.com/profile_images/1516224304/Ravin_Profile_2996_normal.jpg,,dilwaladillika,,"Faridabad, India"
1372701241629937664,My Tage Knows No Bounds,False,,False,"{'followers_count': 11, 'following_count': 330, 'tweet_count': 752, 'listed_count': 0}",Bring on the requisite strangeness,https://pbs.twimg.com/profile_images/1518313362395967488/mntoA2GG_normal.jpg,1.417515621064061e+18,AaronInRoch,,"Webster, NY"
1558530529,Roma| She/Her,False,https://t.co/ecEt9gdYBx,False,"{'followers_count': 475, 'following_count': 602, 'tweet_count': 18745, 'listed_count': 5}",🧜🏾‍♀️| Global Citizen|Commonwealth Int Youth Taskforce #CYF2022 •TravelSloth•Legal Eagle•Rebellious & Resilience also starts with 'R' △⃒⃘ RT’s ≠ endorsements,https://pbs.twimg.com/profile_images/1515907052270329858/qm-BRZzf_normal.jpg,1.0097388810238935e+18,roma_theOnlyOne,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ecEt9gdYBx', 'expanded_url': 'https://Instagram.com/memoriesofasurvivor/', 'display_url': 'Instagram.com/memoriesofasur…'}]}, 'description': {'hashtags': [{'start': 55, 'end': 63, 'tag': 'CYF2022'}]}}",Neverland
117457108,おっちゃん,False,,False,"{'followers_count': 710, 'following_count': 696, 'tweet_count': 19654, 'listed_count': 9}",無責任/不感症。,https://pbs.twimg.com/profile_images/1241759601676046337/-PNN7XyP_normal.jpg,1.1768512178356716e+18,die_jin,,さいたま市浦和区
720498109,Griff Griffith 🇺🇦 CEV,False,,False,"{'followers_count': 368, 'following_count': 878, 'tweet_count': 13970, 'listed_count': 1}",Retired intern’l telecom eng./marketeer/corp.affairs/deputy CEO/consultant. Ex-pension fund trustee. Company secretary. All views my own. Trolls get blocked.,https://pbs.twimg.com/profile_images/2698337179/965d927ac17a40592bc80ec85e2cf611_normal.png,1.4271993745479844e+18,GriffAurora,,"London, England"
393711189,Bettina 🇺🇦 Protect 🏳️‍⚧️🏳️‍🌈 Kids,False,https://t.co/19RslVGGT1,False,"{'followers_count': 2240, 'following_count': 3452, 'tweet_count': 11101, 'listed_count': 96}",I was digital when digital wasn't cool. Founder https://t.co/01VpWQnsLj. Seltzer water mixologist. I follow other Bettinas. #BLM #StopAsianHate she/her,https://pbs.twimg.com/profile_images/1296680598912688128/7EdVi-c4_normal.jpg,1.4481098588556657e+18,bettina,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/19RslVGGT1', 'expanded_url': 'http://www.hollywoodinpixels.org', 'display_url': 'hollywoodinpixels.org'}]}, 'description': {'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/01VpWQnsLj', 'expanded_url': 'http://hollywoodinpixels.org', 'display_url': 'hollywoodinpixels.org'}], 'hashtags': [{'start': 124, 'end': 128, 'tag': 'BLM'}, {'start': 129, 'end': 143, 'tag': 'StopAsianHate'}]}}",Middle-earth
4813231,abenico,False,https://t.co/ihoM4ErvKC,False,"{'followers_count': 221, 'following_count': 900, 'tweet_count': 16523, 'listed_count': 0}","is interested in sounds & CSS. write some userstyles: https://t.co/CstidYyDzC use {Mac Mini, MacBook, iPhone, iPad, BOOX Poke 2 Color}",https://pbs.twimg.com/profile_images/351533601/Pointy_normal.gif,1.5118629172807148e+18,abenico,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ihoM4ErvKC', 'expanded_url': 'http://nukumori.org/', 'display_url': 'nukumori.org'}]}, 'description': {'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/CstidYyDzC', 'expanded_url': 'http://userstyles.org/users/40413', 'display_url': 'userstyles.org/users/40413'}]}}",Tokyo
33727151,Your OG 🐩,False,,False,"{'followers_count': 8391, 'following_count': 2027, 'tweet_count': 639530, 'listed_count': 98}",Trying to be as good a person as my dogs think I am,https://pbs.twimg.com/profile_images/1499101629580206088/2Os_bDxb_normal.jpg,,LRNROSE,, 📍Earth
128860795,仮免,False,,False,"{'followers_count': 352, 'following_count': 851, 'tweet_count': 158215, 'listed_count': 11}",ハエを飼ってた,https://pbs.twimg.com/profile_images/829721053567946754/BKgkE-FP_normal.png,,Karimen_jp,,真ん中
481352111,♛Jordan Payne♛,False,,False,"{'followers_count': 362, 'following_count': 224, 'tweet_count': 16731, 'listed_count': 1}",Just trying to do something important. Elizabeth🍉 She/Her #LoveisLove🏳️‍🌈,https://pbs.twimg.com/profile_images/1419044428866629635/YXezpNpC_normal.jpg,,Jordanrilee1524,"{'description': {'hashtags': [{'start': 58, 'end': 69, 'tag': 'LoveisLove'}]}}","Kansas City, MO"
1558834333,3b3aaty 💤,False,,False,"{'followers_count': 169, 'following_count': 270, 'tweet_count': 7674, 'listed_count': 0}",Reach for the stars 👷🏼‍♂️✨,https://pbs.twimg.com/profile_images/1485066385906671619/49ioD189_normal.jpg,1.274104383458984e+18,ZiadAhmedAElAty,,"Alexandria, Egypt"
183895910,Felipe,False,,False,"{'followers_count': 1187, 'following_count': 1617, 'tweet_count': 22392, 'listed_count': 9}",fool enough to almost be it,https://pbs.twimg.com/profile_images/1489768524532748292/d7L_V4J__normal.jpg,1.4523654509568532e+18,peroweonn,,Viña del Mar
17621883,Jared Miller,False,,False,"{'followers_count': 162, 'following_count': 323, 'tweet_count': 5815, 'listed_count': 9}","I'm an RPG/Sci-Fi/Band Geek. I'm a hopeless romantic, who is mostly hopeless, but hopelessly in love w/my wife. Curator of @GinaAside account.",https://pbs.twimg.com/profile_images/566490274/Home-made_Geek_normal.jpg,,JRadimus,"{'description': {'mentions': [{'start': 123, 'end': 133, 'username': 'GinaAside'}]}}",Denial
