,id,profile_image_url,entities,url,public_metrics,username,protected,name,description,pinned_tweet_id,location,verified
0,54134167,https://pbs.twimg.com/profile_images/1513898704369065986/ormbZQeT_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/dH7u2ZbbTm', 'expanded_url': 'http://manutenorio2.blogspot.com/', 'display_url': 'manutenorio2.blogspot.com'}]}}",https://t.co/dH7u2ZbbTm,"{'followers_count': 8987, 'following_count': 5532, 'tweet_count': 337495, 'listed_count': 59}",Saramurcia,False,Sara Martin /#Yoapoyoalgobierno ❤️🇪🇸,Creo que tuve que hacer bien algo en la otra vida para que aparezcas en esta cuando la daba por perdida.❤️❤️❤️,1487759508311060481,España,False
1,33154820,https://pbs.twimg.com/profile_images/640582366256214017/-p6PSKce_normal.jpg,,,"{'followers_count': 51, 'following_count': 507, 'tweet_count': 199, 'listed_count': 0}",ddnereaux,False,dee dee,✨Wife | Mother | Daddy's Girl,,,False
2,61252231,https://pbs.twimg.com/profile_images/961461263971770369/HAxn024E_normal.jpg,,,"{'followers_count': 31, 'following_count': 272, 'tweet_count': 7188, 'listed_count': 0}",eaglesam5,False,Cycologist,Person woman man camera TV,,,False
3,3556094595,https://pbs.twimg.com/profile_images/1346957085125320709/Gi-1lbKU_normal.jpg,,,"{'followers_count': 767, 'following_count': 3783, 'tweet_count': 35031, 'listed_count': 7}",PilariucaCS,False,Pilariuca 🐭,"Un día Tim Robbins me cantó a The Clash, nada más que añadir",1224987538504458243,,False
4,37351199,https://pbs.twimg.com/profile_images/1522117350195187712/tFyoFQKe_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8GHuQpikZx', 'expanded_url': 'https://redcircle.com/shows/social-suplex-podcast-network', 'display_url': 'redcircle.com/shows/social-s…'}]}, 'description': {'hashtags': [{'start': 105, 'end': 122, 'tag': 'TheForbiddenDoor'}, {'start': 123, 'end': 127, 'tag': 'FTR'}, {'start': 128, 'end': 144, 'tag': 'NightmareFamily'}, {'start': 145, 'end': 155, 'tag': 'AEWGalaxy'}], 'mentions': [{'start': 66, 'end': 77, 'username': 'atelitepod'}, {'start': 81, 'end': 94, 'username': 'socialsuplex'}]}}",https://t.co/8GHuQpikZx,"{'followers_count': 1366, 'following_count': 3227, 'tweet_count': 16283, 'listed_count': 13}",floydjohnsonjr,False,#FTR Express,KC/FSU football and Pro Wrestling fan. Overly positive. I co-host @atelitepod on @socialsuplex. Going to #TheForbiddenDoor #FTR #NightmareFamily #AEWGalaxy,1500243254662598659,"Oklahoma City, Ok",False
5,961673035534295045,https://pbs.twimg.com/profile_images/971619939206467585/DNVenKz5_normal.jpg,,,"{'followers_count': 2843, 'following_count': 3, 'tweet_count': 251272, 'listed_count': 18}",bot_penis,False,penis bot,"I wanted to be a useful program, but my creators say my purpose is to retweet anything with the word penis.",1280697158262546433,v6.9,False
6,361932104,https://pbs.twimg.com/profile_images/1282003417024671744/Zlw1H4P5_normal.jpg,,,"{'followers_count': 157, 'following_count': 359, 'tweet_count': 1834, 'listed_count': 0}",Brais_ae,False,Brais,Gallego por Tarragona... missing Vigo... Ingeniero y expatinador... Toda una vida sobre ruedas,,"Tarragona, Espanya",False
7,3004116784,https://pbs.twimg.com/profile_images/1232994277992681473/JjxoB7CS_normal.jpg,"{'description': {'urls': [{'start': 72, 'end': 95, 'url': 'https://t.co/oa2hv5Un2t', 'expanded_url': 'http://twitch.tv/filippo46c', 'display_url': 'twitch.tv/filippo46c'}, {'start': 98, 'end': 121, 'url': 'https://t.co/wWiVrGkkdB', 'expanded_url': 'http://instagram.com/campobassofili', 'display_url': 'instagram.com/campobassofili'}, {'start': 125, 'end': 148, 'url': 'https://t.co/kbDw6UfxnD', 'expanded_url': 'http://tiktok.com/@filippo46c', 'display_url': 'tiktok.com/@filippo46c'}], 'hashtags': [{'start': 44, 'end': 54, 'tag': 'SpanishGP'}, {'start': 55, 'end': 69, 'tag': 'MotulSuperFan'}]}}",,"{'followers_count': 290, 'following_count': 585, 'tweet_count': 30570, 'listed_count': 5}",filippo46c,False,Filippo | 🇺🇦🇪🇺,"♿ living with a undiagnosed disease
🇪🇸 2017 #SpanishGP #MotulSuperFan
🕹 https://t.co/oa2hv5Un2t
📸 https://t.co/wWiVrGkkdB…
📹 https://t.co/kbDw6UfxnD",873207924084035584,"Puglia, Italia",False
8,283437034,https://pbs.twimg.com/profile_images/1399750164919820295/H07VZ_tf_normal.jpg,,,"{'followers_count': 8431, 'following_count': 7210, 'tweet_count': 14389, 'listed_count': 1}",debra_shakes,False,Debra Shakespeare,"Atheist. Republican (not the GOP type). Sweary, but only occasionally. A bit left of centre. pro EU, PR and PA. No DMs please",1298571829355982848,Mid Sussex,False
9,476970646,https://pbs.twimg.com/profile_images/1333015474293141504/XxTLaoks_normal.jpg,,,"{'followers_count': 199, 'following_count': 1014, 'tweet_count': 12349, 'listed_count': 2}",No1Lemonade,False,Fiona 🇬🇧🇺🇸,,,,False
