id,protected,verified,description,name,pinned_tweet_id,url,username,profile_image_url,public_metrics,location,entities
4754368462,False,False,bbb,SANCHEZ 🇱🇻,8.532558072150467e+17,,SanchezRiga,https://pbs.twimg.com/profile_images/1267446022982316032/PrPFxXSF_normal.jpg,"{'followers_count': 5, 'following_count': 23, 'tweet_count': 810, 'listed_count': 0}","Rīga, Latvija",
706478740365316096,False,False,"Feminista ✊🏻💜.
Geminis ♊.
Nerd 🤓.
Nurse 🩹🩺.
VAC-E.C.I 💉😷.
Someday Abogada ⚖️.
Veggie 🌱.
Casi poledancer 🤸🏻‍♀️.
Eterna niña 🎈.",Erii🎀,9.192337879675249e+17,https://t.co/zXBxVy7MQE,EriiLeiva,https://pbs.twimg.com/profile_images/1507420932943405057/G-LiGn4O_normal.jpg,"{'followers_count': 103, 'following_count': 364, 'tweet_count': 4775, 'listed_count': 6}",Argentina,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/zXBxVy7MQE', 'expanded_url': 'https://www.instagram.com/eriileiva/', 'display_url': 'instagram.com/eriileiva/'}]}}"
985573818,False,False,,Diane C.,,,ForceBeWithMe2,https://pbs.twimg.com/profile_images/434182356115525632/xtuBZWXm_normal.jpeg,"{'followers_count': 66, 'following_count': 150, 'tweet_count': 1154, 'listed_count': 0}",Massachusetts,
17354423,False,False,"Grateful, grieving, joyful, pissed. #BlackLivesMatter *RTs/follows do not imply agreement.",cindyfey,,http://t.co/afD4NtxsLh,cindyfey,https://pbs.twimg.com/profile_images/126791585/7427540-R8-050-23A_normal.jpg,"{'followers_count': 1032, 'following_count': 1841, 'tweet_count': 21332, 'listed_count': 49}","Wilmette, IL","{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/afD4NtxsLh', 'expanded_url': 'http://www.cindy-weallfalldown.blogspot.com', 'display_url': 'cindy-weallfalldown.blogspot.com'}]}, 'description': {'hashtags': [{'start': 36, 'end': 53, 'tag': 'BlackLivesMatter'}]}}"
1626250668,False,False,[məʒeʀihaʃiv],tabitatoparlak,,,aydzemnig,https://pbs.twimg.com/profile_images/1107741747717816320/CIbne6iS_normal.jpg,"{'followers_count': 228, 'following_count': 1126, 'tweet_count': 1797, 'listed_count': 2}",,
34120050,False,False,,Jerry,,,taljerry,https://pbs.twimg.com/profile_images/1344762057313439751/cosaYPGk_normal.jpg,"{'followers_count': 1, 'following_count': 5, 'tweet_count': 10, 'listed_count': 0}",,
63687081,False,False,吹奏楽とサッカーと相撲と鳥とモルカーとローマ軒が好きです。呼び名はどっちでもOK。職場に関するツイートは、公式な見解・発表ではありません。予めご了承ください。,ごいんきょ(えりおっと)🕊🦁,1.2847589920785326e+18,https://t.co/AkL9lkC2It,bengalese,https://pbs.twimg.com/profile_images/1471242229503041539/M49Q8skn_normal.jpg,"{'followers_count': 783, 'following_count': 600, 'tweet_count': 88157, 'listed_count': 23}",Osaka,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/AkL9lkC2It', 'expanded_url': 'http://coral-b.tea-nifty.com/ver2', 'display_url': 'coral-b.tea-nifty.com/ver2'}]}}"
1127401204865048576,False,False,,レノ,,,Goyoukno,https://pbs.twimg.com/profile_images/1127401432913666049/3DC6JPUr_normal.jpg,"{'followers_count': 12, 'following_count': 335, 'tweet_count': 733, 'listed_count': 0}",,
1256600548209377280,False,False,"趣味垢 アニメとかゲームとか
真面目なことは呟きません
アイコンは知人が描いてくれました
フォローはお気軽にどうぞ",rin@趣味,,,rin_game12,https://pbs.twimg.com/profile_images/1377630169997918218/UuDJYNSR_normal.jpg,"{'followers_count': 73, 'following_count': 185, 'tweet_count': 10965, 'listed_count': 3}",,
2423252958,False,False,,ibong pipit - LENI2022,,,ibongpipit813,https://pbs.twimg.com/profile_images/1245319485793300481/qbskgTZd_normal.jpg,"{'followers_count': 7, 'following_count': 12, 'tweet_count': 595, 'listed_count': 0}",Philippines,
