id,verified,description,protected,url,public_metrics,location,profile_image_url,pinned_tweet_id,name,username,entities
188490416,False,34 years old. Manchester Utd 🔴⚪️⚫️ Ricky Gervais 😍 Imagine Dragons 🐉 Courtney 💕💕💕,False,,"{'followers_count': 1719, 'following_count': 1908, 'tweet_count': 14300, 'listed_count': 10}",Lincoln ,https://pbs.twimg.com/profile_images/1437150698869772290/cHbihPjY_normal.jpg,1.1409447075661292e+18,Daniel Watson,danil0908,
386163925,False,"Me dedico a la Publicidad alternandola con la Producción Audiovisual.
https://t.co/kCVB2i1BIC",False,,"{'followers_count': 336, 'following_count': 909, 'tweet_count': 515, 'listed_count': 37}",,https://pbs.twimg.com/profile_images/378800000083620220/620647a075fd14fe18a066e090004d7c_normal.jpeg,,Soraya,Sobape45,"{'description': {'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/kCVB2i1BIC', 'expanded_url': 'https://www.facebook.com/#!/soraya.baezperez', 'display_url': 'facebook.com/#!/soraya.baez…'}]}}"
102264042,False,https://t.co/MvkIXIUpyt,False,,"{'followers_count': 355, 'following_count': 1999, 'tweet_count': 1803, 'listed_count': 6}",India,https://pbs.twimg.com/profile_images/1011660755064668160/KkEx3yTL_normal.jpg,,nafi,nafiedappanoly,"{'description': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/MvkIXIUpyt', 'expanded_url': 'http://g.dev/nafi2000', 'display_url': 'g.dev/nafi2000'}]}}"
40862724,False,,False,,"{'followers_count': 189, 'following_count': 402, 'tweet_count': 3985, 'listed_count': 2}",Salamanca,https://pbs.twimg.com/profile_images/1405601186242252805/rQLyaAu2_normal.jpg,,Carlos,carlos_bm86,
2538050478,False,,False,,"{'followers_count': 85, 'following_count': 903, 'tweet_count': 3706, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/472820071111213057/VcUdV-Be_normal.jpeg,,Alejandro,Strauss9904,
180926905,False,Graduate of Sheffield hallam university studying furniture and product design. Loves a laugh and a good night out!,False,https://t.co/FDhc3wc7ae,"{'followers_count': 62, 'following_count': 337, 'tweet_count': 361, 'listed_count': 0}",Sheffield ,https://pbs.twimg.com/profile_images/921395408601042944/L8jTXLam_normal.jpg,,Nick Sargent,NickSargent92,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/FDhc3wc7ae', 'expanded_url': 'http://www.wordpress.com/nsargentdesign', 'display_url': 'wordpress.com/nsargentdesign'}]}}"
1424442658769055744,False,Flemson fan| 28 years old | Lesbian| Personal: @englionesses | Pronouns:she/her,False,,"{'followers_count': 195, 'following_count': 260, 'tweet_count': 10843, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1520987071883714561/yTcZfAWp_normal.jpg,,Chloe,feralflemson21,"{'description': {'mentions': [{'start': 47, 'end': 60, 'username': 'englionesses'}]}}"
469669347,False,Todo en la vida es esfuerzo y constancia y darle a la botella algunas noches.,False,,"{'followers_count': 300, 'following_count': 258, 'tweet_count': 11744, 'listed_count': 0}",valencia,https://pbs.twimg.com/profile_images/1444698639243358210/7HNKRyJH_normal.jpg,1.4136244059771453e+18,Paixá,paixa31_,
1426147754,False,"Interesting, interested.",False,https://t.co/hLajDZbBIW,"{'followers_count': 1292, 'following_count': 1224, 'tweet_count': 143381, 'listed_count': 117}","New York, NY",https://pbs.twimg.com/profile_images/1052198504003788800/G1yn2JH0_normal.jpg,,Eugene,Eugene646,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hLajDZbBIW', 'expanded_url': 'http://www.youtube.com/watch?v=9lDOL-2O82M', 'display_url': 'youtube.com/watch?v=9lDOL-…'}]}}"
1462834681796300800,False,"si quieres pon la otra mejilla....yo con una hostia ya he tenido suficiente. Aprendiz de todo, maestro de nada, bueno, a cortar jamón si puedo enseñarte.😋",False,,"{'followers_count': 9, 'following_count': 154, 'tweet_count': 105, 'listed_count': 0}","Lleida, España",https://pbs.twimg.com/profile_images/1502241119970734080/rB25_YXd_normal.jpg,,Jesús B74 BB,B74Jesus,
