id,description,url,verified,profile_image_url,location,username,name,protected,public_metrics,pinned_tweet_id,entities
310651524.0,REAL FORCE R1 30gで親指シフト(NICOLA-F) インデックス投資非課税枠満了につき、サテライトを物色中,,False,https://pbs.twimg.com/profile_images/1380972636/5318543_918400070_200large_normal.jpg,京都市,kaniko5,かにここ,False,"{'followers_count': 76, 'following_count': 232, 'tweet_count': 1580, 'listed_count': 1}",,
1.3011689293988372e+18,19.Tifosi Yıldırım Tugayı Komutanı,,False,https://pbs.twimg.com/profile_images/1492533077758955523/3c5JNf_7_normal.jpg,Sf-90,Sf90Engine,Hileli Ferrari Motoru,False,"{'followers_count': 130, 'following_count': 115, 'tweet_count': 7658, 'listed_count': 1}",1.519819456368816e+18,
30640457.0,"Tokyo-based Freelance Writer & Social Media Strategist । MBA | TaskUs, Ex-Tiktok, Ex-Alibaba । Fashion & Lifestyle Blogger | Dreamer | In Love with Life",https://t.co/liJ3ENFVWR,False,https://pbs.twimg.com/profile_images/1475776519431933961/51tZoxzK_normal.jpg,"Tokyo-to, Japan",nitika_bh,Nitika Bhatia Whig,False,"{'followers_count': 4956, 'following_count': 675, 'tweet_count': 5029, 'listed_count': 73}",1.4231738282937958e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/liJ3ENFVWR', 'expanded_url': 'https://linktr.ee/Theshopaholicdiaries', 'display_url': 'linktr.ee/Theshopaholicd…'}]}}"
146556772.0,HE knows | Kakak kepada adik² baik soleh solehah 3 + 1 (di syurga),https://t.co/9IcSrTdZE3,False,https://pbs.twimg.com/profile_images/1469106128638275585/MADCJC-M_normal.jpg,kuala lumpur,smtgmissing,I'm not Tab,False,"{'followers_count': 327, 'following_count': 82, 'tweet_count': 60036, 'listed_count': 0}",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/9IcSrTdZE3', 'expanded_url': 'https://salemmoodmeter.me/home/GwpgDtLhTAbDYz0TbcNWOlp360X2', 'display_url': 'salemmoodmeter.me/home/GwpgDtLhT…'}]}}"
1.2413988592402964e+18,"I pledge my head to clearer thinking, my heart to greater loyalty, my hands to larger service, and my health to better living.",,False,https://pbs.twimg.com/profile_images/1241409219729010693/XGyOv2Oq_normal.jpg,"Kansas, USA",elizabethfabrix,"Elizabeth Fabri X, PhD (she/her/Dr.)",False,"{'followers_count': 169, 'following_count': 710, 'tweet_count': 1657, 'listed_count': 0}",,
11945692.0,,https://t.co/cOP5W2qjTm,False,https://pbs.twimg.com/profile_images/1167392357479665664/mwsSf8en_normal.jpg,,tkq12,tkq,False,"{'followers_count': 36127, 'following_count': 327, 'tweet_count': 121496, 'listed_count': 959}",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/cOP5W2qjTm', 'expanded_url': 'http://note.com/tkq', 'display_url': 'note.com/tkq'}]}}"
9.744820826417275e+17,,,False,https://pbs.twimg.com/profile_images/984625689444999168/t3L4dY-j_normal.jpg,Earth,LeslieMitchnik,Leslie Mitchnik,False,"{'followers_count': 45, 'following_count': 150, 'tweet_count': 1431, 'listed_count': 2}",,
150712303.0,"Madre de un par de pugos que toxican, un mini zorrito y esposa de un zorro maltés",https://t.co/xOK18Y5zuq,False,https://pbs.twimg.com/profile_images/1484696122874605568/SP9h0Zi5_normal.jpg,Costa Rica,GeosraCR,Gaudi,False,"{'followers_count': 699, 'following_count': 574, 'tweet_count': 33737, 'listed_count': 13}",9.898483679823135e+17,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/xOK18Y5zuq', 'expanded_url': 'https://www.facebook.com/amigurumisg', 'display_url': 'facebook.com/amigurumisg'}]}}"
85939234.0,宇宙 日本 浦和区,,False,https://pbs.twimg.com/profile_images/1463058906381680640/_kjWBZb7_normal.jpg,浦和区,mcmlxxxv1985,Matz,False,"{'followers_count': 341, 'following_count': 842, 'tweet_count': 18697, 'listed_count': 23}",1.3442950711437394e+18,
1.2116781440269517e+18,ボイコネ、マダミス、TRPG、CoC、amazarashi、あかがみん、QuizKnock、はなでん、積分サークル、ライバロリ、しぇいど,,False,https://pbs.twimg.com/profile_images/1519267993909223427/r0Qt0j93_normal.jpg,,tky__0625,たくにゃ,False,"{'followers_count': 142, 'following_count': 178, 'tweet_count': 9343, 'listed_count': 3}",,
