id,description,url,verified,profile_image_url,location,username,entities,name,protected,public_metrics,pinned_tweet_id
822352890.0,🏳️‍🌈 • i sell skateboards & skateboard accessories •  • knoxville • she/her • CA JayyBee27 VEN JocelynBW,https://t.co/1nKgrcIUlh,False,https://pbs.twimg.com/profile_images/1521661403286982672/l4eUHwIs_normal.jpg,hail zorp,hotfudgelizard,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1nKgrcIUlh', 'expanded_url': 'http://twitch.tv/enemys0ng', 'display_url': 'twitch.tv/enemys0ng'}]}}",🅶🅰︎🆈,False,"{'followers_count': 767, 'following_count': 1253, 'tweet_count': 68676, 'listed_count': 10}",
4274399599.0,Rural Emergency Nurse. Studying Psych w OrgPsych interest.Compassionate Agitator. reliably found running trails or wherever theres coffee. She/Her. Donate ☕️ 👇,https://t.co/siqBbxZ859,False,https://pbs.twimg.com/profile_images/1389865575724109824/Ja9wnZyH_normal.jpg,,emergency_CNS,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/siqBbxZ859', 'expanded_url': 'https://www.paypal.me/emergencyK', 'display_url': 'paypal.me/emergencyK'}]}}",K,False,"{'followers_count': 4043, 'following_count': 1862, 'tweet_count': 51499, 'listed_count': 36}",1.4619241891876332e+18
235842917.0,"Hockey mom, guitar mom, wife, friend and sometime kitchen party singer! (She/Her)",,False,https://pbs.twimg.com/profile_images/1521946267269664768/y4pgyGFS_normal.jpg,"CBS, Newfoundland",grobiesmama,,Claralee,False,"{'followers_count': 478, 'following_count': 1187, 'tweet_count': 4781, 'listed_count': 2}",
110950786.0,"Ystｲｰｽﾄ　KD海道
息抜きにふらついてます。
 仕事の話は多分しません。
 面白そうならフォローしてます。 
雑談程度で遊びなので気狂いと読みたくない話はﾐｭｰﾄ&ﾌﾞﾛｯｺだ( ^-^)ノ",,False,https://pbs.twimg.com/profile_images/1240129737621635076/1lcCy7NN_normal.jpg,艦載,ko1low,,"YstKD M.D., Ph.D.",False,"{'followers_count': 846, 'following_count': 2819, 'tweet_count': 216325, 'listed_count': 0}",9.02371436676866e+17
71323385.0,28 | Pró Vacina | Sist. de Inf. | Auditoria | Flamengo | RJ - SP | Café | Cerveja | Bacon | Jogos de Tabuleiro/Cartas | Rogue Company. Insta: @ninealmeidacrf,https://t.co/qSgmJHYUC3,False,https://pbs.twimg.com/profile_images/1517823880626327553/iRavrwYN_normal.jpg,"São Paulo, Brasil",ninealmeida_crf,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qSgmJHYUC3', 'expanded_url': 'https://www.facebook.com/ninnealmeida', 'display_url': 'facebook.com/ninnealmeida'}]}, 'description': {'mentions': [{'start': 142, 'end': 157, 'username': 'ninealmeidacrf'}]}}",Caroline Com E,False,"{'followers_count': 235, 'following_count': 411, 'tweet_count': 19384, 'listed_count': 1}",
3252389040.0,"競馬生涯収支マイナス6700円
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　トレーナーID:958286130",,False,https://pbs.twimg.com/profile_images/1495771932096344064/p8gUX23r_normal.jpg,トレセン学園,MAR_von_equus,,ウマ男,False,"{'followers_count': 336, 'following_count': 383, 'tweet_count': 10939, 'listed_count': 2}",
113386484.0,RTA走りました→https://t.co/7PhnPRyPgy,,False,https://pbs.twimg.com/profile_images/1152014567/ProfilePhoto_normal.png,関東,asahiVER1,"{'description': {'urls': [{'start': 9, 'end': 32, 'url': 'https://t.co/7PhnPRyPgy', 'expanded_url': 'https://nico.ms/sm30847953?ref=share_others_spweb', 'display_url': 'nico.ms/sm30847953?ref…'}]}}",アサヒグソクムシ,False,"{'followers_count': 284, 'following_count': 314, 'tweet_count': 80602, 'listed_count': 8}",
42188846.0,"Watcher of hockey, reader of comic books, collector of sports cards, hockey sweaters, and comics. Originally from Labrador City, now lives on an island. He/Him",,False,https://pbs.twimg.com/profile_images/971830479983751168/z8mxyxIv_normal.jpg,"Newfoundland and Labrador, Canada",TheJMCole,,Michael Cole,False,"{'followers_count': 128, 'following_count': 303, 'tweet_count': 7438, 'listed_count': 7}",
142811448.0,I am just hungry for more. https://t.co/Rno8kKpSHC and @BabasBhakt_No14 is my robot!,https://t.co/Rno8kKpSHC,False,https://pbs.twimg.com/profile_images/1467379274172620803/QpCvG-Ia_normal.jpg,Dining Table,HungryBaba,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Rno8kKpSHC', 'expanded_url': 'http://shivigupta-nice.blogspot.com', 'display_url': 'shivigupta-nice.blogspot.com'}]}, 'description': {'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/Rno8kKpSHC', 'expanded_url': 'http://shivigupta-nice.blogspot.com', 'display_url': 'shivigupta-nice.blogspot.com'}], 'mentions': [{'start': 55, 'end': 71, 'username': 'BabasBhakt_No14'}]}}",Shivi Gupta,False,"{'followers_count': 415, 'following_count': 609, 'tweet_count': 16663, 'listed_count': 6}",1.4914462370062828e+18
73654865.0,"A Dentist, adding Value to Self, Progressive Learner, Market Analyst, SRK Fan & Techie at Heart.",https://t.co/goy0iVLYb0,False,https://pbs.twimg.com/profile_images/970674933234745344/Jft1VMga_normal.jpg,India,rakshitsolanki,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/goy0iVLYb0', 'expanded_url': 'http://drrakshit.blogspot.in', 'display_url': 'drrakshit.blogspot.in'}]}}",RakSol,False,"{'followers_count': 105, 'following_count': 31, 'tweet_count': 3161, 'listed_count': 23}",
