id,protected,entities,verified,description,name,url,username,profile_image_url,public_metrics,location,pinned_tweet_id
1404088539176857600,False,"{'description': {'mentions': [{'start': 63, 'end': 70, 'username': '77___2'}]}}",False,ひとりごと用裏垢/シレン2とポケモンとFGOと日常の何か/シレンは見る専ですが、チャット欄で見かけたらよろしくです。ｱｲｺﾝ:@77___2,あずき,,marinosuke_8953,https://pbs.twimg.com/profile_images/1506631572136497152/P7xnKnjc_normal.jpg,"{'followers_count': 17, 'following_count': 33, 'tweet_count': 761, 'listed_count': 0}",３塁,
149004888,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/uiGIsb9z19', 'expanded_url': 'https://www.pixiv.net/member.php?id=453117', 'display_url': 'pixiv.net/member.php?id=…'}]}, 'description': {'mentions': [{'start': 44, 'end': 55, 'username': 'aoin0_wgrm'}, {'start': 65, 'end': 76, 'username': 'aoino_info'}]}}",False,"脊髄反射で喋る。
大体音ゲーのことばっかり言ってる。最近はVの者でうるさい。
成人済腐【@aoin0_wgrm】
創作物更新情報【@aoino_info】",葵壱,https://t.co/uiGIsb9z19,aoino_a0,https://pbs.twimg.com/profile_images/1441728172865712137/2YXTp4pW_normal.jpg,"{'followers_count': 104, 'following_count': 78, 'tweet_count': 248330, 'listed_count': 10}",沼中,
94049117,False,,False,,kitai toshiyuki,,phonovan,https://pbs.twimg.com/profile_images/1215372179/_____-1_1__normal.jpg,"{'followers_count': 297, 'following_count': 427, 'tweet_count': 25479, 'listed_count': 14}",,
491574217,False,,False,,Tanja,,Lady_Miryla,https://pbs.twimg.com/profile_images/1825245074/tumblr_ls3s9qSZQs1qjlrdoo1_500_normal.jpg,"{'followers_count': 1, 'following_count': 14, 'tweet_count': 26, 'listed_count': 0}",,
1344158770792980480,False,"{'description': {'mentions': [{'start': 60, 'end': 76, 'username': 'caroloneandonly'}]}}",False,she/her/hers🧋22🍹Tired Bisexual College Student 🧠🩺🐒 Formerly @caroloneandonly,Jessica (Jess),,anxietybitch99,https://pbs.twimg.com/profile_images/1511193719801884675/3XkBMBEC_normal.jpg,"{'followers_count': 490, 'following_count': 1194, 'tweet_count': 6513, 'listed_count': 0}","Stony Brook, NY",1.5155659632567337e+18
2336010505,False,,False,25|Nottingham CAJT's Homecoming King of the 2015/16 school year!!! Fastest Shuttle Runner: 7.1 seconds!!!,Lamontae Hoskins,,LamontaeHoskins,https://pbs.twimg.com/profile_images/433807747939708928/lnCzEunC_normal.jpeg,"{'followers_count': 138, 'following_count': 548, 'tweet_count': 2144, 'listed_count': 2}",,
3388403369,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5BENaemZPH', 'expanded_url': 'https://linktr.ee/Baywitcher14', 'display_url': 'linktr.ee/Baywitcher14'}]}}",False,Troy University Baseball #14,Bay Witcher,https://t.co/5BENaemZPH,bay_witcher,https://pbs.twimg.com/profile_images/1495983890451906563/j6VZ1_YD_normal.jpg,"{'followers_count': 506, 'following_count': 474, 'tweet_count': 387, 'listed_count': 2}","Troy, AL",
282578165,False,,False,,＼＼ ٩ʕ⁎˃ᴥ˂⁎ʔو ／／,,pipipi550ton,https://pbs.twimg.com/profile_images/2277707938/nfx7edvhdbzlfk1f7nvg_normal.jpeg,"{'followers_count': 611, 'following_count': 156, 'tweet_count': 259561, 'listed_count': 31}",,
368684210,False,,False,Baylor• Houston• Raising a teenager• Everyone here is way cooler than me,Whitney 🇺🇦🌻 #FreeBrittney,,kidmakesmedrink,https://pbs.twimg.com/profile_images/1513669504177430532/cwPmZ1ZW_normal.jpg,"{'followers_count': 128, 'following_count': 297, 'tweet_count': 6377, 'listed_count': 0}",Texas,1.4967024454095094e+18
2953818513,False,"{'description': {'hashtags': [{'start': 0, 'end': 8, 'tag': 'SEOKJIN'}]}}",False,#SEOKJIN: MILF! (Man I Love Fishing) she/her,tia,,28ocIock,https://pbs.twimg.com/profile_images/1513194699410059277/7YoPd3n6_normal.jpg,"{'followers_count': 8230, 'following_count': 430, 'tweet_count': 410926, 'listed_count': 85}",UK ,1.4848436075930378e+18
