id,location,description,name,protected,public_metrics,profile_image_url,verified,username,url,pinned_tweet_id,entities
2201658722.0,Nomaden,,dιĸo,False,"{'followers_count': 52, 'following_count': 554, 'tweet_count': 32852, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1484973075234189313/0t-YSwHS_normal.jpg,False,diko48_,,,
1.502995886884135e+18,,雪を愛し雪に愛されなかった者,りろにと,False,"{'followers_count': 17, 'following_count': 124, 'tweet_count': 1895, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1515283002821341190/yyuOotsA_normal.jpg,False,20nitoriro__,,1.5185754222920049e+18,
114137306.0,,,Charitha Udawatta,False,"{'followers_count': 18, 'following_count': 59, 'tweet_count': 72, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1501933150649581568/1uo4GtWD_normal.jpg,False,charithal,,,
1.3403361611982316e+18,北海道・道南,"モノイウヒネクレモノ。性別・年齢非公開。過去垢あり。
好き…学問全般、ドライブ、鉄道駅、道の駅、ロック中心に洋楽・邦楽、ゆるキャン△、しまりん。
嫌い…頭の悪さをさらけ出す人、具体的な解決策もない口だけの人、売れることしか考えていない陳腐な音楽、強制、押しつけがましい、わざとらしい煽り、高所。",椎名さん。,False,"{'followers_count': 4, 'following_count': 2, 'tweet_count': 584, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1397528528657084419/w64xHVoC_normal.jpg,False,jun_kieeeeeee,,1.4682427184806052e+18,
1958078504.0,colorado,I'm jamie and I like to make stuff,jme,False,"{'followers_count': 46, 'following_count': 208, 'tweet_count': 507, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1471312857790763016/vQdPr5ed_normal.jpg,False,monsterjme,,6.334001867320238e+17,
1.3472040150215557e+18,"New Orleans, LA",Liberal Democrat. Not a socialist. Louisiana needs to emulate Georgia. We must all tend to our gardens. She/Her/We,𝕊𝕙𝕖𝕣𝕣𝕚 𝕋𝕦𝕔𝕜𝕖𝕣,False,"{'followers_count': 221, 'following_count': 400, 'tweet_count': 12382, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1347204308325064708/2UFcb7re_normal.jpg,False,SherriT66461375,,1.3533870909485793e+18,
21233029.0,"Ostrava, Praha, Czech Republic","Snít neškodí, škodí nesnít (ruské přísloví)
Nikdy nezapomeň na dnešní noc, může být začátkem věčnosti (snad Dante).",mv3.0 🇨🇿 🇵🇾 🐈‍⬛ 🐢,False,"{'followers_count': 885, 'following_count': 509, 'tweet_count': 18642, 'listed_count': 15}",https://pbs.twimg.com/profile_images/1226978528769564676/UF8JPgWN_normal.jpg,False,Majkmajk,,6.409780140382945e+17,
19250291.0,"iPhone: 40.402168,-74.062057",re-dedicated in #2020 to being #snarky and #sarcasm - the body’s natural defense to #stupidity.. All tweets are my own opinions and not reflective my employers.,dataguru61,False,"{'followers_count': 126, 'following_count': 429, 'tweet_count': 4146, 'listed_count': 14}",https://pbs.twimg.com/profile_images/378800000344497905/13fef13b962346c8fd82e5e86a3eec14_normal.jpeg,False,dataguru61,,1.2861201061295923e+18,"{'description': {'hashtags': [{'start': 31, 'end': 38, 'tag': 'snarky'}, {'start': 43, 'end': 51, 'tag': 'sarcasm'}, {'start': 84, 'end': 94, 'tag': 'stupidity'}]}}"
1.2081478556485468e+18,wkwkland,ngomong sendiri. yang punya akun sering mengeluh.,CAPEK,False,"{'followers_count': 11, 'following_count': 25, 'tweet_count': 5720, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1415741648332484610/E7Y3CMcd_normal.jpg,False,jdimanusia,,,
1926491868.0,,wish you all be happy every day 💚,beamj,False,"{'followers_count': 120, 'following_count': 155, 'tweet_count': 106921, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1431846185606680578/o4GnJv_w_normal.jpg,False,chtbb18,,1.5011369234314035e+18,
