id,protected,name,entities,description,username,url,verified,profile_image_url,public_metrics,location,pinned_tweet_id
1.0285924762888929e+18,False,Nad,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UPmbVLUqqx', 'expanded_url': 'https://www.instagram.com/nadgarcia00/?hl=es', 'display_url': 'instagram.com/nadgarcia00/?h…'}]}}",🦦,ngaarcia00,https://t.co/UPmbVLUqqx,False,https://pbs.twimg.com/profile_images/1505926000584105985/WvXuVtIX_normal.jpg,"{'followers_count': 259, 'following_count': 238, 'tweet_count': 67770, 'listed_count': 0}","Alicante, España",
1.0146150039519683e+18,False,Stephaun,,,Stephaun15,,False,https://pbs.twimg.com/profile_images/1519730970324344834/uRUzXetT_normal.jpg,"{'followers_count': 443, 'following_count': 374, 'tweet_count': 10723, 'listed_count': 2}",,
1833099985.0,False,Bre for the PS5,,they/them,ayyeebre,,False,https://pbs.twimg.com/profile_images/1477486182011396098/JjT3Ap1f_normal.jpg,"{'followers_count': 215, 'following_count': 557, 'tweet_count': 8666, 'listed_count': 6}",your mom,9.788367038373929e+17
1.4093500754957312e+18,False,russell,,Twitter isn’t my friend,PlzBeNice2Me,,False,https://pbs.twimg.com/profile_images/1488327207084826626/dbgJ-uml_normal.jpg,"{'followers_count': 115, 'following_count': 167, 'tweet_count': 1257, 'listed_count': 2}",wherever the whores are,
193268541.0,False,rebecca parr,,,becsp1234,,False,https://pbs.twimg.com/profile_images/1190617791/image_normal.jpg,"{'followers_count': 29, 'following_count': 120, 'tweet_count': 724, 'listed_count': 0}",,
374228436.0,False,Mikel Potts,,"Incurable dilettante; retired tech; lover of books, photography, amateur radio, and Apple stuff.",TwerpPoet,,False,https://pbs.twimg.com/profile_images/1240252776426303488/15FPhcGF_normal.jpg,"{'followers_count': 41, 'following_count': 33, 'tweet_count': 1805, 'listed_count': 4}","Milton-Freewater, OR",
7.392895096914616e+17,False,trinity ♡ 🇺🇦,,very nice very cool,tropicobliss,,False,https://pbs.twimg.com/profile_images/1494629319431262209/HxFEUse1_normal.jpg,"{'followers_count': 43, 'following_count': 271, 'tweet_count': 7086, 'listed_count': 0}",she / her | 19,
213346460.0,False,Maria Ledesma,,"Hazlo o no lo hagas, pero no lo intentes",marialeddom,,False,https://pbs.twimg.com/profile_images/1425256623942082571/Vv0m7USe_normal.jpg,"{'followers_count': 56, 'following_count': 334, 'tweet_count': 2828, 'listed_count': 1}",,7.44614313160237e+17
48999734.0,False,LA V Saitta,,remaining composed while internally screaming. 🙋🏻‍♀️,ramblinglei,,False,https://pbs.twimg.com/profile_images/1496237399000567809/p8UYCUP1_normal.jpg,"{'followers_count': 124, 'following_count': 106, 'tweet_count': 7260, 'listed_count': 4}",,1.5061917626618634e+18
598972048.0,False,THE DEWMANCER,,"Creator of “Thunderpiss” pronouns: supreme chancellor, the almighty",Spaceneedle444,,False,https://pbs.twimg.com/profile_images/1176933433647366144/HJ45daeE_normal.jpg,"{'followers_count': 97, 'following_count': 94, 'tweet_count': 34817, 'listed_count': 5}","Yuma, AZ",7.532429540603453e+17
