id,protected,verified,description,name,profile_image_url,url,public_metrics,username,location,pinned_tweet_id,entities
295417469,False,False,看護師9年目整形外科4年目＼(^o^)／附高51期＼(^o^)／ 広島にいます。寺島拓篤にぞっこん。ディズニーランドは常に行きたい,ゆばーば,https://pbs.twimg.com/profile_images/684612047217135616/5Lt7Eczt_normal.jpg,,"{'followers_count': 49, 'following_count': 83, 'tweet_count': 14878, 'listed_count': 2}",yubaaaaba,,,
3572195293,False,False,"네 안녕하세요 오타쿱니다. 
스타트렉이랑 백로과 조류 좋아해용",김좐🌈,https://pbs.twimg.com/profile_images/1509053040414068736/Yr5p5RrU_normal.jpg,,"{'followers_count': 228, 'following_count': 188, 'tweet_count': 89120, 'listed_count': 0}",juanicillin7,이동중,1.457257949450027e+18,
346301081,False,False,"Software engineer who enjoys Magic the Gathering, tattoos, and computer code. Member of ΔΧΔ Men's Service Club. Lead programmer of A Marble's Muse! (He/Him)",Gami,https://pbs.twimg.com/profile_images/1339016039456100354/MLU_EbA9_normal.jpg,,"{'followers_count': 480, 'following_count': 335, 'tweet_count': 42522, 'listed_count': 7}",TheOrigamiGamer,Mother Base,,
257410650,False,False,,Silk,https://pbs.twimg.com/profile_images/822446363057106946/F-t_9nfh_normal.jpg,,"{'followers_count': 52, 'following_count': 235, 'tweet_count': 35176, 'listed_count': 0}",Silklaver,대한민국 의정부시,1.4652090506148004e+18,
93568589,False,False,最近の京都事情に疎い元京女 夫婦でゆるゆるふたり暮らし お笑い、美味しいもの好き 素敵に暮らしたいわぁ～と思いつつ結構面倒くさがり屋のA型 ヨガ・ゴルフ初心者,ひょん🐾,https://pbs.twimg.com/profile_images/3028249443/86fcc718928eef5f594c0406976af86c_normal.png,https://t.co/zIBAXAODB5,"{'followers_count': 477, 'following_count': 2005, 'tweet_count': 57576, 'listed_count': 10}",hyon1340,神奈川県,1.5203007758133166e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/zIBAXAODB5', 'expanded_url': 'http://twilog.org/hyon1340', 'display_url': 'twilog.org/hyon1340'}]}}"
91520716,False,False,すこし愛して、なが〜く愛して,てつへい,https://pbs.twimg.com/profile_images/1390669163727790084/1isAx67d_normal.jpg,,"{'followers_count': 189, 'following_count': 245, 'tweet_count': 19074, 'listed_count': 0}",wttn_tez,,,
1354759993497579520,False,False,"住まいからはスカイツリーが見えます。いつか猫と暮らしたい。
音楽 (HR/HM,UK,など。メタルネーム持ちのメイト)
旅行(欧州など)
ゲーム(ほぼ鉄拳:ファラン、アリサ、ギガース使ってます)
DAP:M6·M3X,イヤホン:Fantasy,ヘッドホン:DT1990",simple@白色(希望),https://pbs.twimg.com/profile_images/1391035809399140352/YysuHAm__normal.jpg,,"{'followers_count': 147, 'following_count': 266, 'tweet_count': 2114, 'listed_count': 3}",shimpei_simple,,,
1518191631282757632,False,False,有象無象(𝑬𝒍𝒆𝒑𝒉𝒂𝒏𝒕 𝒂𝒏𝒅 𝑵𝒐𝒏-𝑬𝒍𝒆𝒑𝒉𝒂𝒏𝒕),ぬぬ,https://pbs.twimg.com/profile_images/1518191799440793600/oCY8wdPP_normal.jpg,,"{'followers_count': 64, 'following_count': 68, 'tweet_count': 1997, 'listed_count': 3}",nn_tus,,1.5181925020789883e+18,
1450095219542614016,False,False,ネクステージGroup,たかぴー,https://pbs.twimg.com/profile_images/1450096063214354432/RwGhMLI6_normal.jpg,,"{'followers_count': 0, 'following_count': 11, 'tweet_count': 223, 'listed_count': 0}",Nl08X0,,,
949895607900020736,False,False,,ネルム,https://pbs.twimg.com/profile_images/1466369845356756992/P-9hDaIs_normal.jpg,,"{'followers_count': 450, 'following_count': 860, 'tweet_count': 17484, 'listed_count': 8}",DZoMallvJ7fzNVM,,1.496403717964583e+18,
