,location,name,protected,url,verified,public_metrics,description,profile_image_url,username,id,pinned_tweet_id,entities
0,Philippines,kinito,False,,False,"{'followers_count': 4, 'following_count': 177, 'tweet_count': 129, 'listed_count': 0}",,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,elkinito88,52284616,,
1,Sarı & Lacivert Duvar ,Hakan YILDIRIM,False,,False,"{'followers_count': 1024, 'following_count': 1140, 'tweet_count': 11508, 'listed_count': 2}",Aklım hep yapabileceklerimde..,https://pbs.twimg.com/profile_images/1410177590007058432/hih351KS_normal.jpg,hakanyildirim_,142223119,,
2,USA,DARREN IS AN EMMY WINNER,False,,False,"{'followers_count': 160, 'following_count': 84, 'tweet_count': 25102, 'listed_count': 0}","For the one, and the only.",https://pbs.twimg.com/profile_images/1102689627238998016/F9ENHIOs_normal.jpg,justadcfan,2183493102,,
3,名古屋の何処か。,なご。,False,,False,"{'followers_count': 21, 'following_count': 100, 'tweet_count': 12821, 'listed_count': 0}","好きなもんは、好き。
推したいものは、とことん推す。
コミュ障の独り言。
フォロバの習性はございません。",https://pbs.twimg.com/profile_images/1193907359/090101_0744_010002_normal.jpg,moon1ight1overs,228256475,1513457122687995904,
4,"Portland, OR",Christine Menges,False,https://t.co/hZV1otP0Rv,False,"{'followers_count': 97, 'following_count': 102, 'tweet_count': 2805, 'listed_count': 0}","freelance reporter @streetroots. Previously: @SHChronicle @thechiefnews, @PoMoMagazine. 29. Observer. Philosopher. Hufflepuff. she/her",https://pbs.twimg.com/profile_images/1507503692475363328/yDUC3raX_normal.jpg,sthelensjourno,1107083772413931522,1466211058293477382,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hZV1otP0Rv', 'expanded_url': 'https://link.medium.com/Ry3vZXE9xcb', 'display_url': 'link.medium.com/Ry3vZXE9xcb'}]}, 'description': {'mentions': [{'start': 19, 'end': 31, 'username': 'streetroots'}, {'start': 45, 'end': 57, 'username': 'SHChronicle'}, {'start': 58, 'end': 71, 'username': 'thechiefnews'}, {'start': 73, 'end': 86, 'username': 'PoMoMagazine'}]}}"
5,PNW,🌵Meme Queen Morin👑,False,https://t.co/b2vhEIPhoK,False,"{'followers_count': 374, 'following_count': 477, 'tweet_count': 23498, 'listed_count': 6}",Engineer 🏳️‍🌈she/her💖 CEO of big forehead 🗿 BLM,https://pbs.twimg.com/profile_images/1490239313124024320/R7T-Dq3M_normal.jpg,joymabaggins,2329537100,1063663412310241280,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/b2vhEIPhoK', 'expanded_url': 'https://m.youtube.com/c/JoymaBaggins', 'display_url': 'm.youtube.com/c/JoymaBaggins'}]}}"
6,,Zakai Hamilton,False,,False,"{'followers_count': 3, 'following_count': 22, 'tweet_count': 104, 'listed_count': 0}",,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,zakaihamilton,1429192065523539977,,
7,日本,zun,False,,False,"{'followers_count': 12, 'following_count': 93, 'tweet_count': 453, 'listed_count': 0}",It's good to see you. Net world makes you connect to the world. Let's enjoy and find out  differences and accept them.,https://pbs.twimg.com/profile_images/759181748722774018/ReasL-Rp_normal.jpg,shounurohe,1245825055,,
8,,Заразная ебучая больная мышь летучая,False,,False,"{'followers_count': 180, 'following_count': 164, 'tweet_count': 19700, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/924655047929196544/7Va89pDw_normal.jpg,Jean_fox_Jean,924608614702174208,,
9,Istanbul,Leman Aydın,False,,False,"{'followers_count': 496, 'following_count': 139, 'tweet_count': 2716, 'listed_count': 2}",instagram lemanaydin                                  🎭 Schauspielerin/ Oyuncu,https://pbs.twimg.com/profile_images/1478097712356773890/fGO1y3eu_normal.jpg,Leman1602,275247689,,
10,マゴラー愛の会/スリザリンの談話室,🎙のんnon007🥬🌸,False,,False,"{'followers_count': 95, 'following_count': 106, 'tweet_count': 9863, 'listed_count': 4}","英語勉強中！🎙#KERpodcast部🎙
普段は仕事に追われながらも読書したり、音楽聴いたり、美術館に行ったり泳いだりとゆるゆる過ごしています😆
Twitterでの
出会いに感謝して🌹",https://pbs.twimg.com/profile_images/1513116469407916037/j_7-X1l3_normal.jpg,nonno007,148209667,1490089060115054592,"{'description': {'hashtags': [{'start': 7, 'end': 19, 'tag': 'KERpodcast部'}]}}"
11,岡山県(Japan),遠野,False,,False,"{'followers_count': 239, 'following_count': 192, 'tweet_count': 43315, 'listed_count': 7}",language: Jpn&Eng / pixivID: 863201 /プロフ→ https://t.co/Bg6p1pNIeE / 創作垢⇒@Touno_sousaku,https://pbs.twimg.com/profile_images/1293528797120143360/63pc7Kr6_normal.jpg,Touno_Kyouichi,135061312,1134620646124662784,"{'description': {'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/Bg6p1pNIeE', 'expanded_url': 'http://twpf.jp/Touno_Kyouichi', 'display_url': 'twpf.jp/Touno_Kyouichi'}], 'mentions': [{'start': 72, 'end': 86, 'username': 'Touno_sousaku'}]}}"
12,"Brisbane, Queensland",Brittanie Dreghorn,False,https://t.co/GLUsDmfNwq,False,"{'followers_count': 498, 'following_count': 620, 'tweet_count': 6243, 'listed_count': 33}",Sustainability enthusiast and indoor plant lover in Brisbane/Yuggera Country. 🍃👗 Loves good #content and especially my own @BrittsList and @TheContentDiv.,https://pbs.twimg.com/profile_images/1346012485464195073/gNtR6_ZX_normal.jpg,Brittanieanne_,4324135636,1143080367156371456,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/GLUsDmfNwq', 'expanded_url': 'http://www.brittslist.com.au', 'display_url': 'brittslist.com.au'}]}, 'description': {'hashtags': [{'start': 92, 'end': 100, 'tag': 'content'}], 'mentions': [{'start': 123, 'end': 134, 'username': 'BrittsList'}, {'start': 139, 'end': 153, 'username': 'TheContentDiv'}]}}"
13,,kim,False,,False,"{'followers_count': 343, 'following_count': 462, 'tweet_count': 10051, 'listed_count': 35}","tech, media, photography, consumer issues, music, fun links, things from the archives. I do tweet about day job stuff but this is a personal account; views mine",https://pbs.twimg.com/profile_images/87526932/snowday_normal.jpg,jasminetea,4076781,,
14,"athens, greece",tony manero,False,,False,"{'followers_count': 51, 'following_count': 139, 'tweet_count': 1381, 'listed_count': 1}",his personality is so magnetic he is unable to carry credit cards,https://pbs.twimg.com/profile_images/2348945207/xlzg3q5nwhz8zcy8dapx_normal.png,Pope_Agatho,589038487,,
15,,Bir Öğretmenin Güncesi,False,,False,"{'followers_count': 77, 'following_count': 144, 'tweet_count': 219, 'listed_count': 0}","atama bekleyen bir anayım ben #kpss2021 #kpss2022 o sene bu sene 💪
fakat matematik derin bir tutku",https://pbs.twimg.com/profile_images/1488407766997864448/xciTxQ8W_normal.jpg,merve_ama_matci,1488407487556562951,1488492058272751616,"{'description': {'hashtags': [{'start': 30, 'end': 39, 'tag': 'kpss2021'}, {'start': 40, 'end': 49, 'tag': 'kpss2022'}]}}"
16,,Pınar Çınar,False,,False,"{'followers_count': 234, 'following_count': 72, 'tweet_count': 19049, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1519669723633491974/Ylg3Ts5F_normal.jpg,Pinarcinar,55832445,258498706616242176,
17,Adelaide,Heather Brown Trousers 🌻,False,,False,"{'followers_count': 271, 'following_count': 550, 'tweet_count': 11748, 'listed_count': 21}","Quite nerdy. Progressive in politics, irreligious, open to wit, whimsy and silliness, generally kind, ferocious when provoked and an election night tragic.",https://pbs.twimg.com/profile_images/1497693529728253954/3ZJOAJ0y_normal.jpg,glasnOZt,11901782,,
18,Bahrain,Haya ♀️,False,,False,"{'followers_count': 286, 'following_count': 147, 'tweet_count': 154726, 'listed_count': 9}","Living in my own head is a double edged sword, but I'll cope with coffee and video games. 😽🎮☕",https://pbs.twimg.com/profile_images/1459578015378292740/kd4Tu4k0_normal.jpg,iHayoona,276668393,1518260761579171841,
19,a.ş.,sude EYIWAS DÖNDÜ🔥🐝,False,,False,"{'followers_count': 808, 'following_count': 282, 'tweet_count': 32867, 'listed_count': 0}",produced by micheal clifford,https://pbs.twimg.com/profile_images/1514988857493958658/ReKHHj5g_normal.jpg,happybxrnes,1234813399726514176,1486648377307762689,
