id,profile_image_url,description,name,public_metrics,url,protected,verified,username,entities,location,pinned_tweet_id
1.4782850291679314e+18,https://pbs.twimg.com/profile_images/1478286271667572737/mykeWwYn_normal.jpg,"Wordle Golem plays Wordle (https://t.co/VwNE0nSGBs) on Hard Mode

v1: 197–210
v2: 211–214
v3: 215-",Wordle Golem,"{'followers_count': 6, 'following_count': 26, 'tweet_count': 121, 'listed_count': 0}",,False,False,wordlegolem,"{'description': {'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/VwNE0nSGBs', 'expanded_url': 'http://powerlanguage.co.uk/wordle/', 'display_url': 'powerlanguage.co.uk/wordle/'}]}}",,
1.2376062788908073e+18,https://pbs.twimg.com/profile_images/1511873092678995968/Pe63mN1a_normal.jpg,"👍👍👍👍👍
He/Him, Creator of Bowlsies, SFW Artist, Identifies as a Cyborg
NFT, NSFW please GTFO",🇭🇰8LU3 The Blue Cyborg🇭🇰,"{'followers_count': 70, 'following_count': 173, 'tweet_count': 1931, 'listed_count': 0}",https://t.co/CvzF02eUSp,False,False,The8LU3Bot,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CvzF02eUSp', 'expanded_url': 'https://www.deviantart.com/the8lu3bot', 'display_url': 'deviantart.com/the8lu3bot'}]}}",Bowlsies Island,1.5181523850841457e+18
701425218.0,https://pbs.twimg.com/profile_images/1413163904499429384/GceGHFz0_normal.jpg,– infinite； six of crows； peaky blinders； cillian murphy –［131201 § 151009］,𝙣𝙚𝙡𝙡𝙖 🧚🏻‍♀️ (peaky spoilers),"{'followers_count': 219, 'following_count': 274, 'tweet_count': 216148, 'listed_count': 11}",,False,False,viewtflstranger,,esp ＆ eng ー she/her,
3121225793.0,https://pbs.twimg.com/profile_images/1359239940249387009/IQ35-zX7_normal.jpg,"“Y es por eso que hoy vengo a verte, sevillista seré hasta la muerte”   “Ten cerca a tus amigos, pero más cerca a tus enemigos” #CatLover #TeamCalvos",Mario Moreno 🦑🦂,"{'followers_count': 1819, 'following_count': 1060, 'tweet_count': 143774, 'listed_count': 14}",,False,False,stukamario,"{'description': {'hashtags': [{'start': 128, 'end': 137, 'tag': 'CatLover'}, {'start': 138, 'end': 149, 'tag': 'TeamCalvos'}]}}",Mairena del Aljarafe,8.966436796156928e+17
1.2529609294798766e+18,https://pbs.twimg.com/profile_images/1495530798371553281/D1qaSr9a_normal.jpg,"holi, vivan los árboles",melissajax,"{'followers_count': 57, 'following_count': 81, 'tweet_count': 288, 'listed_count': 0}",,False,False,melissajaackson,,,1.4635115251388293e+18
20672966.0,https://pbs.twimg.com/profile_images/1339645813081960449/ZQp2dz1P_normal.jpg,"She's just this guy, you know?
NB, MECFS, writer | No unsolicited advice, plz.
(Buy me a coffee, if you fancy it: https://t.co/3gR3Ijov0q)
Not related to my day job.",Dr Robotica,"{'followers_count': 944, 'following_count': 826, 'tweet_count': 212131, 'listed_count': 86}",https://t.co/JEbkVW6Abh,False,False,Rhube,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/JEbkVW6Abh', 'expanded_url': 'http://rhube.co.uk/wp/', 'display_url': 'rhube.co.uk/wp/'}]}, 'description': {'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/3gR3Ijov0q', 'expanded_url': 'http://ko-fi.com/drrhube', 'display_url': 'ko-fi.com/drrhube'}]}}","Yorkshire, UK.",1.44728080755977e+18
1.3483959189246648e+18,https://pbs.twimg.com/profile_images/1522063840804245504/6f5xVVwY_normal.jpg,"김남길 김재욱 이진욱 박병은 조승우ㅣ                                         
짱르물ㅣ비숲 보이스 손더게 라온마ㅣ",수미_Slow🐢,"{'followers_count': 581, 'following_count': 521, 'tweet_count': 30752, 'listed_count': 24}",,False,False,SSumi_06,,,1.517843879781073e+18
8.332924181077893e+17,https://pbs.twimg.com/profile_images/1333942650106503168/cmeFqlBl_normal.jpg,Writing🖌Portmanteaus• Typewriters⌨️ Music🎼🎹🎸📀🤘•Higher Ed• @CTArmyGuard Vet🪖🇺🇸 @UConn & @Northeastern Huskies•👩🏻‍🦰😻🐶🐠•He/Him,David John Renza,"{'followers_count': 405, 'following_count': 1167, 'tweet_count': 15696, 'listed_count': 0}",,False,False,invkoalabooks,"{'description': {'mentions': [{'start': 58, 'end': 70, 'username': 'CTArmyGuard'}, {'start': 78, 'end': 84, 'username': 'UConn'}, {'start': 87, 'end': 100, 'username': 'Northeastern'}]}}","Waterbury, CT",1.4949860563699466e+18
7.167051481947259e+17,https://pbs.twimg.com/profile_images/1184157480567345153/CliIppTO_normal.jpg,Fanático del CFI Alicante y apasionado por el mundo de las matemáticas #dormiresdecobardes,Carlos Meca,"{'followers_count': 115, 'following_count': 136, 'tweet_count': 1091, 'listed_count': 1}",https://t.co/0B2fXmmaui,False,False,carlosmeca_,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/0B2fXmmaui', 'expanded_url': 'https://youtube.com/channel/UCRlaBZSlUyfc64TpTW5v9IA', 'display_url': 'youtube.com/channel/UCRlaB…'}]}, 'description': {'hashtags': [{'start': 71, 'end': 90, 'tag': 'dormiresdecobardes'}]}}","Alicante, Spain",1.3660588001601413e+18
254915951.0,https://pbs.twimg.com/profile_images/1103518891341430790/yCNRVqCE_normal.jpg,"I'll cross the Rubicon. Alea iacta est.
Lic., M.A., PhD, pero sobre todo mujer, y madre peleona de dos niñas maravillosas.",SinNombre,"{'followers_count': 1647, 'following_count': 2039, 'tweet_count': 130858, 'listed_count': 77}",,False,False,Sin_N0mbre_,,Madrid,1.0149886762904822e+18
