id,lang,text,created_at,conversation_id,possibly_sensitive,context_annotations,public_metrics,source,author_id,reply_settings,entities,referenced_tweets,in_reply_to_user_id,geo,attachments
1521605856344911873,en,"Wordle 318 3/6

⬛⬛🟩⬛⬛
🟩🟩⬛⬛⬛
🟩🟩🟩🟩🟩",2022-05-03T21:41:20.000Z,1521605856344911873,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,1428650878899302402,everyone,,,,,
1521605844571369472,en,"Wordle 318 4/6

⬛🟩⬛⬛⬛
🟨🟩⬛🟨⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩",2022-05-03T21:41:18.000Z,1521605844571369472,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,106035631,everyone,,,,,
1521605842910470144,en,"Wordle 319 3/6

⬛⬛🟩⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩🟩🟩

😒",2022-05-03T21:41:17.000Z,1521605842910470144,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2598241484,everyone,,,,,
1521605838217039879,en,"RT @CrispyMe_: there's a wordle but for medications/drug names? oh baby

#Drugdle by PharmaNUS 122 6/8 
⬜⬜🟨⬜🟩⬜⬜🟨⬜⬜🟩🟩🟩🟩
🟨🟨⬜🟨🟨⬜⬜⬜⬜⬜🟩🟩🟩🟩
⬜🟨⬜⬜⬜…",2022-05-03T21:41:16.000Z,1521605838217039879,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,1061473850838392832,everyone,"{'hashtags': [{'start': 73, 'end': 81, 'tag': 'Drugdle'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'CrispyMe_', 'id': '814349492887515140'}]}","[{'type': 'retweeted', 'id': '1521602945053347842'}]",,,
1521605834517712903,en,"Wordle (ES) 318 4/6

🟨🟩⬜⬜🟨⬜
⬜🟩⬜🟨🟩🟩
🟩🟩⬜⬜🟩🟩
🟩🟩🟩🟩🟩🟩

⬇️ ⬇️ ⬇️ ⬇️ ⬇️
https://t.co/tC4gIhi6hy
⬆️ ⬆️ ⬆️ ⬆️ ⬆️

#Wordle #Wordle6 #WordleES #WordleEspañol #Wordle318",2022-05-03T21:41:15.000Z,1521605834517712903,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,269510512,everyone,"{'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/tC4gIhi6hy', 'expanded_url': 'https://wordle.wekele.com', 'display_url': 'wordle.wekele.com'}], 'hashtags': [{'start': 105, 'end': 112, 'tag': 'Wordle'}, {'start': 113, 'end': 121, 'tag': 'Wordle6'}, {'start': 122, 'end': 131, 'tag': 'WordleES'}, {'start': 132, 'end': 146, 'tag': 'WordleEspañol'}, {'start': 147, 'end': 157, 'tag': 'Wordle318'}]}",,,,
1521605827441831937,ja,"Wordle 319 2/6

⬛⬛🟨⬛⬛
🟩🟩🟩🟩🟩おぉ〜💡",2022-05-03T21:41:13.000Z,1521605827441831937,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Echofon,18625909,everyone,,,,,
1521605824589742083,en,"Wordle 318 4/6

⬛⬛⬛🟨⬛
⬛⬛⬛⬛⬛
⬛⬛🟩⬛⬛
🟩🟩🟩🟩🟩",2022-05-03T21:41:13.000Z,1521605824589742083,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,852504527576203265,everyone,,,,,
1521605814733217794,en,"Wordle 318 4/6

⬛⬛🟨⬛⬛
⬛🟩⬛⬛🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",2022-05-03T21:41:10.000Z,1521605814733217794,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,1058302182011867136,everyone,,,,,
1521605814498119680,fr,"Le Mot (@WordleFR) #114 3/6

🟨⬛⬛🟨⬛
🟩⬛⬛⬛🟩
🟩🟩🟩🟩🟩

https://t.co/lQfDwbiGni",2022-05-03T21:41:10.000Z,1521605814498119680,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,43154631,everyone,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/lQfDwbiGni', 'expanded_url': 'https://wordle.louan.me', 'display_url': 'wordle.louan.me'}], 'mentions': [{'start': 8, 'end': 17, 'username': 'WordleFR', 'id': '1480029602105995267'}]}",,,,
1521605798979383297,en,"Wordle 319 4/6

⬛🟨⬛⬛🟨
⬛🟩⬛⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",2022-05-03T21:41:07.000Z,1521605798979383297,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,71531492,everyone,,,,,
